eACj,-04_3RVWD7o,"[180, 304]","[{'text': 'okay here we go got a brand-new 2014', 'start': 0.35, 'duration': 6.009}, {'text': 'blade for you to check out today', 'start': 3.589, 'duration': 6.521}, {'text': ""it's a SOG Cutlass machete from the SOG"", 'start': 6.359, 'duration': 4.82}, {'text': 'for a lineup', 'start': 10.11, 'duration': 4.62}, {'text': 'comes with the synthetic sheath here', 'start': 11.179, 'duration': 5.441}, {'text': ""I like how they did it this year it's"", 'start': 14.73, 'duration': 6.15}, {'text': 'nice thin compact design I like the', 'start': 16.62, 'duration': 7.41}, {'text': 'white stitching looks really nice this', 'start': 20.88, 'duration': 5.34}, {'text': 'one got three different means of holding', 'start': 24.03, 'duration': 4.2}, {'text': ""this blade and so it's nice and tight in"", 'start': 26.22, 'duration': 4.879}, {'text': 'here no rattle no nothing whatsoever', 'start': 28.23, 'duration': 7.41}, {'text': 'nice soft velcro patch number one number', 'start': 31.099, 'duration': 8.53}, {'text': 'two you get the zipper will zipper right', 'start': 35.64, 'duration': 6.78}, {'text': ""down I'll have a small gripe see how"", 'start': 39.629, 'duration': 4.86}, {'text': 'this hip is coming apart already the', 'start': 42.42, 'duration': 5.759}, {'text': ""Rope came off it's a quick fix oh no"", 'start': 44.489, 'duration': 6.151}, {'text': 'biggie but uh yeah check your zipper if', 'start': 48.179, 'duration': 4.921}, {'text': 'you get one of these just got a mash', 'start': 50.64, 'duration': 5.759}, {'text': 'that down with some pliers here you got', 'start': 53.1, 'duration': 5.879}, {'text': 'a single snap around the handle crichton', 'start': 56.399, 'duration': 5.67}, {'text': 'rubber handle same as last year skull', 'start': 58.979, 'duration': 8.341}, {'text': 'crusher same design just like this', 'start': 62.069, 'duration': 13.741}, {'text': ""cutlass out here no she is it's twelve"", 'start': 67.32, 'duration': 10.56}, {'text': 'point eight inches blade length almost', 'start': 75.81, 'duration': 4.25}, {'text': ""thirteen inches you're looking at"", 'start': 77.88, 'duration': 4.98}, {'text': 'eighteen point eight inches overall so', 'start': 80.06, 'duration': 4.59}, {'text': 'almost nineteen inches overall length', 'start': 82.86, 'duration': 6.03}, {'text': ""it's a three C are thirteen high carbon"", 'start': 84.65, 'duration': 7.48}, {'text': ""steel same as last year's on the tanto"", 'start': 88.89, 'duration': 7.47}, {'text': ""this guy weighs about it's about fifteen"", 'start': 92.13, 'duration': 6.63}, {'text': ""fifteen and a half ounces so it's got a"", 'start': 96.36, 'duration': 4.14}, {'text': ""little bit more weight than last year's"", 'start': 98.76, 'duration': 4.11}, {'text': 'tanto so probably about four or five', 'start': 100.5, 'duration': 4.68}, {'text': 'ounces which is good I like a heavy', 'start': 102.87, 'duration': 6.24}, {'text': ""machete on there nice all back I don't"", 'start': 105.18, 'duration': 5.52}, {'text': 'know if you can see that too well', 'start': 109.11, 'duration': 6.87}, {'text': 'got them alternating teeth on there so', 'start': 110.7, 'duration': 8.87}, {'text': 'just a quick look guys showing it off', 'start': 115.98, 'duration': 6.48}, {'text': ""we'll get out and chop some stuff up"", 'start': 119.57, 'duration': 7.06}, {'text': 'with this see how it hands up thanks for', 'start': 122.46, 'duration': 6.59}, {'text': 'watching', 'start': 126.63, 'duration': 2.42}]"
ftCj,-0zrpo2QPPQ,"[1, 16, 189]",
VDCj,-266lMiP8eI,"[9, 10, 34]",
xNCj,oxAsv4jkrNQ,[14],
FaCj,ESohw5NGtBw,"[15, 18, 87, 545, 1751, 1779]",
mPCj,ESJ-1nHGYIE,"[66, 293, 1313]","[{'text': ""hi I'm Wendy pepper and I'm here"", 'start': 2.929, 'duration': 5.981}, {'text': 'discussing the correct former wear for', 'start': 5.97, 'duration': 5.82}, {'text': 'your body type and for this segment', 'start': 8.91, 'duration': 4.859}, {'text': ""we're going to talk a little bit about"", 'start': 11.79, 'duration': 4.44}, {'text': 'an important consideration when looking', 'start': 13.769, 'duration': 4.921}, {'text': 'at address which is the different types', 'start': 16.23, 'duration': 6.059}, {'text': 'of patterns that you can consider so for', 'start': 18.69, 'duration': 7.86}, {'text': 'Marin as I have worked with marin on a', 'start': 22.289, 'duration': 6.06}, {'text': ""couple other segments and i've noted"", 'start': 26.55, 'duration': 3.809}, {'text': 'that she has angular features and so i', 'start': 28.349, 'duration': 4.471}, {'text': 'have chosen to put her in a dress that', 'start': 30.359, 'duration': 6.871}, {'text': ""has a plaid and it's also a tweed so for"", 'start': 32.82, 'duration': 7.44}, {'text': 'me the elements of that fabric best', 'start': 37.23, 'duration': 7.86}, {'text': ""compliment Marin's features in that she"", 'start': 40.26, 'duration': 7.68}, {'text': 'has cool skin tones I like the gray the', 'start': 45.09, 'duration': 5.699}, {'text': ""silver it's nice for evening for her I"", 'start': 47.94, 'duration': 5.759}, {'text': 'think that plaid is a very classic and', 'start': 50.789, 'duration': 6.211}, {'text': 'refined pattern works perfectly with', 'start': 53.699, 'duration': 5.641}, {'text': ""Marin's features as well in her height I"", 'start': 57.0, 'duration': 5.989}, {'text': ""put it on the bias that's also a very"", 'start': 59.34, 'duration': 6.87}, {'text': 'interesting trick in terms of creating', 'start': 62.989, 'duration': 6.13}, {'text': 'length and also with and when you have a', 'start': 66.21, 'duration': 5.06}, {'text': ""figure that's tall and thin"", 'start': 69.119, 'duration': 4.351}, {'text': 'interestingly enough you do want to draw', 'start': 71.27, 'duration': 5.5}, {'text': 'the eye out as well to create the sense', 'start': 73.47, 'duration': 6.66}, {'text': 'of proportion and balance so as always I', 'start': 76.77, 'duration': 6.029}, {'text': ""think it's safe to trim a print in a"", 'start': 80.13, 'duration': 4.529}, {'text': 'solid and you can never go wrong with', 'start': 82.799, 'duration': 5.551}, {'text': 'black and here with grace to demonstrate', 'start': 84.659, 'duration': 6.78}, {'text': 'yet another type of pattern application', 'start': 88.35, 'duration': 4.979}, {'text': ""when you're considering a dress to buy"", 'start': 91.439, 'duration': 5.521}, {'text': 'for a particular type of body and for me', 'start': 93.329, 'duration': 6.121}, {'text': 'grace represents the the beautiful', 'start': 96.96, 'duration': 4.44}, {'text': 'opportunity that one has with a petite', 'start': 99.45, 'duration': 5.33}, {'text': 'figure which is to use again organic', 'start': 101.4, 'duration': 6.63}, {'text': ""rich detail but that it's it's very"", 'start': 104.78, 'duration': 5.17}, {'text': 'carefully applied in very small amounts', 'start': 108.03, 'duration': 4.89}, {'text': 'and in ways that will not overpower the', 'start': 109.95, 'duration': 5.4}, {'text': 'figure so if you notice i love the use', 'start': 112.92, 'duration': 5.159}, {'text': ""of lace when i'm addressing that kind of"", 'start': 115.35, 'duration': 5.07}, {'text': 'issue and i especially like to break it', 'start': 118.079, 'duration': 5.58}, {'text': 'out and cut it up and re applique it on', 'start': 120.42, 'duration': 7.019}, {'text': 'to address and in this case again i like', 'start': 123.659, 'duration': 5.32}, {'text': 'the on pure line on a petite', 'start': 127.439, 'duration': 4.091}, {'text': 'figure so I concentrated up around the', 'start': 128.979, 'duration': 4.921}, {'text': 'bus line with a red underneath to punch', 'start': 131.53, 'duration': 5.16}, {'text': 'and pop and bring out graces beautiful', 'start': 133.9, 'duration': 8.339}, {'text': 'skin tones and I then spread it softly', 'start': 136.69, 'duration': 7.71}, {'text': 'and delicately down the dress and it', 'start': 142.239, 'duration': 4.651}, {'text': 'wraps around and curves around and once', 'start': 144.4, 'duration': 6.57}, {'text': 'again increases the length of the bust', 'start': 146.89, 'duration': 6.51}, {'text': 'to floor ratio which is always important', 'start': 150.97, 'duration': 4.89}, {'text': 'to consider with a petite figure and the', 'start': 153.4, 'duration': 5.669}, {'text': 'lace again is a good type of pattern to', 'start': 155.86, 'duration': 5.28}, {'text': ""look for if you're somebody that has"", 'start': 159.069, 'duration': 5.361}, {'text': 'delicate small features so in conclusion', 'start': 161.14, 'duration': 5.79}, {'text': 'print is actually a very important', 'start': 164.43, 'duration': 5.139}, {'text': 'consideration when picking a dress you', 'start': 166.93, 'duration': 4.559}, {'text': 'have to take into account the bone', 'start': 169.569, 'duration': 3.75}, {'text': 'structure in your face the type of', 'start': 171.489, 'duration': 5.041}, {'text': 'hairstyle that you wear and also the', 'start': 173.319, 'duration': 5.521}, {'text': 'proportions of your body type so if you', 'start': 176.53, 'duration': 4.95}, {'text': 'are tall and angular and straight the', 'start': 178.84, 'duration': 4.649}, {'text': 'prints that you choose should reflect', 'start': 181.48, 'duration': 5.25}, {'text': 'that and I believe that a geometric bold', 'start': 183.489, 'duration': 5.761}, {'text': 'print for a taller person and a', 'start': 186.73, 'duration': 5.129}, {'text': 'geometric softer print for a more petite', 'start': 189.25, 'duration': 4.919}, {'text': 'person is what I would recommend and if', 'start': 191.859, 'duration': 5.431}, {'text': 'you are a curvier body type and you have', 'start': 194.169, 'duration': 5.521}, {'text': 'rounder features in your face then I', 'start': 197.29, 'duration': 5.699}, {'text': 'would go with a more organic floral or', 'start': 199.69, 'duration': 7.44}, {'text': 'lace type of detail that again was more', 'start': 202.989, 'duration': 5.97}, {'text': ""bold if you're if you're taller and you"", 'start': 207.13, 'duration': 4.079}, {'text': 'can take that amount of strength of', 'start': 208.959, 'duration': 4.65}, {'text': 'pattern and keep to the small and', 'start': 211.209, 'duration': 5.31}, {'text': ""delicate if you're more petite to watch"", 'start': 213.609, 'duration': 4.921}, {'text': 'the other segments in this video series', 'start': 216.519, 'duration': 5.161}, {'text': 'or for how-to videos on almost any other', 'start': 218.53, 'duration': 7.819}, {'text': 'topic visit monkey-see calm', 'start': 221.68, 'duration': 4.669}]"
T7Cj,,"[1, 19, 183]",
NlCj,-ipwYKMxj7s,[8],
W7Cj,ocO31pCJDzQ,[12],
v9Cj,ocx0pFYrYZg,"[68, 72, 452, 480]",
