dunT,kzLC4zidhWU,"[2, 7, 48, 171, 213, 469, 792, 878, 1179, 1657, 1962]",
ManT,,"[0, 1, 591, 761]",
lpnT,,"[2, 17, 48, 839]",
QjnT,W1oPbxjgIZA,"[3, 2647]",
5FnT,W223dAyRBPQ,"[180, 304]",
yRnT,W58u2R3o40g,"[26, 194]",
m5nT,W7E1oBqDgwk,"[3, 4]",
oMnT,W8e5126qLek,"[0, 1, 943]",
23nT,H4GxEQjsh90,"[0, 1, 489, 2344]","[{'text': 'welcome to overrun a brand new', 'start': 11.11, 'duration': 4.57}, {'text': 'competitive way to play gears of war', 'start': 13.82, 'duration': 4.41}, {'text': ""that's available only in judgment i'm"", 'start': 15.68, 'duration': 4.53}, {'text': ""lieutenant Damon Baird and I'll be"", 'start': 18.23, 'duration': 4.08}, {'text': 'walking you through your training the', 'start': 20.21, 'duration': 5.13}, {'text': 'concept is simple two teams of five duke', 'start': 22.31, 'duration': 5.64}, {'text': 'it out over a generator the cog needs to', 'start': 25.34, 'duration': 4.56}, {'text': 'protect its generator while the locusts', 'start': 27.95, 'duration': 4.59}, {'text': ""need to destroy it in every match you'll"", 'start': 29.9, 'duration': 4.71}, {'text': 'get to play as both cog defenders and', 'start': 32.54, 'duration': 4.53}, {'text': 'locust attackers who can destroy the', 'start': 34.61, 'duration': 4.74}, {'text': ""generator fastest now that's up to you"", 'start': 37.07, 'duration': 6.57}, {'text': 'whatever does wins as a cog defender you', 'start': 39.35, 'duration': 7.17}, {'text': 'need to choose a class each class comes', 'start': 43.64, 'duration': 5.34}, {'text': 'with a specific weapon loadout and nifty', 'start': 46.52, 'duration': 5.31}, {'text': 'unique ability first we have the', 'start': 48.98, 'duration': 6.27}, {'text': 'engineer who in my opinion is probably', 'start': 51.83, 'duration': 5.01}, {'text': 'the most important person on the', 'start': 55.25, 'duration': 4.59}, {'text': 'battlefield also the handsomest I mean', 'start': 56.84, 'duration': 6.06}, {'text': 'just look at them Engineers can deploy', 'start': 59.84, 'duration': 5.19}, {'text': 'temporary centuries to defend against', 'start': 62.9, 'duration': 4.38}, {'text': 'the locust I recommend placing them', 'start': 65.03, 'duration': 4.769}, {'text': 'before you repair damaged fortifications', 'start': 67.28, 'duration': 5.58}, {'text': 'to repair just swap to your blowtorch', 'start': 69.799, 'duration': 5.521}, {'text': 'the fire at the nearest barrier but', 'start': 72.86, 'duration': 5.07}, {'text': 'remember no one in overrun can build a', 'start': 75.32, 'duration': 5.07}, {'text': 'new fortification so once you lose it', 'start': 77.93, 'duration': 6.63}, {'text': ""it's gone finito next up is the soldier"", 'start': 80.39, 'duration': 8.9}, {'text': ""hey it's cold say hi to call everyone"", 'start': 84.56, 'duration': 4.73}, {'text': 'besides bringing sheer firepower to the', 'start': 89.59, 'duration': 5.35}, {'text': 'fight the soldier special ability is', 'start': 92.45, 'duration': 4.56}, {'text': 'tossing out ammo crates to the rest of', 'start': 94.94, 'duration': 5.01}, {'text': ""his team trust me an overrun you're"", 'start': 97.01, 'duration': 5.34}, {'text': 'gonna need all the ammo you can get', 'start': 99.95, 'duration': 5.669}, {'text': ""then we have the medic she's got a handy"", 'start': 102.35, 'duration': 5.64}, {'text': 'stim gas grenade that not only heals', 'start': 105.619, 'duration': 5.04}, {'text': 'wounded teammates it revives those who', 'start': 107.99, 'duration': 5.129}, {'text': 'have been knocked down everybody loves a', 'start': 110.659, 'duration': 5.911}, {'text': ""medic right finally the Scout he's able"", 'start': 113.119, 'duration': 5.311}, {'text': 'to take the high ground by climbing into', 'start': 116.57, 'duration': 5.1}, {'text': ""perches accessible only to him plus he's"", 'start': 118.43, 'duration': 5.189}, {'text': 'got a special tagging beacon that when', 'start': 121.67, 'duration': 4.68}, {'text': 'thrown identifies all nearby enemies to', 'start': 123.619, 'duration': 5.731}, {'text': 'the team even through walls helpful tip', 'start': 126.35, 'duration': 5.79}, {'text': 'a tagged enemy takes extra damage when', 'start': 129.35, 'duration': 6.359}, {'text': ""shot hoja noses people it's time to talk"", 'start': 132.14, 'duration': 6.54}, {'text': 'about the locust all of our locust pals', 'start': 135.709, 'duration': 4.831}, {'text': 'come with their own special talents and', 'start': 138.68, 'duration': 5.01}, {'text': 'abilities as a locust you earn points', 'start': 140.54, 'duration': 4.89}, {'text': 'for the damage you inflict on enemies', 'start': 143.69, 'duration': 4.29}, {'text': 'and defenses alike you then use these', 'start': 145.43, 'duration': 5.04}, {'text': 'points to unlock even bigger batter an', 'start': 147.98, 'duration': 7.5}, {'text': 'uglier locust first up the ticker he', 'start': 150.47, 'duration': 7.92}, {'text': 'chomps defences self-destructs and has', 'start': 155.48, 'duration': 5.22}, {'text': 'the ability to dash really really fast', 'start': 158.39, 'duration': 5.929}, {'text': ""and you just don't you you got you this"", 'start': 160.7, 'duration': 7.77}, {'text': 'is the wretch can leap over defenses', 'start': 164.319, 'duration': 6.64}, {'text': 'climb into the scouts perches and stun', 'start': 168.47, 'duration': 5.359}, {'text': 'opponents with its screen like my sister', 'start': 170.959, 'duration': 6.241}, {'text': 'the Grenadier as you can probably deduce', 'start': 173.829, 'duration': 5.771}, {'text': 'from its highly imaginative name is able', 'start': 177.2, 'duration': 4.8}, {'text': 'to throw frag grenades get him up on a', 'start': 179.6, 'duration': 4.53}, {'text': 'blood mount and he can toss frags even', 'start': 182.0, 'duration': 6.239}, {'text': 'faster the Kansas is the locust medic he', 'start': 184.13, 'duration': 5.669}, {'text': 'can heal everyone in his immediate', 'start': 188.239, 'duration': 4.861}, {'text': 'vicinity and for that I hate him his', 'start': 189.799, 'duration': 5.341}, {'text': 'healing ability is greatly boosted by', 'start': 193.1, 'duration': 4.889}, {'text': 'riding on a blood mount did someone say', 'start': 195.14, 'duration': 5.879}, {'text': 'blood mount these charming creatures can', 'start': 197.989, 'duration': 5.101}, {'text': 'carry the Grenadier and Cantus to the', 'start': 201.019, 'duration': 4.47}, {'text': 'front and also quicken the recharge of', 'start': 203.09, 'duration': 4.98}, {'text': 'their passengers special abilities the', 'start': 205.489, 'duration': 4.801}, {'text': 'corpses armored front legs make it', 'start': 208.07, 'duration': 5.31}, {'text': 'incredibly hard to kill even worse it', 'start': 210.29, 'duration': 5.34}, {'text': 'can burrow underground and duck right', 'start': 213.38, 'duration': 5.52}, {'text': 'under cog fortifications the Sarah peed', 'start': 215.63, 'duration': 5.85}, {'text': 'attacks with its mandibles it can also', 'start': 218.9, 'duration': 4.919}, {'text': 'rear up and spit poison at distant', 'start': 221.48, 'duration': 5.069}, {'text': 'enemies the only way to kill it is to', 'start': 223.819, 'duration': 4.571}, {'text': 'shoot it in the butt', 'start': 226.549, 'duration': 6.121}, {'text': 'yes the but evolutions a weird thing and', 'start': 228.39, 'duration': 8.1}, {'text': 'finally we have the mauler not only does', 'start': 232.67, 'duration': 6.37}, {'text': 'he wheeled a giant shield and flail he', 'start': 236.49, 'duration': 5.25}, {'text': 'has the ability to spin the shield which', 'start': 239.04, 'duration': 5.73}, {'text': 'reflects any and all incoming fire more', 'start': 241.74, 'duration': 5.46}, {'text': 'important the mauler spinning shield and', 'start': 244.77, 'duration': 7.56}, {'text': 'chop a nearby gear into tiny pieces whoo', 'start': 247.2, 'duration': 8.37}, {'text': ""that's a lot of info but before you jump"", 'start': 252.33, 'duration': 5.07}, {'text': 'into action we need to talk about', 'start': 255.57, 'duration': 5.099}, {'text': 'teamwork if you want to win you have to', 'start': 257.4, 'duration': 5.64}, {'text': 'work together take advantage of your', 'start': 260.669, 'duration': 4.651}, {'text': 'abilities support your teammates and', 'start': 263.04, 'duration': 5.97}, {'text': 'coordinate your attacks remember to win', 'start': 265.32, 'duration': 5.849}, {'text': 'the match you need to protect your', 'start': 269.01, 'duration': 4.95}, {'text': 'generator and destroy theirs as fast as', 'start': 271.169, 'duration': 8.821}, {'text': ""possible good luck out there they're"", 'start': 273.96, 'duration': 9.86}, {'text': 'gonna need it bear it out', 'start': 279.99, 'duration': 3.83}, {'text': 'you', 'start': 284.62, 'duration': 2.06}]"
iWnT,H5VXXeUhciU,"[184, 474, 1807]","[{'text': 'this is roller coaster maniacs bringing', 'start': 0.0, 'duration': 5.43}, {'text': 'you a brief tour of the Norwegian Gem', 'start': 2.73, 'duration': 5.909}, {'text': ""this is room 5512 come on in I'll show"", 'start': 5.43, 'duration': 5.789}, {'text': ""you around when you come in it's nice"", 'start': 8.639, 'duration': 6.391}, {'text': 'and brightly lit looking back we have a', 'start': 11.219, 'duration': 8.911}, {'text': 'top shelf a safe for other deep shelves', 'start': 15.03, 'duration': 8.04}, {'text': ""lots of room here's your closet it comes"", 'start': 20.13, 'duration': 6.09}, {'text': ""with some hangers up top you'll find a"", 'start': 23.07, 'duration': 6.81}, {'text': 'life vest here you have your clothing', 'start': 26.22, 'duration': 6.21}, {'text': 'and in the bottom tons of space where', 'start': 29.88, 'duration': 5.16}, {'text': 'you can put a suitcase shoes plenty of', 'start': 32.43, 'duration': 4.89}, {'text': ""room moving along you're going to find"", 'start': 35.04, 'duration': 6.179}, {'text': 'you have a little mini bar you can stick', 'start': 37.32, 'duration': 5.46}, {'text': 'drinks in here keep everything nice and', 'start': 41.219, 'duration': 6.09}, {'text': 'cold right below it you have your ice', 'start': 42.78, 'duration': 9.24}, {'text': 'bucket and some glasses lots of drawers', 'start': 47.309, 'duration': 8.761}, {'text': ""we've got tons of space here space is"", 'start': 52.02, 'duration': 6.48}, {'text': 'really a not a problem next you have a', 'start': 56.07, 'duration': 4.919}, {'text': 'desk a chair garbage-can below', 'start': 58.5, 'duration': 6.239}, {'text': 'flat-screen TV above and again more room', 'start': 60.989, 'duration': 6.271}, {'text': 'right there over here we have your', 'start': 64.739, 'duration': 6.691}, {'text': 'temperature control and your bathroom a', 'start': 67.26, 'duration': 6.899}, {'text': 'lot of times people will bring a little', 'start': 71.43, 'duration': 6.93}, {'text': 'bag so you can hang your makeup and', 'start': 74.159, 'duration': 7.591}, {'text': 'toiletries right off that here we have', 'start': 78.36, 'duration': 6.74}, {'text': 'your vacuum toilet', 'start': 81.75, 'duration': 3.35}, {'text': 'next your sink next your shower you can', 'start': 86.99, 'duration': 10.269}, {'text': 'hand clothing your your bathing suit to', 'start': 94.56, 'duration': 6.33}, {'text': 'dry there and taking a look in you have', 'start': 97.259, 'duration': 8.43}, {'text': 'shampoo and your shower gel brain', 'start': 100.89, 'duration': 6.99}, {'text': 'conditioner and maybe bring your own', 'start': 105.689, 'duration': 5.97}, {'text': 'toiletries as well as you know sometimes', 'start': 107.88, 'duration': 7.199}, {'text': 'you might not like the shampoo that they', 'start': 111.659, 'duration': 7.371}, {'text': 'have here just a tip over here a chair', 'start': 115.079, 'duration': 8.61}, {'text': 'more room to stick things three drawers', 'start': 119.03, 'duration': 7.319}, {'text': 'a small drawer some more space up here', 'start': 123.689, 'duration': 6.151}, {'text': ""these walls are metal they're all metal"", 'start': 126.349, 'duration': 6.011}, {'text': 'so if you want to do like we do and', 'start': 129.84, 'duration': 4.89}, {'text': 'bring a picture of your cats your dogs', 'start': 132.36, 'duration': 5.43}, {'text': 'your kids you can do it over here we', 'start': 134.73, 'duration': 8.06}, {'text': 'have the pulldown bed the regular bed', 'start': 137.79, 'duration': 8.37}, {'text': 'telephone bring an extension cord', 'start': 142.79, 'duration': 7.21}, {'text': ""there's only one uno one little plug"", 'start': 146.16, 'duration': 5.75}, {'text': ""there okay and here's your window"", 'start': 150.0, 'duration': 4.2}, {'text': ""everybody wants the window and it's"", 'start': 151.91, 'duration': 4.689}, {'text': ""beautiful it's really nice you can sit"", 'start': 154.2, 'duration': 3.93}, {'text': ""here and just kind of look out as you're"", 'start': 156.599, 'duration': 3.92}, {'text': 'getting dressed or getting ready', 'start': 158.13, 'duration': 5.509}, {'text': 'beautiful waves beautiful sunsets and', 'start': 160.519, 'duration': 6.011}, {'text': 'hey book your cruise on the Norwegian', 'start': 163.639, 'duration': 5.97}, {'text': 'Gem or whatever cruise ship you want', 'start': 166.53, 'duration': 5.76}, {'text': 'cruising is a great way to have a', 'start': 169.609, 'duration': 7.831}, {'text': 'relaxing vacation thanks for watching', 'start': 172.29, 'duration': 5.15}, {'text': 'you', 'start': 178.05, 'duration': 2.06}]"
