J7Db,-4AWgUMD6m8,"[11, 20, 22, 211, 321, 334, 576]",
hsDb,oxtrIBiCMgU,[12],
uVDb,edW3Y9-FD2M,"[74, 115, 131, 1222]",
wDDb,ei_PBuve87Y,[227],"[{'text': 'to the north coast of the coast of', 'start': 3.71, 'duration': 4.47}, {'text': 'Cornwall the 11 other members of the', 'start': 5.779, 'duration': 4.351}, {'text': 'crew have been rescued the maria assunta', 'start': 8.18, 'duration': 3.66}, {'text': ""which was the world's oldest"", 'start': 10.13, 'duration': 3.66}, {'text': 'square-rigged ship broke up after', 'start': 11.84, 'duration': 3.78}, {'text': 'hitting rocks between rumps point and', 'start': 13.79, 'duration': 4.41}, {'text': 'the moles rescue workers are still', 'start': 15.62, 'duration': 7.17}, {'text': 'searching the area the Maria Sumter was', 'start': 18.2, 'duration': 7.35}, {'text': 'torn apart when it ran ashore its wooden', 'start': 22.79, 'duration': 4.8}, {'text': 'hull no match for the rocky Cornish', 'start': 25.55, 'duration': 4.529}, {'text': 'coast the emergency services had already', 'start': 27.59, 'duration': 4.829}, {'text': 'been alerted following a mayday from the', 'start': 30.079, 'duration': 4.261}, {'text': 'ship than within minutes a full-scale', 'start': 32.419, 'duration': 4.741}, {'text': 'rescue operation was underway five', 'start': 34.34, 'duration': 4.53}, {'text': 'people were picked up by a local fishing', 'start': 37.16, 'duration': 3.989}, {'text': 'boat and taken to padstow while others', 'start': 38.87, 'duration': 4.8}, {'text': 'are thought to a scrambled ashore two', 'start': 41.149, 'duration': 4.291}, {'text': 'helicopters and three lifeboats were', 'start': 43.67, 'duration': 4.47}, {'text': 'also involved in the rescue effort only', 'start': 45.44, 'duration': 4.47}, {'text': 'the crew were on board the two masted', 'start': 48.14, 'duration': 3.93}, {'text': 'ship which had apparently turned on this', 'start': 49.91, 'duration': 4.169}, {'text': ""engine and it'd be an attempt to prevent"", 'start': 52.07, 'duration': 4.019}, {'text': 'the heavy swale smashing it onto the', 'start': 54.079, 'duration': 4.14}, {'text': 'rocks there are still two people missing', 'start': 56.089, 'duration': 5.66}, {'text': 'and we are continuing to search we would', 'start': 58.219, 'duration': 5.94}, {'text': 'continue now until the last of the y', 'start': 61.749, 'duration': 5.98}, {'text': 'today we have helicopter and three', 'start': 64.159, 'duration': 5.131}, {'text': 'lifeboats two of them which are in store', 'start': 67.729, 'duration': 3.271}, {'text': 'lifeboats and the Coast Guard cliff', 'start': 69.29, 'duration': 3.149}, {'text': 'rescue team searching the shoreline', 'start': 71.0, 'duration': 4.59}, {'text': 'within the area the Maria Sumpter seen', 'start': 72.439, 'duration': 5.011}, {'text': 'here and dock at Gloucester had been', 'start': 75.59, 'duration': 4.349}, {'text': 'used in television dramas nothin jus to', 'start': 77.45, 'duration': 5.16}, {'text': 'appear as an exhibit in Padstow once the', 'start': 79.939, 'duration': 4.14}, {'text': 'search for those still missing has been', 'start': 82.61, 'duration': 3.689}, {'text': 'completed a full investigation will get', 'start': 84.079, 'duration': 4.14}, {'text': 'underway to try to establish what', 'start': 86.299, 'duration': 4.471}, {'text': 'exactly caused the accident Gary Duffy', 'start': 88.219, 'duration': 5.341}, {'text': 'BBC News wrecked two more crewmen are', 'start': 90.77, 'duration': 5.58}, {'text': 'missing but 11 were saved the brig the', 'start': 93.56, 'duration': 4.739}, {'text': 'Maria Assumpta had been used recently', 'start': 96.35, 'duration': 5.25}, {'text': 'for sale training and in films she was', 'start': 98.299, 'duration': 5.401}, {'text': 'sailing from Swansea to padstow when she', 'start': 101.6, 'duration': 4.229}, {'text': 'ran aground and broke up off the rocks', 'start': 103.7, 'duration': 4.98}, {'text': 'on pent our point Adam Holloway reports', 'start': 105.829, 'duration': 7.051}, {'text': 'a mayday call from a ship aground on', 'start': 108.68, 'duration': 6.539}, {'text': 'rocks in high wind had roll Navy', 'start': 112.88, 'duration': 4.68}, {'text': 'helicopters and three lifeboats rushing', 'start': 115.219, 'duration': 5.61}, {'text': 'to the scene they arrived too late a man', 'start': 117.56, 'duration': 5.879}, {'text': 'in his 50s was dead in the water so', 'start': 120.829, 'duration': 4.68}, {'text': 'quickly if the seeds smashed the maria', 'start': 123.439, 'duration': 4.201}, {'text': 'assunta', 'start': 125.509, 'duration': 4.591}, {'text': 'she had been the oldest wooden sailing', 'start': 127.64, 'duration': 5.01}, {'text': 'ship operating anywhere in the world but', 'start': 130.1, 'duration': 4.29}, {'text': 'this afternoon she was broken in the', 'start': 132.65, 'duration': 4.11}, {'text': 'water her crews scattered in the caramel', 'start': 134.39, 'duration': 7.53}, {'text': 'estuary of the 11 survivors 5 had been', 'start': 136.76, 'duration': 7.44}, {'text': 'picked out by a fishing boat the others', 'start': 141.92, 'duration': 5.01}, {'text': 'winch to safety to other crew members', 'start': 144.2, 'duration': 5.22}, {'text': 'remain unaccounted for the Coast Guard', 'start': 146.93, 'duration': 4.77}, {'text': 'fear their chances of survival received', 'start': 149.42, 'duration': 4.74}, {'text': 'with each hour the survivors were taken', 'start': 151.7, 'duration': 4.8}, {'text': 'from the water all suffering from', 'start': 154.16, 'duration': 7.079}, {'text': 'hypothermia they were wet covered in oil', 'start': 156.5, 'duration': 6.54}, {'text': 'covered in what looked like paint but it', 'start': 161.239, 'duration': 3.811}, {'text': 'must have been oil dari worked through', 'start': 163.04, 'duration': 5.49}, {'text': 'very distressed no not apparently not', 'start': 165.05, 'duration': 5.219}, {'text': 'not in a physical sense of injuries just', 'start': 168.53, 'duration': 5.19}, {'text': 'very shocked very stressed obviously and', 'start': 170.269, 'duration': 4.201}, {'text': 'they were brought into the', 'start': 173.72, 'duration': 3.69}, {'text': ""harbormaster's office here and warmed up"", 'start': 174.47, 'duration': 3.81}, {'text': 'a little bit and then they were', 'start': 177.41, 'duration': 4.19}, {'text': 'eventually transferred to hospital by', 'start': 178.28, 'duration': 6.72}, {'text': 'conventional ambulance built a hundred', 'start': 181.6, 'duration': 5.859}, {'text': 'and thirty seven years ago to traverse', 'start': 185.0, 'duration': 4.65}, {'text': 'the Atlantic she spent the last few', 'start': 187.459, 'duration': 4.56}, {'text': 'years as a sail training vessel well', 'start': 189.65, 'duration': 5.6}, {'text': 'equipped with inflatables and dinghies', 'start': 192.019, 'duration': 7.321}, {'text': 'they too now float with the wreckage but', 'start': 195.25, 'duration': 6.67}, {'text': 'it could have been even worse the maria', 'start': 199.34, 'duration': 4.739}, {'text': 'assunta had earlier dropped off a', 'start': 201.92, 'duration': 5.25}, {'text': 'trainee crew of twenty four teenagers at', 'start': 204.079, 'duration': 5.63}, {'text': 'Swansea', 'start': 207.17, 'duration': 2.539}, {'text': 'you', 'start': 216.37, 'duration': 2.06}]"
1YDb,elay4QLMNxg,"[11, 20, 22, 29, 32, 120, 680, 692, 1402]",
eCDb,ERgOVUrsl8o,"[180, 223, 381]",
xzDb,LIAQtqgN2Mc,"[2, 7, 48, 80, 1394]",
LyDb,LKnrCmuSWBA,"[15, 18, 67, 1711]",
cSDb,LMXMtjRHf40,"[3, 4, 6, 9, 10]",
1qDb,6Cq1GdiIFLE,[99],
