ePgf,jASVZxKoRpw,[12],
m1gf,4x4mD2bl1pI,"[0, 643]","[{'text': ""all right round two we're going to be on"", 'start': 0.03, 'duration': 4.89}, {'text': 'the play our opponent is black white', 'start': 3.12, 'duration': 4.679}, {'text': 'he has Sauron and then like literally', 'start': 4.92, 'duration': 5.929}, {'text': 'garbage like black white garbage like', 'start': 7.799, 'duration': 6.51}, {'text': 'the four three Strom Kirk Patrol if', 'start': 10.849, 'duration': 5.111}, {'text': ""that's what they're called like rotting"", 'start': 14.309, 'duration': 6.81}, {'text': 'fen snake that type of thing so as long', 'start': 15.96, 'duration': 7.79}, {'text': 'as we can but soaring into the graveyard', 'start': 21.119, 'duration': 5.011}, {'text': ""hopefully he's got Lysol like a couple"", 'start': 23.75, 'duration': 4.269}, {'text': ""one drops hopefully he's not very"", 'start': 26.13, 'duration': 4.309}, {'text': 'aggressive here because I have no way to', 'start': 28.019, 'duration': 8.341}, {'text': 'kill or block anything so yes he has a', 'start': 30.439, 'duration': 8.671}, {'text': 'one drop there', 'start': 36.36, 'duration': 2.75}, {'text': ""see what else we're working with"", 'start': 44.6, 'duration': 3.41}, {'text': 'highborn goal', 'start': 48.23, 'duration': 3.05}, {'text': 'all right I guess that kills and blocks', 'start': 51.36, 'duration': 4.85}, {'text': 'things', 'start': 53.97, 'duration': 2.24}, {'text': 'well good', 'start': 70.77, 'duration': 4.099}, {'text': ""well I didn't see many aggressive cards"", 'start': 72.74, 'duration': 5.48}, {'text': ""but he's just happened to draw them"", 'start': 74.869, 'duration': 6.36}, {'text': 'exactly when he needed to so good for', 'start': 78.22, 'duration': 5.189}, {'text': 'you', 'start': 81.229, 'duration': 2.18}, {'text': 'so the plan is to get blockers with our', 'start': 87.43, 'duration': 6.83}, {'text': 'undead Alchemist', 'start': 91.39, 'duration': 2.87}, {'text': 'yeah like black white just like dudes so', 'start': 109.58, 'duration': 9.72}, {'text': ""I'm gonna take a little beating so we'll"", 'start': 116.75, 'duration': 4.41}, {'text': 'see what we draw next turn I mean the', 'start': 119.3, 'duration': 4.17}, {'text': 'best draw we could get what I think', 'start': 121.16, 'duration': 6.41}, {'text': 'be silent departure', 'start': 123.47, 'duration': 4.1}, {'text': 'yeah', 'start': 133.15, 'duration': 2.63}, {'text': 'whole perfect curve thing is very', 'start': 137.22, 'duration': 4.1}, {'text': 'annoying', 'start': 138.9, 'duration': 2.42}, {'text': ""alchemy it's not a sound fighter well"", 'start': 142.78, 'duration': 7.08}, {'text': ""we're gonna play sea skate then try to"", 'start': 146.41, 'duration': 8.49}, {'text': 'block this if we draw a land we can', 'start': 149.86, 'duration': 7.83}, {'text': 'alchemy drain twist and melon with the', 'start': 154.9, 'duration': 11.19}, {'text': ""curse and hopefully that'll get us at"", 'start': 157.69, 'duration': 11.39}, {'text': 'least two zombies', 'start': 166.09, 'duration': 2.99}, {'text': ""all right no effects that's good land"", 'start': 184.01, 'duration': 8.4}, {'text': 'drowning out sweet', 'start': 188.91, 'duration': 3.5}, {'text': 'alright this is looking much better', 'start': 199.98, 'duration': 3.92}, {'text': ""we're definitely gonna dream twist in"", 'start': 207.16, 'duration': 4.29}, {'text': 'response to any potential potential', 'start': 208.9, 'duration': 6.75}, {'text': ""removal spell mill the Sauron so that's"", 'start': 211.45, 'duration': 9.74}, {'text': 'good this is gonna chump I think', 'start': 215.65, 'duration': 5.54}, {'text': ""yeah it's definitely gonna jump"", 'start': 232.069, 'duration': 3.59}, {'text': ""you're gonna block there and you are"", 'start': 239.03, 'duration': 5.0}, {'text': 'gonna block there', 'start': 241.1, 'duration': 2.93}, {'text': ""well my right that doesn't do anything"", 'start': 257.85, 'duration': 3.77}, {'text': 'hitting tribute undying evil Plains', 'start': 270.389, 'duration': 8.361}, {'text': 'curse', 'start': 275.75, 'duration': 3.0}, {'text': 'sweet', 'start': 287.249, 'duration': 2.72}, {'text': ""don't know it we went to Milt alright"", 'start': 289.97, 'duration': 8.01}, {'text': 'well so he came out very aggressive and', 'start': 294.32, 'duration': 5.85}, {'text': 'I was able to stem that aggression', 'start': 297.98, 'duration': 6.42}, {'text': ""so that's bodes well on dying evil"", 'start': 300.17, 'duration': 10.62}, {'text': 'tribute site like bad cards does a feed', 'start': 304.4, 'duration': 7.77}, {'text': ""hunter which I don't really have an"", 'start': 310.79, 'duration': 3.68}, {'text': 'answer to', 'start': 312.17, 'duration': 2.3}, {'text': 'hmm trying to think I mean his corpse', 'start': 322.95, 'duration': 6.57}, {'text': ""lunge does that do anything see sky it's"", 'start': 326.22, 'duration': 6.41}, {'text': 'actually fine against him', 'start': 329.52, 'duration': 3.11}, {'text': 'such an stated the deterred attitude to', 'start': 336.009, 'duration': 6.021}, {'text': 'do de de de de', 'start': 339.069, 'duration': 6.711}, {'text': 'thinkers are all like semi necessary all', 'start': 342.03, 'duration': 6.48}, {'text': 'right hopefully I mean he came out very', 'start': 345.78, 'duration': 6.03}, {'text': ""aggressive in that other game so it's"", 'start': 348.51, 'duration': 5.16}, {'text': 'very possible he could just draw have a', 'start': 351.81, 'duration': 5.94}, {'text': ""draw of like four drops so let's see if"", 'start': 353.67, 'duration': 7.04}, {'text': 'we went again', 'start': 357.75, 'duration': 2.96}]"
dggf,50Uv5QyUs_I,"[3, 6, 8]",
5Tgf,7I0WyZF9xTE,"[11, 20, 22, 29, 32, 122, 123]",
hqgf,k5nq6-R6030,"[296, 359]",
tMgf,k7FtBAA2vR0,[14],
rdgf,k7NZLxRDUGU,"[3, 4]",
Hcgf,k8NFfaofU8A,"[0, 12]",
dTgf,JwzvQRDlTI4,"[3, 4]",
eVgf,Vwn7wGZq5s4,[3],
jxgf,W-Wxt0m5iCY,"[28, 33, 38, 78]",
CBgf,W5f0YzlcR7I,"[0, 52]",
EAgf,BBQSiuzc34k,"[11, 229, 771]",
00gf,,"[5, 25, 136, 2124]",
sFgf,,"[0, 1, 124, 287]",
pRgf,5djxK5gE6tk,"[0, 1, 5, 69, 144, 190, 743, 925]",
10gf,ViG9zpKcfC0,"[28, 33, 38, 78, 86, 257]",
Zwgf,Vi83CVx7pSY,[12],
D2gf,VsHFGh6FoYQ,"[126, 220, 276, 291]","[{'text': 'okay this is forever figs again and this', 'start': 2.27, 'duration': 8.949}, {'text': 'is my nine month old Marion fig tree', 'start': 6.509, 'duration': 8.821}, {'text': 'that I planted in this pot actually I', 'start': 11.219, 'duration': 6.961}, {'text': 'had to transplant it into this earthen', 'start': 15.33, 'duration': 6.029}, {'text': 'pot because it was so root bound in the', 'start': 18.18, 'duration': 6.39}, {'text': 'smaller container that I thought I was', 'start': 21.359, 'duration': 5.071}, {'text': 'going to lose it so I transferred it', 'start': 24.57, 'duration': 6.33}, {'text': 'here and I have two of these same type', 'start': 26.43, 'duration': 6.2}, {'text': ""of trees Marion's that are in the ground"", 'start': 30.9, 'duration': 4.38}, {'text': ""and this one I'm going to keep potted at"", 'start': 32.63, 'duration': 5.92}, {'text': ""least until next year and maybe I'm"", 'start': 35.28, 'duration': 6.18}, {'text': 'going to put her in a bigger pot or', 'start': 38.55, 'duration': 5.579}, {'text': ""maybe I'm going to plant that over at my"", 'start': 41.46, 'duration': 4.529}, {'text': ""father-in-law's house I'm not sure yet"", 'start': 44.129, 'duration': 6.871}, {'text': ""he's has a real nice spot in the"", 'start': 45.989, 'duration': 8.371}, {'text': 'backyard where it might be able to go so', 'start': 51.0, 'duration': 5.129}, {'text': 'a couple of things I learned with this', 'start': 54.36, 'duration': 6.179}, {'text': ""potted plant now I'll try to get in so"", 'start': 56.129, 'duration': 8.67}, {'text': 'you can see a little bit closer yes', 'start': 60.539, 'duration': 6.241}, {'text': 'there are there are some figs on this', 'start': 64.799, 'duration': 4.441}, {'text': ""tree of course they're never going to"", 'start': 66.78, 'duration': 6.62}, {'text': 'come to ripeness this year but', 'start': 69.24, 'duration': 9.93}, {'text': ""nonetheless you'll see on this tree"", 'start': 73.4, 'duration': 7.99}, {'text': ""boost what's called a spreader let me"", 'start': 79.17, 'duration': 5.57}, {'text': 'see if I can zoom in a little bit', 'start': 81.39, 'duration': 3.35}, {'text': ""okay and the reason that's on there when"", 'start': 87.24, 'duration': 5.92}, {'text': 'this tree first started growing those', 'start': 91.36, 'duration': 4.29}, {'text': 'true branches were growing one right on', 'start': 93.16, 'duration': 5.37}, {'text': 'top of the other directly on top of one', 'start': 95.65, 'duration': 4.53}, {'text': 'another as if they lay there were two', 'start': 98.53, 'duration': 6.78}, {'text': 'branches being one and if I thought I', 'start': 100.18, 'duration': 6.93}, {'text': 'was going to have to clip one off', 'start': 105.31, 'duration': 4.14}, {'text': 'because as they got older I know that', 'start': 107.11, 'duration': 4.56}, {'text': 'upper branch would shade out the smaller', 'start': 109.45, 'duration': 7.43}, {'text': 'branch but I saw a little trick on a', 'start': 111.67, 'duration': 8.73}, {'text': 'video from Dave Wilson nursery zout in', 'start': 116.88, 'duration': 6.82}, {'text': ""California I've watched it at monitor"", 'start': 120.4, 'duration': 5.07}, {'text': ""videos they've been very helpful to me"", 'start': 123.7, 'duration': 5.729}, {'text': 'and my rather limited experience in fig', 'start': 125.47, 'duration': 6.33}, {'text': ""trees but they've they've smarten me up"", 'start': 129.429, 'duration': 4.771}, {'text': 'a little bit they said instead of', 'start': 131.8, 'duration': 5.73}, {'text': 'clipping one of the branches off when', 'start': 134.2, 'duration': 5.04}, {'text': ""they're very young and tender like this"", 'start': 137.53, 'duration': 4.47}, {'text': 'and still green shoots just put a', 'start': 139.24, 'duration': 5.82}, {'text': 'spreader between the two branches and as', 'start': 142.0, 'duration': 5.64}, {'text': 'the tree gets older and the branches get', 'start': 145.06, 'duration': 5.04}, {'text': ""harder they'll stay that far apart from"", 'start': 147.64, 'duration': 6.03}, {'text': 'each other and back about a month or two', 'start': 150.1, 'duration': 5.73}, {'text': 'ago I started with a little spreader it', 'start': 153.67, 'duration': 4.59}, {'text': 'was only about an inch and a half long', 'start': 155.83, 'duration': 5.43}, {'text': 'and I put that on first and not spread', 'start': 158.26, 'duration': 6.42}, {'text': 'them apart a little bit and then as time', 'start': 161.26, 'duration': 6.12}, {'text': 'went by I kept working my way up that', 'start': 164.68, 'duration': 6.72}, {'text': 'those two branches with the larger and', 'start': 167.38, 'duration': 6.69}, {'text': 'larger spreaders until I got it to the', 'start': 171.4, 'duration': 4.8}, {'text': ""point where it's at now and I think"", 'start': 174.07, 'duration': 3.78}, {'text': ""they're spread far enough apart we're"", 'start': 176.2, 'duration': 3.42}, {'text': 'not going to be harmful to each other', 'start': 177.85, 'duration': 4.59}, {'text': ""and I'm just going to leave it there now"", 'start': 179.62, 'duration': 4.5}, {'text': 'until they get maybe another year on', 'start': 182.44, 'duration': 3.87}, {'text': 'them at which time that branches', 'start': 184.12, 'duration': 4.23}, {'text': 'themselves themselves will be hard', 'start': 186.31, 'duration': 4.89}, {'text': 'enough and strong enough to keep that', 'start': 188.35, 'duration': 6.69}, {'text': 'position okay so I just wanted to share', 'start': 191.2, 'duration': 5.13}, {'text': 'that little trick with you that I', 'start': 195.04, 'duration': 4.35}, {'text': 'learned let me work my way up to the top', 'start': 196.33, 'duration': 7.92}, {'text': 'of this tree okay', 'start': 199.39, 'duration': 7.36}, {'text': ""come back down again and then I'm going"", 'start': 204.25, 'duration': 5.04}, {'text': 'to sign off', 'start': 206.75, 'duration': 2.54}, {'text': 'there we go', 'start': 216.069, 'duration': 5.491}, {'text': 'once again this this tree as long as', 'start': 218.41, 'duration': 6.18}, {'text': 'well as the other two Marion trees were', 'start': 221.56, 'duration': 6.95}, {'text': 'grown from little 3-inch long dormant', 'start': 224.59, 'duration': 9.36}, {'text': 'Saiyans back during a winter and like I', 'start': 228.51, 'duration': 7.15}, {'text': ""said I don't know what variety they are"", 'start': 233.95, 'duration': 3.33}, {'text': 'about boy when they start grow and they', 'start': 235.66, 'duration': 5.64}, {'text': 'really come on strong okay so this is', 'start': 237.28, 'duration': 7.38}, {'text': ""forever figs signing off and we'll see"", 'start': 241.3, 'duration': 5.9}, {'text': 'you next time', 'start': 244.66, 'duration': 2.54}]"
12gf,ro5T8Sp2uo0,"[15, 18, 96]",
L0gf,zyv4DjZrCO4,[3],
NHgf,x37eQylgxRs,"[15, 18, 67, 140]",
ccgf,xAii_1NCd3A,[3188],
zygf,JKpzdsxt-XY,"[5, 150, 204, 1008]",
