CFfo,KFlHh5xmc2I,"[3, 4, 13, 54, 585]",
3Dfo,KFOX5MOzEJI,"[2, 30, 280]",
nNfo,KJRaamj76vo,"[688, 1663, 1763]",
jrfo,Ueq1i1H43HM,"[49, 612, 787]",
Yefo,QC2bNOxisO4,"[2, 17, 95, 135, 235, 297, 490]",
N8fo,__WroQbLZUU,[14],
MEfo,_p46xrswrnA,"[0, 1, 1761]",
vlfo,WJCadCHMXA4,"[15, 18, 67, 140]",
wDfo,WLE0CCo9tvU,[8],
cAfo,TzuKlvdBQ90,"[389, 1716]",
AKfo,wKAjRxkSznQ,[3],
kZfo,wN5NFM_G3oI,[1046],"[{'text': 'right now in 2015', 'start': 0.26, 'duration': 8.23}, {'text': 'fifty years after some there are laws', 'start': 4.52, 'duration': 7.15}, {'text': 'across this country designed to make it', 'start': 8.49, 'duration': 8.01}, {'text': 'harder for people to vote as we speak', 'start': 11.67, 'duration': 8.449}, {'text': 'more such laws are being proposed', 'start': 16.5, 'duration': 6.289}, {'text': 'meanwhile the Voting Rights Act the', 'start': 20.119, 'duration': 6.25}, {'text': 'culmination of so much blood so much', 'start': 22.789, 'duration': 5.65}, {'text': 'sweat and tears the product of so much', 'start': 26.369, 'duration': 6.35}, {'text': 'sacrifice in the face of wanton violence', 'start': 28.439, 'duration': 7.071}, {'text': ""the Voting Rights Act Stan's weakened"", 'start': 32.719, 'duration': 8.641}, {'text': 'its future subject to political rancor', 'start': 35.51, 'duration': 10.6}, {'text': 'how can that be the Voting Rights Act', 'start': 41.36, 'duration': 6.879}, {'text': 'was one of the crowning achievements of', 'start': 46.11, 'duration': 5.1}, {'text': 'our democracy the result of Republican', 'start': 48.239, 'duration': 7.831}, {'text': 'and Democratic efforts President Reagan', 'start': 51.21, 'duration': 6.919}, {'text': 'signed its renewal when he was in office', 'start': 56.07, 'duration': 4.469}, {'text': 'President George W Bush signed its', 'start': 58.129, 'duration': 4.991}, {'text': 'renewal when he was in office 100', 'start': 60.539, 'duration': 4.321}, {'text': 'members of Congress have come here today', 'start': 63.12, 'duration': 4.38}, {'text': 'to honor people who are willing to die', 'start': 64.86, 'duration': 5.67}, {'text': 'for the right to protect it if we want', 'start': 67.5, 'duration': 5.28}, {'text': 'to honor this day lift that hundred go', 'start': 70.53, 'duration': 5.01}, {'text': 'back to Washington and gather 400 more', 'start': 72.78, 'duration': 5.76}, {'text': 'and together pledge to make it their', 'start': 75.54, 'duration': 5.21}, {'text': 'mission to restore that law this year', 'start': 78.54, 'duration': 6.8}, {'text': ""that's how we honor those on this bridge"", 'start': 80.75, 'duration': 4.59}, {'text': 'of course our democracy is not the task', 'start': 94.2, 'duration': 8.29}, {'text': 'of Congress alone or the courts alone or', 'start': 97.96, 'duration': 9.78}, {'text': 'even the president alone if every new', 'start': 102.49, 'duration': 7.019}, {'text': 'voter suppression law was struck down', 'start': 107.74, 'duration': 5.58}, {'text': 'today we would still have here in', 'start': 109.509, 'duration': 5.761}, {'text': 'America one of the lowest voting rates', 'start': 113.32, 'duration': 7.439}, {'text': 'among free peoples 50 years ago', 'start': 115.27, 'duration': 7.2}, {'text': 'registering to vote here in Selma and', 'start': 120.759, 'duration': 3.541}, {'text': 'much of the South man guessing the', 'start': 122.47, 'duration': 4.98}, {'text': 'number of jellybeans in a jar the number', 'start': 124.3, 'duration': 6.81}, {'text': 'of bubbles on a bar of soap it meant', 'start': 127.45, 'duration': 5.55}, {'text': 'risking your dignity and sometimes your', 'start': 131.11, 'duration': 6.18}, {'text': ""life what's our excuse today for not"", 'start': 133.0, 'duration': 9.06}, {'text': 'voting how do we so casually discard the', 'start': 137.29, 'duration': 8.699}, {'text': 'right for which so many fuck how do we', 'start': 142.06, 'duration': 6.51}, {'text': 'so fully give away our power our voice', 'start': 145.989, 'duration': 4.561}, {'text': ""in shaping America's future"", 'start': 148.57, 'duration': 3.6}, {'text': 'why are we pointing to somebody else', 'start': 150.55, 'duration': 3.81}, {'text': 'when we could take the time just to go', 'start': 152.17, 'duration': 13.289}, {'text': 'to the the polling places we give away', 'start': 154.36, 'duration': 13.28}, {'text': 'our power', 'start': 165.459, 'duration': 2.181}]"
Fqfo,,"[5, 1140, 1754, 2847]",
Acfo,0Kxz12GPh7I,"[0, 1, 85]","[{'text': 'hey guess what is going on my name is no', 'start': 0.0, 'duration': 3.24}, {'text': 'J 4 5 6 and take them to be talking', 'start': 1.5, 'duration': 2.61}, {'text': 'about whether or not i think that', 'start': 3.24, 'duration': 2.849}, {'text': 'jetpack is going to be appearing in GTA', 'start': 4.11, 'duration': 4.409}, {'text': '5 for next-gen this is obviously one of', 'start': 6.089, 'duration': 3.871}, {'text': 'the most highly anticipated things that', 'start': 8.519, 'duration': 4.261}, {'text': 'Rockstar probably maybe they should know', 'start': 9.96, 'duration': 4.349}, {'text': 'that this is the one thing that everyone', 'start': 12.78, 'duration': 4.29}, {'text': 'wants in GTA 5 next gen especially with', 'start': 14.309, 'duration': 4.591}, {'text': 'first-person mode especially with every', 'start': 17.07, 'duration': 3.15}, {'text': 'single thing that has been added in a', 'start': 18.9, 'duration': 3.69}, {'text': 'jetpack would be absolutely the most fun', 'start': 20.22, 'duration': 4.229}, {'text': 'thing that you could add in to GTA 5', 'start': 22.59, 'duration': 3.54}, {'text': ""next gen now I'm gonna be kind of"", 'start': 24.449, 'duration': 2.971}, {'text': 'talking about the different things that', 'start': 26.13, 'duration': 2.85}, {'text': 'might activate this the ways you might', 'start': 27.42, 'duration': 2.97}, {'text': ""unlock this and why I think it's"", 'start': 28.98, 'duration': 3.27}, {'text': 'actually very very possible that the', 'start': 30.39, 'duration': 4.2}, {'text': 'next gen might be available and our', 'start': 32.25, 'duration': 4.26}, {'text': 'think jetpack might be available in next', 'start': 34.59, 'duration': 3.6}, {'text': ""gen so anyway let's go ahead and get"", 'start': 36.51, 'duration': 3.09}, {'text': 'started with this video starting it off', 'start': 38.19, 'duration': 3.33}, {'text': 'with kind of the reasoning why the', 'start': 39.6, 'duration': 3.54}, {'text': 'jetpack might be it might be included so', 'start': 41.52, 'duration': 3.9}, {'text': ""I as you guys know it's been a huge"", 'start': 43.14, 'duration': 3.84}, {'text': 'thing in last couple days and my videos', 'start': 45.42, 'duration': 3.54}, {'text': 'done super super well on it this got', 'start': 46.98, 'duration': 3.84}, {'text': 'almost 300,000 views showing you guys', 'start': 48.96, 'duration': 3.689}, {'text': 'how you can actually turn into an animal', 'start': 50.82, 'duration': 4.469}, {'text': 'and GTA 5 next gen now this is something', 'start': 52.649, 'duration': 4.32}, {'text': 'that no one asked for no one asked to be', 'start': 55.289, 'duration': 3.18}, {'text': 'able to play as animals this was', 'start': 56.969, 'duration': 3.0}, {'text': 'something completely random that rock', 'start': 58.469, 'duration': 3.301}, {'text': 'sir just added it and most importantly', 'start': 59.969, 'duration': 3.18}, {'text': 'did not tell us that they were going to', 'start': 61.77, 'duration': 3.24}, {'text': 'be adding in this kind of peyote plant', 'start': 63.149, 'duration': 3.751}, {'text': 'hunt that you can actually hunt for all', 'start': 65.01, 'duration': 4.17}, {'text': 'these different plans in GTA 5 next gen', 'start': 66.9, 'duration': 4.14}, {'text': 'now obviously if the jetpack did exist', 'start': 69.18, 'duration': 3.78}, {'text': 'it might not be this peyote plant thing', 'start': 71.04, 'duration': 3.24}, {'text': ""because they wouldn't really link at all"", 'start': 72.96, 'duration': 3.449}, {'text': 'but the 27 peyote plants have not been', 'start': 74.28, 'duration': 3.39}, {'text': 'collected yet we have no idea what', 'start': 76.409, 'duration': 3.421}, {'text': 'happens once you collect all 27 peyote', 'start': 77.67, 'duration': 4.65}, {'text': 'plants I think only like 5 or 10 like', 'start': 79.83, 'duration': 4.35}, {'text': 'max throughout the entire world have', 'start': 82.32, 'duration': 3.54}, {'text': 'been found and obviously going to be', 'start': 84.18, 'duration': 2.88}, {'text': 'doing a compilation of all those', 'start': 85.86, 'duration': 2.22}, {'text': 'different ones and showing you how to', 'start': 87.06, 'duration': 2.82}, {'text': 'get all of them but even though it may', 'start': 88.08, 'duration': 3.87}, {'text': ""not be related there's definitely secret"", 'start': 89.88, 'duration': 3.75}, {'text': 'rewards that we have not found out about', 'start': 91.95, 'duration': 4.29}, {'text': ""yet in GTA 5 next gen they didn't tell"", 'start': 93.63, 'duration': 3.93}, {'text': 'us about the different customization', 'start': 96.24, 'duration': 2.55}, {'text': 'options one of which should i uploaded', 'start': 97.56, 'duration': 2.849}, {'text': 'earlier on today talking about how you', 'start': 98.79, 'duration': 3.18}, {'text': 'can actually change your hair color to', 'start': 100.409, 'duration': 3.151}, {'text': 'like pink purple all those different', 'start': 101.97, 'duration': 2.82}, {'text': 'things and then how you can have like', 'start': 103.56, 'duration': 3.059}, {'text': 'zombie eyes and evil eyes and stuff like', 'start': 104.79, 'duration': 3.78}, {'text': 'that for you can like putting contacts', 'start': 106.619, 'duration': 3.421}, {'text': 'inside of your actual eyeballs in your', 'start': 108.57, 'duration': 3.119}, {'text': ""online character it's actually really"", 'start': 110.04, 'duration': 3.359}, {'text': 'really cool how much stuff they added in', 'start': 111.689, 'duration': 3.39}, {'text': 'and did not tell us about but the', 'start': 113.399, 'duration': 3.421}, {'text': 'question the question still stands is', 'start': 115.079, 'duration': 3.9}, {'text': 'the Mount chiliad mystery over it is', 'start': 116.82, 'duration': 4.259}, {'text': ""this alien stuff over it's the jetpack"", 'start': 118.979, 'duration': 4.74}, {'text': 'still like is it still somewhere out', 'start': 121.079, 'duration': 4.11}, {'text': 'there to be found and I think the answer', 'start': 123.719, 'duration': 4.201}, {'text': 'is actually yes I believe that the kind', 'start': 125.189, 'duration': 4.531}, {'text': 'of like draw back from the fact that no', 'start': 127.92, 'duration': 2.94}, {'text': 'one was able to figure out the mount', 'start': 129.72, 'duration': 3.37}, {'text': 'chiliad easter egg the the fact that no', 'start': 130.86, 'duration': 3.7}, {'text': 'ever ever figure out what the in-game', 'start': 133.09, 'duration': 3.869}, {'text': 'thing was that that is something that', 'start': 134.56, 'duration': 4.5}, {'text': 'they considered when making the next', 'start': 136.959, 'duration': 3.151}, {'text': ""conversions and that's actually"", 'start': 139.06, 'duration': 2.61}, {'text': 'something that they might have put in to', 'start': 140.11, 'duration': 2.73}, {'text': 'the game and actually believe is', 'start': 141.67, 'duration': 3.36}, {'text': 'somewhere within the game but anyway let', 'start': 142.84, 'duration': 3.479}, {'text': 'me know you guys think I do think that', 'start': 145.03, 'duration': 3.06}, {'text': 'they will have the jetpack somewhere in', 'start': 146.319, 'duration': 3.48}, {'text': ""GTA 5 next and that we haven't found yet"", 'start': 148.09, 'duration': 3.72}, {'text': 'they have done a jetpack and previous', 'start': 149.799, 'duration': 3.75}, {'text': ""GTA games I don't see any reason why"", 'start': 151.81, 'duration': 3.149}, {'text': 'they would not throw this in here and', 'start': 153.549, 'duration': 2.701}, {'text': 'kind of like make it the ultimate', 'start': 154.959, 'duration': 4.261}, {'text': 'selling point for GTA 5 the between the', 'start': 156.25, 'duration': 5.04}, {'text': 'highest between the jetpack between the', 'start': 159.22, 'duration': 3.39}, {'text': 'fact that you can turn and animals', 'start': 161.29, 'duration': 2.64}, {'text': ""they've done a great job of including"", 'start': 162.61, 'duration': 2.82}, {'text': 'stuff in this game to keep the press', 'start': 163.93, 'duration': 2.85}, {'text': 'talking about and keep the media talking', 'start': 165.43, 'duration': 3.48}, {'text': 'about GTA 5 and really building up hype', 'start': 166.78, 'duration': 3.84}, {'text': 'for this next-gen version that people', 'start': 168.91, 'duration': 3.18}, {'text': 'actually buy the game copies i think the', 'start': 170.62, 'duration': 3.0}, {'text': 'jetpack would just from so many', 'start': 172.09, 'duration': 2.64}, {'text': 'different standpoints i would make the', 'start': 173.62, 'duration': 2.28}, {'text': 'players who already have the game happy', 'start': 174.73, 'duration': 3.119}, {'text': 'it would it would give the game free', 'start': 175.9, 'duration': 3.57}, {'text': ""press and it's something that they've"", 'start': 177.849, 'duration': 3.121}, {'text': 'done in the past to reward players so i', 'start': 179.47, 'duration': 2.82}, {'text': 'think we will definitely be able to find', 'start': 180.97, 'duration': 2.82}, {'text': 'it at some point but again let me know', 'start': 182.29, 'duration': 2.91}, {'text': 'yes i think in the comments section down', 'start': 183.79, 'duration': 3.419}, {'text': 'below again i hope you guys enjoyed the', 'start': 185.2, 'duration': 3.33}, {'text': 'video i will see you guys in the next', 'start': 187.209, 'duration': 4.401}, {'text': 'one and goodbye', 'start': 188.53, 'duration': 3.08}]"
Yifo,0RAkIWi0mDY,[11],
Dtfo,,"[1, 623, 1051, 1278, 2623]",
Crfo,rETsAwzSyvI,"[15, 18, 43, 59, 286]",
Aqfo,rHG3COFTfhQ,[159],
wXfo,_sbRFb82c2I,"[0, 27]",
RSfo,mUzrsMfQVTk,"[39, 50, 202, 931]",
FLfo,MpiHdDQ_ejA,"[2, 7, 464, 563]",
9lfo,Bhv-R2mcmFc,"[4, 9, 14, 28, 33]",
D4fo,7ZfuLByxVz0,"[16, 25]","[{'text': 'who em and how can a fox that would be', 'start': 8.719, 'duration': 5.021}, {'text': ""happy without a you'll forgive the"", 'start': 11.849, 'duration': 3.951}, {'text': 'expression a chicken in its teeth I', 'start': 13.74, 'duration': 3.99}, {'text': ""don't know what you're talking about but"", 'start': 15.8, 'duration': 4.18}, {'text': 'it sounds illegal here put this bandit', 'start': 17.73, 'duration': 13.35}, {'text': ""hat on we're happy I don't want to live"", 'start': 19.98, 'duration': 13.2}, {'text': ""in a hole anymore and I'm gonna do"", 'start': 31.08, 'duration': 7.319}, {'text': 'something about it discuss moving into', 'start': 33.18, 'duration': 6.51}, {'text': 'the most dangerous neighborhood in the', 'start': 38.399, 'duration': 2.611}, {'text': 'country for someone of your type two', 'start': 39.69, 'duration': 1.95}, {'text': 'species', 'start': 41.01, 'duration': 2.43}, {'text': 'three of the meanest nastiest ugliest', 'start': 41.64, 'duration': 3.599}, {'text': 'farmers in a history of this valley', 'start': 43.44, 'duration': 4.41}, {'text': 'decided to secretly do one last big job', 'start': 45.239, 'duration': 13.441}, {'text': 'on the slough perhaps you ought to kill', 'start': 47.85, 'duration': 17.82}, {'text': 'him will you join me', 'start': 58.68, 'duration': 9.119}, {'text': 'I want to help you steal some sighs one', 'start': 65.67, 'duration': 4.47}, {'text': ""two three I think I've had this thing"", 'start': 67.799, 'duration': 3.75}, {'text': ""where I need everybody to think I'm the"", 'start': 70.14, 'duration': 3.71}, {'text': 'greatest', 'start': 71.549, 'duration': 2.301}, {'text': 'Ganga Cosmo George Clooney maybe the', 'start': 80.62, 'duration': 6.88}, {'text': ""story there's something kind of"", 'start': 85.97, 'duration': 3.24}, {'text': ""fantastic isn't it"", 'start': 87.5, 'duration': 4.77}, {'text': 'Jason Schwartzman Meera Malik read and', 'start': 89.21, 'duration': 5.4}, {'text': 'therefore Oh a medicine I want to go', 'start': 92.27, 'duration': 4.41}, {'text': 'with you too I want to fight I said one', 'start': 94.61, 'duration': 3.81}, {'text': ""bite I'm trying I have a different kind"", 'start': 96.68, 'duration': 5.06}, {'text': ""of teeth from you I'm a possible"", 'start': 98.42, 'duration': 3.32}, {'text': 'okay I can fit through there', 'start': 109.0, 'duration': 4.38}, {'text': 'fantastic mr. Fox', 'start': 116.29, 'duration': 3.869}, {'text': 'you', 'start': 121.38, 'duration': 2.059}]"
uifo,7itPz2yv7sA,[592],
WAfo,RQbmqk8jycc,"[2, 7, 90]",
Gxfo,ZAQO_swa1MA,[50],
yVfo,yG0eqe9JRoo,"[0, 1, 9, 339, 512, 687, 1508]",
