Q7fR,1lXtW-413x8,"[5, 14]",
1QfR,1uuiE9lcbMo,"[11, 20, 22, 29, 32]",
oifR,alGwpo9JaAY,"[18, 59, 238, 274, 366]",
ZqfR,we0BcPZ6yB0,"[15, 509, 709, 1206]",
fqfR,wiefvzYKMfE,"[2, 7, 197, 756]","[{'text': 'and today on last triumph or television', 'start': 0.03, 'duration': 5.729}, {'text': ""I'm going to be showing you the miracle"", 'start': 3.3, 'duration': 6.06}, {'text': 'that is the torque master tool some of', 'start': 5.759, 'duration': 5.46}, {'text': 'us may have heard of this tool some of', 'start': 9.36, 'duration': 3.529}, {'text': 'us may even have used it or own one but', 'start': 11.219, 'duration': 3.511}, {'text': ""for those that haven't seen how"", 'start': 12.889, 'duration': 3.191}, {'text': ""wonderful this is I'm going to"", 'start': 14.73, 'duration': 4.26}, {'text': 'demonstrate live as it happens the', 'start': 16.08, 'duration': 9.9}, {'text': 'undoing of a 1957 rear hope not the hope', 'start': 18.99, 'duration': 9.27}, {'text': ""nut is in immaculate condition there's"", 'start': 25.98, 'duration': 5.19}, {'text': ""no burrs there's no damage or evidence"", 'start': 28.26, 'duration': 4.53}, {'text': ""that this has ever been off before I'm"", 'start': 31.17, 'duration': 3.45}, {'text': 'sure it probably has in its life but it', 'start': 32.79, 'duration': 3.269}, {'text': ""certainly hasn't been off in last 30"", 'start': 34.62, 'duration': 4.41}, {'text': 'years so if ever there was a ground test', 'start': 36.059, 'duration': 5.851}, {'text': 'to see whether this tool is worth the', 'start': 39.03, 'duration': 6.779}, {'text': 'money this is going to be it many of us', 'start': 41.91, 'duration': 5.37}, {'text': 'will be familiar with jumping up and', 'start': 45.809, 'duration': 3.361}, {'text': 'down on the end of a 6 foot scaffold bar', 'start': 47.28, 'duration': 4.02}, {'text': 'breaking tools trying to remove these', 'start': 49.17, 'duration': 5.159}, {'text': 'stubborn nuts that whilst originally', 'start': 51.3, 'duration': 7.86}, {'text': 'tightened to 217 foot pounds often cease', 'start': 54.329, 'duration': 7.8}, {'text': 'and require a far greater talk the nut', 'start': 59.16, 'duration': 5.16}, {'text': ""to undo them I've not made any"", 'start': 62.129, 'duration': 3.841}, {'text': 'preparation to this hoping that', 'start': 64.32, 'duration': 3.51}, {'text': 'whatsoever this is exactly as it was', 'start': 65.97, 'duration': 3.329}, {'text': 'found behind the wheel the only thing I', 'start': 67.83, 'duration': 3.899}, {'text': 'have done just to save time is to remove', 'start': 69.299, 'duration': 4.411}, {'text': 'the cotter pin that secures the nut in', 'start': 71.729, 'duration': 4.801}, {'text': 'position in the highly unlikely event of', 'start': 73.71, 'duration': 5.22}, {'text': 'ever coming loose one thing I will show', 'start': 76.53, 'duration': 7.37}, {'text': 'you this tool is useful for undoing', 'start': 78.93, 'duration': 7.74}, {'text': 'flywheel nuts for six and twelve volt', 'start': 83.9, 'duration': 6.039}, {'text': 'ring gears and also works on for stood', 'start': 86.67, 'duration': 5.73}, {'text': ""and five Stu the wheels you'll notice on"", 'start': 89.939, 'duration': 5.97}, {'text': 'the tool that it has a recessed face the', 'start': 92.4, 'duration': 5.759}, {'text': 'the area on a four stood which are the', 'start': 95.909, 'duration': 5.82}, {'text': 'two holes closer in diameter to each', 'start': 98.159, 'duration': 5.85}, {'text': ""other it's quite thin and a standard"", 'start': 101.729, 'duration': 4.591}, {'text': 'wheel bolt will go through that and', 'start': 104.009, 'duration': 4.411}, {'text': 'penetrate the drum enough to hold it in', 'start': 106.32, 'duration': 4.71}, {'text': 'position on the five stud which is a', 'start': 108.42, 'duration': 5.64}, {'text': 'little bit thicker for strength you do', 'start': 111.03, 'duration': 6.089}, {'text': 'require longer bolts otherwise the', 'start': 114.06, 'duration': 5.43}, {'text': ""standard Volkswagen bolts they won't"", 'start': 117.119, 'duration': 4.441}, {'text': 'protrude far enough to secure it to the', 'start': 119.49, 'duration': 5.519}, {'text': ""drum the if you're looking for a longer"", 'start': 121.56, 'duration': 7.83}, {'text': 'bolts the standard thread is m12 by 1.5', 'start': 125.009, 'duration': 8.34}, {'text': 'pitch which conveniently by some strange', 'start': 129.39, 'duration': 4.56}, {'text': 'twist', 'start': 133.349, 'duration': 3.0}, {'text': ""fate is exactly what's used on a BMW I"", 'start': 133.95, 'duration': 5.009}, {'text': ""can't imagine how I discovered that okay"", 'start': 136.349, 'duration': 5.821}, {'text': ""so well I'll put it down on the stand"", 'start': 138.959, 'duration': 7.231}, {'text': 'hopefully you can still see the drum and', 'start': 142.17, 'duration': 5.88}, {'text': 'literally I will do this live as it', 'start': 146.19, 'duration': 4.409}, {'text': 'happens and you can see how how', 'start': 148.05, 'duration': 5.519}, {'text': 'effective this tool is first of all you', 'start': 150.599, 'duration': 5.61}, {'text': 'just need to line up the tool on the', 'start': 153.569, 'duration': 10.651}, {'text': 'drum secure the top nut in first try not', 'start': 156.209, 'duration': 10.161}, {'text': ""to cross thread it that's my normal"", 'start': 164.22, 'duration': 9.359}, {'text': 'party trick and likewise with the bottom', 'start': 166.37, 'duration': 9.04}, {'text': ""one these haven't got to be particularly"", 'start': 173.579, 'duration': 5.731}, {'text': ""tight just enough to secure it I'm"", 'start': 175.41, 'duration': 7.919}, {'text': 'stopping it coming your drift under the', 'start': 179.31, 'duration': 6.42}, {'text': ""high loads all I've done is put the"", 'start': 183.329, 'duration': 4.711}, {'text': 'handbrake on the car just to stop the', 'start': 185.73, 'duration': 7.8}, {'text': 'drum rotating this part of the tool fits', 'start': 188.04, 'duration': 6.18}, {'text': 'on the bottom', 'start': 193.53, 'duration': 2.16}, {'text': 'obviously these are on the rear of the', 'start': 194.22, 'duration': 4.44}, {'text': 'Volkswagen they were standard left-hand', 'start': 195.69, 'duration': 5.75}, {'text': 'to undo thread so we put the device on', 'start': 198.66, 'duration': 6.329}, {'text': 'the very bottom you want to start at the', 'start': 201.44, 'duration': 5.169}, {'text': ""bottom so you've got some gear trouble"", 'start': 204.989, 'duration': 3.81}, {'text': ""to move with and then I'm just going to"", 'start': 206.609, 'duration': 5.901}, {'text': 'literally use a normal half inch', 'start': 208.799, 'duration': 6.961}, {'text': 'standard ratchet with an 11 mil socket', 'start': 212.51, 'duration': 5.59}, {'text': ""on the end and we'll see ya see what"", 'start': 215.76, 'duration': 4.47}, {'text': ""happens what I am going to do I'm gonna"", 'start': 218.1, 'duration': 4.68}, {'text': 'put my jack handle in between these two', 'start': 220.23, 'duration': 5.81}, {'text': 'wheel bolts just as a brace just in case', 'start': 222.78, 'duration': 8.19}, {'text': ""I'm overcoming the talk with the the"", 'start': 226.04, 'duration': 6.49}, {'text': ""hammer breaking resistant and then it's"", 'start': 230.97, 'duration': 3.81}, {'text': 'literally a case of just winding it up', 'start': 232.53, 'duration': 3.9}, {'text': ""I've never done this on this car before"", 'start': 234.78, 'duration': 3.15}, {'text': 'so I have no idea whether this is gonna', 'start': 236.43, 'duration': 3.419}, {'text': 'work it up fingers crossed', 'start': 237.93, 'duration': 4.61}, {'text': ""and with very little effort that's all"", 'start': 239.849, 'duration': 5.241}, {'text': 'there she goes', 'start': 242.54, 'duration': 8.11}, {'text': 'just wind it up on the ratchet', 'start': 245.09, 'duration': 8.77}, {'text': ""all the way to the top it's already"", 'start': 250.65, 'duration': 4.579}, {'text': 'starting to come loose', 'start': 253.86, 'duration': 5.749}, {'text': 'take it off we position it at the bottom', 'start': 255.229, 'duration': 4.38}, {'text': 'move that by hand and there we go finger', 'start': 262.1, 'duration': 8.2}, {'text': 'tight coming off and that is how simple', 'start': 266.13, 'duration': 8.67}, {'text': 'how painless and how effective this tool', 'start': 270.3, 'duration': 7.55}, {'text': 'really is there we go first time note is', 'start': 274.8, 'duration': 5.339}, {'text': 'all they need to do now is event a', 'start': 277.85, 'duration': 3.819}, {'text': ""machine that's equally good at finding"", 'start': 280.139, 'duration': 3.361}, {'text': 'the g-spot and the world will be a', 'start': 281.669, 'duration': 4.28}, {'text': 'better place', 'start': 283.5, 'duration': 2.449}]"
WkfR,,"[74, 200]",
VcfR,3tOE9vLEkLA,"[5, 16, 84]",
z5fR,3uQKWhugQGk,"[4, 13]",
TJfR,3ulQ-pISm54,"[20, 50]",
MlfR,KeubXS9S0Hw,[11],
6afR,pHICIiddBic,"[0, 1, 5]",
VpfR,F8VtGZ8CJeI,"[15, 18, 67, 170]",
vzfR,F9v6svFqv78,[182],
FCfR,FDiu55gsTAg,[8],
LsfR,EVua5bB7vw0,[212],
JxfR,EdDeIgX-yl8,"[20, 26, 123, 176, 683, 728, 1291, 1356]",
tafR,GDVBcya8bfo,"[73, 200]",
2XfR,ySoi2IK_keA,"[60, 166, 398, 482, 501, 664]",
9mfR,yU2JRei6XAw,"[2, 76, 419, 1597]",
jgfR,UM29yZWjf8Y,[12],
d7fR,S4kFfGZocsg,"[9, 935, 3376]",
ZPfR,SEtBdjWXFSA,"[2, 7, 218, 252]",
zFfR,SGSmYdOK9Tg,"[4, 9, 10]",
yJfR,SH34NmfYNoo,"[88, 184, 364]",
h0hm,HxXGgOR18Dw,"[3, 4, 6, 13, 1936]",
Ikhm,dcAij4Z4S5E,"[2, 17, 43, 60, 101, 286, 340]",
ULhm,diIPIXQ7IrA,"[6, 414]",
