2yoV,EMa8TXWwTNA,"[5, 16]",
BooV,6vGLrb-INKw,[14],
GUoV,71rKjgswQtQ,"[0, 1, 2922]",
utoV,yxQ5Et4ObC0,"[15, 18, 59, 178, 773, 805]",
umoV,o7fl9VG42iM,"[4, 9, 10, 34]",
1soV,oCmMbil5wCY,[14],
pkoV,oDYJDFOqOpk,"[4, 13, 41]",
dboV,qT7Mmbmuw8U,[12],
qxoV,qc7_2-b1bN0,"[11, 20, 22, 29, 32, 752, 2254, 3282]","[{'text': 'shrimp have long been the most popular', 'start': 9.6, 'duration': 5.02}, {'text': 'seafood on mainstream menus and for good', 'start': 11.98, 'duration': 3.18}, {'text': 'reason', 'start': 14.62, 'duration': 3.24}, {'text': 'shrimp make a great appetizer entree', 'start': 15.16, 'duration': 5.67}, {'text': 'ingredient or topping the extensive', 'start': 17.86, 'duration': 4.95}, {'text': 'offerings of portico brand cover all', 'start': 20.83, 'duration': 4.019}, {'text': 'shrimp applications and we carry a wide', 'start': 22.81, 'duration': 3.24}, {'text': 'range of counts', 'start': 24.849, 'duration': 3.48}, {'text': 'we also offer different forms of shrimp', 'start': 26.05, 'duration': 4.86}, {'text': 'such as raw or cooked peeled and', 'start': 28.329, 'duration': 5.191}, {'text': 'deveined shell on or off and more', 'start': 30.91, 'duration': 5.4}, {'text': 'whatever your choice portico has you', 'start': 33.52, 'duration': 5.67}, {'text': ""covered let's get started in a medium"", 'start': 36.31, 'duration': 5.28}, {'text': 'bowl toss the shrimp with lemon and lime', 'start': 39.19, 'duration': 8.43}, {'text': 'juice until well combined cover and', 'start': 41.59, 'duration': 8.01}, {'text': 'refrigerate for at least four hours or', 'start': 47.62, 'duration': 4.29}, {'text': 'up to overnight giving it an occasional', 'start': 49.6, 'duration': 5.82}, {'text': 'stir as the shrimp marinades the acidity', 'start': 51.91, 'duration': 5.76}, {'text': 'of the juice cooks the shrimp giving it', 'start': 55.42, 'duration': 4.13}, {'text': 'a firm texture an opaque appearance', 'start': 57.67, 'duration': 4.35}, {'text': 'while the shrimp marinades whisk', 'start': 59.55, 'duration': 8.459}, {'text': 'together the oil sugar paprika salt in', 'start': 62.02, 'duration': 8.58}, {'text': 'remaining lemon and lime juice in a', 'start': 68.009, 'duration': 13.051}, {'text': 'small bowl next chop the tomatoes', 'start': 70.6, 'duration': 16.89}, {'text': 'cilantro and onion and mince the serrano', 'start': 81.06, 'duration': 12.099}, {'text': 'peppers once the shrimp is marinated', 'start': 87.49, 'duration': 7.47}, {'text': 'pour off the liquid from the shrimp', 'start': 93.159, 'duration': 5.031}, {'text': 'mixture and the chopped tomatoes', 'start': 94.96, 'duration': 10.589}, {'text': 'cilantro onion serrano peppers an oil', 'start': 98.19, 'duration': 11.83}, {'text': 'juice mixture then give it a good toss', 'start': 105.549, 'duration': 10.231}, {'text': 'to combine the ingredients if this dish', 'start': 110.02, 'duration': 7.95}, {'text': 'is not being served immediately you can', 'start': 115.78, 'duration': 4.25}, {'text': 'cover and refrigerate for up to two days', 'start': 117.97, 'duration': 4.62}, {'text': 'serve with tortilla chips garnished with', 'start': 120.03, 'duration': 4.019}, {'text': 'lime wedges if desired', 'start': 122.59, 'duration': 4.23}, {'text': 'ceviche has recently experienced the', 'start': 124.049, 'duration': 4.66}, {'text': 'highest percentage of growth among men', 'start': 126.82, 'duration': 4.02}, {'text': ""you'd see food a great way to take"", 'start': 128.709, 'duration': 3.75}, {'text': 'advantage of this trend is with a', 'start': 130.84, 'duration': 3.99}, {'text': 'ceviche bar provide your customers with', 'start': 132.459, 'duration': 4.86}, {'text': 'their choice of seafood such as halibut', 'start': 134.83, 'duration': 6.45}, {'text': 'salmon tuna or calamari in addition to', 'start': 137.319, 'duration': 6.481}, {'text': 'shrimp and offer select toppings to make', 'start': 141.28, 'duration': 5.039}, {'text': 'it their own for those seeking edgy or', 'start': 143.8, 'duration': 4.89}, {'text': 'flavor profiles include ethnic toppings', 'start': 146.319, 'duration': 5.731}, {'text': 'like red onion corn cilantro sweet', 'start': 148.69, 'duration': 6.12}, {'text': 'potatoes and aji amarillo or habanero', 'start': 152.05, 'duration': 5.09}, {'text': 'chili peppers for Peruvian style ceviche', 'start': 154.81, 'duration': 5.16}, {'text': 'for more fresh and flavorful ways to', 'start': 157.14, 'duration': 5.47}, {'text': 'expand your menu visit us at Cisco', 'start': 159.97, 'duration': 3.87}, {'text': 'easy.com', 'start': 162.61, 'duration': 3.75}, {'text': 'or download our free Chef rap act at', 'start': 163.84, 'duration': 7.009}, {'text': 'chef Rafi Cisco com', 'start': 166.36, 'duration': 4.489}, {'text': 'you', 'start': 171.18, 'duration': 2.059}]"
28oV,,[289],
mSoV,IxpBFhn-RAw,"[2, 7]","[{'text': ""hey how's it going guys just gonna show"", 'start': 0.8, 'duration': 7.269}, {'text': 'you how to connect integrated taillight', 'start': 4.23, 'duration': 8.1}, {'text': 'that I bought for a cbr1000rr as you can', 'start': 8.069, 'duration': 8.731}, {'text': 'see you got a green red black wire that', 'start': 12.33, 'duration': 6.77}, {'text': 'is coming out of the integrated', 'start': 16.8, 'duration': 7.85}, {'text': 'taillight with two long yellow wires and', 'start': 19.1, 'duration': 9.429}, {'text': 'those are for your signals and the three', 'start': 24.65, 'duration': 9.069}, {'text': 'wires are for your brake lights so as', 'start': 28.529, 'duration': 10.491}, {'text': 'you can see here I have taken off the', 'start': 33.719, 'duration': 5.301}, {'text': 'connection from my stock stock hey like', 'start': 39.68, 'duration': 10.09}, {'text': 'here is the stock taillight right there', 'start': 47.059, 'duration': 6.401}, {'text': 'and you can see I took out I snipped off', 'start': 49.77, 'duration': 6.21}, {'text': 'the back right here where the connection', 'start': 53.46, 'duration': 5.099}, {'text': 'was and using the stock connection', 'start': 55.98, 'duration': 5.07}, {'text': 'because I know it will be a solid', 'start': 58.559, 'duration': 6.091}, {'text': 'connection when I click it into the male', 'start': 61.05, 'duration': 8.37}, {'text': 'connector so as you can see on your', 'start': 64.65, 'duration': 6.57}, {'text': 'stock connection you have a black yellow', 'start': 69.42, 'duration': 5.58}, {'text': 'which is connected to the green and then', 'start': 71.22, 'duration': 6.81}, {'text': 'you have a black and white which is', 'start': 75.0, 'duration': 6.96}, {'text': 'connected to red and a black to black', 'start': 78.03, 'duration': 7.8}, {'text': 'and then your two yellow for your', 'start': 81.96, 'duration': 6.15}, {'text': 'signals is gonna be for your left and', 'start': 85.83, 'duration': 6.929}, {'text': 'right and if you see here where is it', 'start': 88.11, 'duration': 8.64}, {'text': ""you see the two orange there's an orange"", 'start': 92.759, 'duration': 7.29}, {'text': ""and the blue so you're gonna go to blue"", 'start': 96.75, 'duration': 7.74}, {'text': 'positive so one yellow one yellow which', 'start': 100.049, 'duration': 5.941}, {'text': 'is this is the other end of the', 'start': 104.49, 'duration': 3.69}, {'text': ""connector it's going to go to the blue"", 'start': 105.99, 'duration': 7.379}, {'text': ""wire and your orange connector that's"", 'start': 108.18, 'duration': 7.469}, {'text': 'the other one is gonna go to the orange', 'start': 113.369, 'duration': 6.241}, {'text': 'wire so hopefully that helps you out a', 'start': 115.649, 'duration': 6.15}, {'text': ""little bit I'm just gonna connect this"", 'start': 119.61, 'duration': 5.6}, {'text': 'and see how it goes', 'start': 121.799, 'duration': 3.411}]"
EnoV,,"[4, 14]",
LjoV,1OmVPr60E-E,"[0, 5, 16, 244, 292]",
DyoV,qo6PsB-s6JA,"[17, 19, 272]",
UHoV,dCjcIgI9dZQ,"[8, 3196]",
SIoV,2ep_OIXzebg,"[11, 20, 22, 29, 32, 173, 221]",
sJoV,2kaTXgDGj4o,"[0, 643]",
IxoV,hiRC-KKxR0c,"[0, 1, 124, 153, 1026]",
f8oV,mmOGENwfvzI,"[2, 7, 90]",
1BoV,Cy88wfO5lfg,[14],
3koV,YjDN_5KQdqo,[12],
mjoV,kPN5W4lHrJw,"[6, 8]",
FQoV,kdbncx0Kl4k,[3],
nMoV,LGA97q7fWTA,"[88, 248, 985]",
S5oV,LJ9hKoBhiLo,"[4, 9, 10, 34, 391]",
JIoV,,[579],
FxoV,13xBQnt4qRc,"[3, 13]",
CgoV,18CLnX_yJ70,"[3, 6, 8]",
UnoV,1EuEhfiSqd0,"[2, 7, 196, 197, 316, 942]",
fUoV,lV0xnSi1Tug,"[0, 1, 69, 844, 1760]",
eYoV,lZi5XhLYd3c,"[3, 6, 8]",
26oV,1kxEbTEen6k,"[557, 1286]",
jnoV,wc2n3BcgYWE,"[6, 8]",
EPoV,wmNRdXfw0I0,"[21, 23, 24, 2614]",
jUoV,wwrkVKo6qGQ,"[31, 40, 41, 47, 57]",
rGoV,XAvBBFPm_wQ,[3],
stoV,3keZ5O66PyQ,[3],
pGoV,3kxnsYwkaoQ,"[3, 4, 6, 13]",
IXoV,3u-ybih4HYk,"[0, 5]",
