IUk4,VrbFeSg6DZ4,"[3, 6, 10, 28]",
Pek4,rq8xdOD-sHY,[333],
aKk4,rxaqcGs680c,"[3, 324]",
hAk4,zwN5X-4ri2E,"[4, 9, 10]",
umk4,Fhf8dfz9-eY,[17],
JBk4,x3miv402PEg,[318],"[{'text': 'starters for the horses to the gate now', 'start': 0.0, 'duration': 4.83}, {'text': ""we move again for tonight's a trace it's"", 'start': 1.589, 'duration': 5.901}, {'text': 'sposed time', 'start': 4.83, 'duration': 2.66}, {'text': ""she'll settle the gate where you can"", 'start': 19.51, 'duration': 3.81}, {'text': 'test the second issue of these simple', 'start': 21.49, 'duration': 7.98}, {'text': 'sticks here they come often teasing doli', 'start': 23.32, 'duration': 8.31}, {'text': 'doli fast away from the side of the', 'start': 29.47, 'duration': 3.87}, {'text': 'racetrack from the inside some beach', 'start': 31.63, 'duration': 4.38}, {'text': 'somewhere taking back to third legacy in', 'start': 33.34, 'duration': 5.73}, {'text': 'diamonds and the fourth one is an direct', 'start': 36.01, 'duration': 6.39}, {'text': 'and act and as good as some beach', 'start': 39.07, 'duration': 5.79}, {'text': 'somewhere strikes 12 the front end Oh a', 'start': 42.4, 'duration': 4.38}, {'text': 'second at the inside is then ordered to', 'start': 44.86, 'duration': 4.29}, {'text': ""the quarter Mary's dolly it's five"", 'start': 46.78, 'duration': 4.23}, {'text': 'months back against at third to find', 'start': 49.15, 'duration': 3.6}, {'text': 'legacy and Dinah check of this first', 'start': 51.01, 'duration': 3.869}, {'text': 'fraction 25 and 3 in the ring of the', 'start': 52.75, 'duration': 4.47}, {'text': 'backstretch some somewhere else so the', 'start': 54.879, 'duration': 4.261}, {'text': 'length and a half back in second wives', 'start': 57.22, 'duration': 4.589}, {'text': ""along dolly it's five more legs back 13"", 'start': 59.14, 'duration': 4.589}, {'text': 'side to find legacy and diamonds two', 'start': 61.809, 'duration': 3.691}, {'text': 'more back at the inside walls to enter', 'start': 63.729, 'duration': 4.411}, {'text': 'life in racing 150 million past six and', 'start': 65.5, 'duration': 4.71}, {'text': 'student center seventh allows to create', 'start': 68.14, 'duration': 4.56}, {'text': 'systems magnum field on its later the', 'start': 70.21, 'duration': 4.56}, {'text': 'half and on idling speed is some beach', 'start': 72.7, 'duration': 3.75}, {'text': 'somewhere ease up front by a length of', 'start': 74.77, 'duration': 3.51}, {'text': 'the quarter right there from second one', 'start': 76.45, 'duration': 3.75}, {'text': 'Tony six months back the legacy and', 'start': 78.28, 'duration': 3.21}, {'text': 'diamonds that anderlecht and then', 'start': 80.2, 'duration': 2.97}, {'text': 'heating pad do since their trailer', 'start': 81.49, 'duration': 5.25}, {'text': 'storage Megan a half of 53 two-fifths my', 'start': 83.17, 'duration': 6.45}, {'text': 'classes coming technique son beets and', 'start': 86.74, 'duration': 5.04}, {'text': 'herbs flex his stuffs leads by two', 'start': 89.62, 'duration': 5.1}, {'text': 'lights now back in second treats a while', 'start': 91.78, 'duration': 5.43}, {'text': 'ago 10x back at the inside third to', 'start': 94.72, 'duration': 4.68}, {'text': 'legacy and diamonds company outside from', 'start': 97.21, 'duration': 3.54}, {'text': 'and forth while ease up where you can', 'start': 99.4, 'duration': 4.05}, {'text': 'pan back to narrow emission there was', 'start': 100.75, 'duration': 5.25}, {'text': 'some beach somewhere he kicks away by 4x', 'start': 103.45, 'duration': 5.01}, {'text': ""three quarters and it's on the board 1"", 'start': 106.0, 'duration': 6.63}, {'text': '20 and 26 top of the stretch time for', 'start': 108.46, 'duration': 6.03}, {'text': 'some beach somewhere coming in asti', 'start': 112.63, 'duration': 6.82}, {'text': 'three something somewhere', 'start': 114.49, 'duration': 7.299}, {'text': 'dolly back in second tiptoe from third', 'start': 119.45, 'duration': 4.559}, {'text': ""meltable hegan pen there's the seven"", 'start': 121.789, 'duration': 4.531}, {'text': 'eight mile marker some allergy for some', 'start': 124.009, 'duration': 3.811}, {'text': ""beach somewhere he's still there by"", 'start': 126.32, 'duration': 3.719}, {'text': 'sonics look at the mohegan Pancham', 'start': 127.82, 'duration': 4.529}, {'text': 'seemed a on the outside summer summer', 'start': 130.039, 'duration': 4.411}, {'text': 'school bus routes and some beach', 'start': 132.349, 'duration': 4.351}, {'text': 'somewhere adds the simple sketch to the', 'start': 134.45, 'duration': 4.5}, {'text': ""sponsor impressive resume and he's home"", 'start': 136.7, 'duration': 5.96}, {'text': 'in 151 says', 'start': 138.95, 'duration': 3.71}]"
Uik4,J8gmubWrsFg,"[5, 150, 204, 1618]",
CMk4,,"[21, 23, 24, 1321, 2301]",
Suk4,QhvqCe_6qXQ,"[15, 18, 170]",
HWk4,QqgHgbwCjqI,"[62, 270, 867]",
R9k4,,[1833],
qIk4,Qs8htatMX3s,[6],
jVk4,PCx-GIYb8GE,"[166, 398, 501]",
Zzk4,PCR4p-PvY1A,"[2, 44, 46, 107, 109, 114, 138, 145, 602, 1883]",
n4k4,H74s1aUGXeo,[12],
