eEhu,tZ-IrAHKPw4,[25],
Hshu,FmgFlSo1d28,"[0, 12]",
3lhu,FzEgWx3Df1s,"[2, 30]",
X5hu,KiPlKbg4IvA,"[49, 80, 127, 277]",
4ihu,Ki_03DA6STg,"[401, 732, 1067, 2554]","[{'text': 'everybody its Cara I have been having a', 'start': 0.179, 'duration': 4.591}, {'text': 'ton of fun this weekend playing with my', 'start': 3.06, 'duration': 4.71}, {'text': 'beads I pulled out some of these safety', 'start': 4.77, 'duration': 5.64}, {'text': 'pins that I had had for a while these', 'start': 7.77, 'duration': 5.73}, {'text': 'with the loops I got from Etsy and these', 'start': 10.41, 'duration': 6.119}, {'text': 'just the larger regular safety pins I', 'start': 13.5, 'duration': 5.55}, {'text': ""picked up at Joanne's for I got a"", 'start': 16.529, 'duration': 6.181}, {'text': 'package of he was 20 or 28 for under $3', 'start': 19.05, 'duration': 5.76}, {'text': 'so I got those and I pulled them out', 'start': 22.71, 'duration': 5.01}, {'text': 'because I wanted to make some charms so', 'start': 24.81, 'duration': 4.139}, {'text': 'I have several of them made that I', 'start': 27.72, 'duration': 3.719}, {'text': ""wanted to share with you guys here's the"", 'start': 28.949, 'duration': 4.11}, {'text': 'very first one that I made just kind of', 'start': 31.439, 'duration': 3.091}, {'text': 'kept it simple with some pretty beads', 'start': 33.059, 'duration': 6.811}, {'text': 'and charms and then here is the next one', 'start': 34.53, 'duration': 8.34}, {'text': 'that I made these first two I used the', 'start': 39.87, 'duration': 7.349}, {'text': 'ones that had the loops on there this', 'start': 42.87, 'duration': 7.04}, {'text': 'one I added some chains some more charms', 'start': 47.219, 'duration': 5.191}, {'text': 'kind of a Christmas theme to it I', 'start': 49.91, 'duration': 4.66}, {'text': 'thought that was cute and then I wanted', 'start': 52.41, 'duration': 4.169}, {'text': 'to use just these regular safety pins', 'start': 54.57, 'duration': 3.87}, {'text': ""because I think that's what most people"", 'start': 56.579, 'duration': 4.561}, {'text': 'will have the easiest access to and I', 'start': 58.44, 'duration': 4.38}, {'text': 'thought they were really cute but you', 'start': 61.14, 'duration': 4.14}, {'text': 'can put a ton on these and I love how', 'start': 62.82, 'duration': 5.94}, {'text': 'chunky they look so let me show you the', 'start': 65.28, 'duration': 6.409}, {'text': ""ones I've made here's the first one"", 'start': 68.76, 'duration': 5.64}, {'text': 'another pink and kind of clear theme', 'start': 71.689, 'duration': 5.5}, {'text': 'with some hearts you can see the spacer', 'start': 74.4, 'duration': 6.69}, {'text': 'beads up there super simple to make so', 'start': 77.189, 'duration': 5.79}, {'text': 'much fun I will be doing a tutorial', 'start': 81.09, 'duration': 5.13}, {'text': 'video I actually ordered some more of', 'start': 82.979, 'duration': 5.64}, {'text': 'these in kind of that bronzy color and I', 'start': 86.22, 'duration': 3.75}, {'text': 'want to have those so you can see the', 'start': 88.619, 'duration': 4.561}, {'text': 'different options that I made one more', 'start': 89.97, 'duration': 7.2}, {'text': 'that had hearts on it I show you this', 'start': 93.18, 'duration': 11.79}, {'text': 'one that has all of these hopefully you', 'start': 97.17, 'duration': 9.989}, {'text': 'can see how cute those are I love them I', 'start': 104.97, 'duration': 4.05}, {'text': 'think these will be great Christmas', 'start': 107.159, 'duration': 4.381}, {'text': 'gifts for friends you could totally gear', 'start': 109.02, 'duration': 4.709}, {'text': ""these towards you know what's one person"", 'start': 111.54, 'duration': 8.67}, {'text': 'in particular likes this one I did with', 'start': 113.729, 'duration': 9.6}, {'text': ""more blues in Claire's and there's a"", 'start': 120.21, 'duration': 5.009}, {'text': 'little heart flower or a little flower', 'start': 123.329, 'duration': 4.951}, {'text': 'in their little heart back here with a', 'start': 125.219, 'duration': 7.471}, {'text': ""rhinestone there's a really cute shoe"", 'start': 128.28, 'duration': 7.86}, {'text': ""I don't know if you guys all have access"", 'start': 132.69, 'duration': 5.34}, {'text': ""to Michael's but if you do Michaels has"", 'start': 136.14, 'duration': 4.02}, {'text': 'some really cute just little simple', 'start': 138.03, 'duration': 5.75}, {'text': 'charm sets that were perfect for these', 'start': 140.16, 'duration': 7.35}, {'text': ""so there's that one then these last two"", 'start': 143.78, 'duration': 6.58}, {'text': ""are my favorite I love them they'll be"", 'start': 147.51, 'duration': 7.73}, {'text': ""difficult to give away so here's one"", 'start': 150.36, 'duration': 7.77}, {'text': 'again in the blues but it has kind of a', 'start': 155.24, 'duration': 5.65}, {'text': 'wintery theme to it with a big snowman', 'start': 158.13, 'duration': 4.08}, {'text': 'charm', 'start': 160.89, 'duration': 4.89}, {'text': 'some snowflakes little snowflakes hiding', 'start': 162.21, 'duration': 9.89}, {'text': 'back there super cute I love the big', 'start': 165.78, 'duration': 9.35}, {'text': 'chunky chunky nough sub DS with the big', 'start': 172.1, 'duration': 5.62}, {'text': 'charm and this time instead of using the', 'start': 175.13, 'duration': 5.83}, {'text': 'spacer beads I used clear little glass', 'start': 177.72, 'duration': 4.8}, {'text': 'beads which I think worked pretty well', 'start': 180.96, 'duration': 4.11}, {'text': ""there's that one and then here's my"", 'start': 182.52, 'duration': 6.48}, {'text': 'favorite I love this one this one is all', 'start': 185.07, 'duration': 5.91}, {'text': ""in blacks and Silver's there's a little"", 'start': 189.0, 'duration': 6.27}, {'text': 'mirror back here really kyushu diva', 'start': 190.98, 'duration': 7.44}, {'text': 'charm a little crown I love these I', 'start': 195.27, 'duration': 4.56}, {'text': 'think these are absolutely adorable I', 'start': 198.42, 'duration': 3.33}, {'text': 'had such a blast I literally had to tell', 'start': 199.83, 'duration': 3.15}, {'text': 'myself to stop because I have other', 'start': 201.75, 'duration': 3.84}, {'text': 'things I have to do because they were so', 'start': 202.98, 'duration': 6.0}, {'text': 'simple and easy to make I made I think', 'start': 205.59, 'duration': 7.05}, {'text': 'all but two of these last night in a', 'start': 208.98, 'duration': 4.29}, {'text': 'couple hours', 'start': 212.64, 'duration': 2.7}, {'text': 'super simple you put them together', 'start': 213.27, 'duration': 5.82}, {'text': 'similarly to a charm bracelet so easy I', 'start': 215.34, 'duration': 6.6}, {'text': 'will be doing like i said a tutorial', 'start': 219.09, 'duration': 6.09}, {'text': 'video in the next probably week or so to', 'start': 221.94, 'duration': 4.769}, {'text': 'show you guys how easy it is to make', 'start': 225.18, 'duration': 3.48}, {'text': 'these hopefully you try this out because', 'start': 226.709, 'duration': 4.231}, {'text': 'i loved it it was so much fun and like i', 'start': 228.66, 'duration': 4.56}, {'text': 'said a great gift idea so thanks so much', 'start': 230.94, 'duration': 4.2}, {'text': 'for watching let me know if you have any', 'start': 233.22, 'duration': 4.769}, {'text': 'basic questions and be watching for that', 'start': 235.14, 'duration': 4.46}, {'text': ""tutorial that'll be coming up soon"", 'start': 237.989, 'duration': 6.231}, {'text': 'thanks everybody have a great day bye', 'start': 239.6, 'duration': 4.62}]"
Mhhu,9JVdbf9NHqo,"[3, 4, 9, 28]",
Srhu,ufIEn3Id5N4,"[0, 1, 309, 1018]",
lHhu,,"[0, 5, 1135]",
hnhu,q-e65r4lcQA,[3],
KWhu,VIPamgeOvx8,"[603, 1376]",
o9hu,VTmRFvvVnfc,[3],
mShu,0mIa9FDKE2s,[141],
