Lzps,lXD5TUmS8Tk,"[0, 1, 42, 223, 323]",
VNps,lcAsYRXWSy0,"[1466, 2048]",
ePps,PqfM6y9XYA8,[14],
TIps,PwQF171ihfU,"[21, 3663]","[{'text': ""and it's up everybody mr. biggie Mack"", 'start': 0.29, 'duration': 6.15}, {'text': 'here with a quick review on the verizon', 'start': 3.0, 'duration': 7.29}, {'text': 'gel snap on case that i bought the other', 'start': 6.44, 'duration': 7.63}, {'text': 'day when i bought my phone not a bad', 'start': 10.29, 'duration': 7.44}, {'text': 'case guys 1699 the verizon store you can', 'start': 14.07, 'duration': 5.01}, {'text': 'get it at best buy for about the same', 'start': 17.73, 'duration': 4.74}, {'text': ""price but it's in a body glove box in a"", 'start': 19.08, 'duration': 8.789}, {'text': ""package so it's made by body glove but"", 'start': 22.47, 'duration': 7.92}, {'text': ""that all it's it's it's a good case yeah"", 'start': 27.869, 'duration': 5.361}, {'text': 'it fits the phone really nice and tight', 'start': 30.39, 'duration': 5.07}, {'text': ""like i said i don't know if you guys"", 'start': 33.23, 'duration': 5.829}, {'text': 'have seen that case yet but if you look', 'start': 35.46, 'duration': 8.279}, {'text': 'here if you look here and in the center', 'start': 39.059, 'duration': 6.631}, {'text': ""here you see where this is that that's"", 'start': 43.739, 'duration': 6.211}, {'text': 'all soft like thanks see ok and this', 'start': 45.69, 'duration': 6.9}, {'text': 'darker part is all hard plastic these', 'start': 49.95, 'duration': 6.359}, {'text': ""clips are really nice okay these aren't"", 'start': 52.59, 'duration': 4.77}, {'text': 'going to be the ones where they just', 'start': 56.309, 'duration': 4.41}, {'text': 'chip off and bust okay and as you can', 'start': 57.36, 'duration': 6.39}, {'text': 'see you can fold this thing in half but', 'start': 60.719, 'duration': 4.951}, {'text': ""it's still kind of its so kind of"", 'start': 63.75, 'duration': 3.42}, {'text': ""adorable i mean it's got a good feel to"", 'start': 65.67, 'duration': 4.949}, {'text': 'it okay as you as you will hear here in', 'start': 67.17, 'duration': 9.42}, {'text': 'a second once you snap his case on okay', 'start': 70.619, 'duration': 9.871}, {'text': ""it goes on it goes on all right you're"", 'start': 76.59, 'duration': 5.22}, {'text': 'not going to be reaching in your pocket', 'start': 80.49, 'duration': 2.82}, {'text': 'and go to pull your phone out in the', 'start': 81.81, 'duration': 6.39}, {'text': 'front face plate fall off like i know a', 'start': 83.31, 'duration': 6.78}, {'text': 'lot of us has had when when you get', 'start': 88.2, 'duration': 4.349}, {'text': 'these little ring things like this on', 'start': 90.09, 'duration': 5.34}, {'text': ""there that's not going to happen with"", 'start': 92.549, 'duration': 5.881}, {'text': ""this case guys it's a really good case i"", 'start': 95.43, 'duration': 5.729}, {'text': 'really like it all except one thing and', 'start': 98.43, 'duration': 7.009}, {'text': ""that's the only reason that I'm going to"", 'start': 101.159, 'duration': 9.871}, {'text': 'not use this case um I love the texture', 'start': 105.439, 'duration': 7.601}, {'text': 'of the feel I love the contour of it', 'start': 111.03, 'duration': 5.939}, {'text': 'okay on the phone on the door itself it', 'start': 113.04, 'duration': 6.3}, {'text': 'does have this contour were kind of', 'start': 116.969, 'duration': 4.771}, {'text': 'scoops up here at the ends so when you', 'start': 119.34, 'duration': 4.47}, {'text': 'set it down flat you still got air space', 'start': 121.74, 'duration': 4.199}, {'text': 'underneath for your sound to come out', 'start': 123.81, 'duration': 5.819}, {'text': 'through and what I did was I went online', 'start': 125.939, 'duration': 8.151}, {'text': 'and I ordered from Zach com I ordered a', 'start': 129.629, 'duration': 12.381}, {'text': 'full body kit for my droid if you use', 'start': 134.09, 'duration': 7.92}, {'text': 'protect protect 20 is the coupon code', 'start': 144.41, 'duration': 9.969}, {'text': 'right now at sag com you get an extra', 'start': 150.72, 'duration': 6.48}, {'text': 'you get you twenty percent off which had', 'start': 154.379, 'duration': 5.61}, {'text': 'a 25 bucks it takes it down to like', 'start': 157.2, 'duration': 5.97}, {'text': 'nineteen dollars in some sense okay with', 'start': 159.989, 'duration': 5.821}, {'text': 'shipping is like three bucks 299 so out', 'start': 163.17, 'duration': 5.61}, {'text': ""the door it's like 20 to something okay"", 'start': 165.81, 'duration': 7.259}, {'text': 'um so you get a few bucks I mean that', 'start': 168.78, 'duration': 6.51}, {'text': 'adds in the shipping so you know you', 'start': 173.069, 'duration': 4.56}, {'text': ""figure you're saving your saving at"", 'start': 175.29, 'duration': 7.97}, {'text': ""least five bucks on it so PA it's a"", 'start': 177.629, 'duration': 8.341}, {'text': 'pretty good case you know the only thing', 'start': 183.26, 'duration': 5.589}, {'text': ""that I don't like about this case and it"", 'start': 185.97, 'duration': 6.33}, {'text': 'might just be me being me you know but', 'start': 188.849, 'duration': 6.511}, {'text': 'if you guys look here at the top of the', 'start': 192.3, 'duration': 6.92}, {'text': 'keypad heard along this topper oh okay', 'start': 195.36, 'duration': 9.0}, {'text': 'you see how close that the side of it is', 'start': 199.22, 'duration': 9.22}, {'text': 'to the top row them buttons okay now', 'start': 204.36, 'duration': 5.58}, {'text': ""watch it let's see if I can pull this"", 'start': 208.44, 'duration': 5.609}, {'text': 'off flies and flame okay now look you', 'start': 209.94, 'duration': 5.939}, {'text': 'see how much room you gather you gain', 'start': 214.049, 'duration': 4.621}, {'text': 'without this being on there you get this', 'start': 215.879, 'duration': 6.42}, {'text': 'whole piece up here between the keys in', 'start': 218.67, 'duration': 5.819}, {'text': 'the keyboard just automatically', 'start': 222.299, 'duration': 5.341}, {'text': 'disappears as soon as you put this on', 'start': 224.489, 'duration': 9.441}, {'text': 'here like so see that watch', 'start': 227.64, 'duration': 6.29}, {'text': 'see that now me I got big hands so um it', 'start': 235.78, 'duration': 10.75}, {'text': 'made it a lot more comfortable not', 'start': 243.769, 'duration': 4.291}, {'text': ""having a case on it that's why exactly"", 'start': 246.53, 'duration': 5.31}, {'text': 'why I ordered my zagg kit and you know', 'start': 248.06, 'duration': 7.86}, {'text': ""people buy phones like this me I'm an"", 'start': 251.84, 'duration': 7.859}, {'text': 'accessory geek I like my toys so and I', 'start': 255.92, 'duration': 7.77}, {'text': 'love the way this phone looks I love the', 'start': 259.699, 'duration': 5.94}, {'text': 'the white lettering on it I love the', 'start': 263.69, 'duration': 5.52}, {'text': 'gold accents the gold lettering the you', 'start': 265.639, 'duration': 5.491}, {'text': 'know just everything about it just looks', 'start': 269.21, 'duration': 6.17}, {'text': 'great and I love the feel of the thin', 'start': 271.13, 'duration': 7.65}, {'text': 'slider and I love to click it just works', 'start': 275.38, 'duration': 6.159}, {'text': 'really really well but with that case a', 'start': 278.78, 'duration': 7.08}, {'text': 'thumb with this Snapple in case that you', 'start': 281.539, 'duration': 6.421}, {'text': ""hear me snap it on again it's it's got"", 'start': 285.86, 'duration': 3.6}, {'text': 'one hell of a grip on it when it snaps', 'start': 287.96, 'duration': 5.82}, {'text': ""on that's the only drawback that I have"", 'start': 289.46, 'duration': 7.079}, {'text': 'with keeping this space now once i get', 'start': 293.78, 'duration': 6.66}, {'text': ""my zagg kit i'll be doing a installation"", 'start': 296.539, 'duration': 6.571}, {'text': ""unboxing of that and then i'll do a"", 'start': 300.44, 'duration': 6.72}, {'text': ""giveaway on this case here once there's"", 'start': 303.11, 'duration': 10.11}, {'text': ""two videos you're out so yeah that's"", 'start': 307.16, 'duration': 9.45}, {'text': 'really buddy guys an update on how I', 'start': 313.22, 'duration': 5.97}, {'text': ""like the phone I can't say a bad thing"", 'start': 316.61, 'duration': 6.15}, {'text': ""about it I've had so much fun pissing"", 'start': 319.19, 'duration': 6.18}, {'text': 'around on this thing with doing my', 'start': 322.76, 'duration': 6.629}, {'text': 'facebook and youtube and the barcode', 'start': 325.37, 'duration': 8.76}, {'text': 'scanner and just a walk ons a really', 'start': 329.389, 'duration': 8.161}, {'text': 'weird fun stuff with it the reading the', 'start': 334.13, 'duration': 9.65}, {'text': 'news the RSS feeds um just everything I', 'start': 337.55, 'duration': 9.78}, {'text': ""haven't used the GPS yet I've used the"", 'start': 343.78, 'duration': 6.34}, {'text': 'map where when you hit the map it shows', 'start': 347.33, 'duration': 4.26}, {'text': ""you your locations and if you're driving"", 'start': 350.12, 'duration': 5.43}, {'text': 'along the street you are you know I mean', 'start': 351.59, 'duration': 5.34}, {'text': ""shows you dead right where you're at and"", 'start': 355.55, 'duration': 4.04}, {'text': 'if followed you to the to the point and', 'start': 356.93, 'duration': 7.049}, {'text': ""it's been fun but the look look for me"", 'start': 359.59, 'duration': 6.19}, {'text': ""on the fifteenth of December I'm going"", 'start': 363.979, 'duration': 2.611}, {'text': 'to do a fool', 'start': 365.78, 'duration': 5.37}, {'text': 'follow up review on two week you know', 'start': 366.59, 'duration': 7.26}, {'text': 'two-week review i did my 24-hour one', 'start': 371.15, 'duration': 6.18}, {'text': 'already and after that i probably go', 'start': 373.85, 'duration': 6.3}, {'text': ""like a month i'll do a month like a one"", 'start': 377.33, 'duration': 5.1}, {'text': 'month for view video and then a six', 'start': 380.15, 'duration': 3.99}, {'text': 'month I legends guys in over three', 'start': 382.43, 'duration': 3.87}, {'text': 'months and a six month and then I', 'start': 384.14, 'duration': 3.96}, {'text': ""elections guys know then how it's"", 'start': 386.3, 'duration': 3.57}, {'text': 'holding up and you know any problems', 'start': 388.1, 'duration': 5.69}, {'text': ""I've hacked with it so like I said just"", 'start': 389.87, 'duration': 7.23}, {'text': 'subscribe at least if you can at least', 'start': 393.79, 'duration': 7.21}, {'text': 'try to write the videos that way it gets', 'start': 397.1, 'duration': 8.58}, {'text': ""good ratings you know and that's really"", 'start': 401.0, 'duration': 8.91}, {'text': 'about it guys so mr. biggie Mack saying', 'start': 405.68, 'duration': 6.15}, {'text': ""I'll see you guys on YouTube have a good"", 'start': 409.91, 'duration': 4.04}, {'text': 'one', 'start': 411.83, 'duration': 2.12}]"
B0ps,CQF2W_Tk870,[74],
ZTps,hLCYlm3yL1s,"[2, 7, 208]",
DQps,weEakKIQ3wM,"[0, 1, 153, 562]",
nNps,whseBgceo1Y,"[15, 1076]","[{'text': ""hi my name is Rochelle and I'm a pet"", 'start': 3.189, 'duration': 4.691}, {'text': ""room manager at sams OHS and i'm here"", 'start': 5.899, 'duration': 3.391}, {'text': 'today to talk to you about feeding', 'start': 7.88, 'duration': 5.37}, {'text': ""snakes um one option when you're feeding"", 'start': 9.29, 'duration': 7.019}, {'text': 'your snake is live versus frozen and', 'start': 13.25, 'duration': 4.59}, {'text': ""that's really the first question that"", 'start': 16.309, 'duration': 4.35}, {'text': 'you have to answer before you can move', 'start': 17.84, 'duration': 5.79}, {'text': ""on to feeding your snake there's lots of"", 'start': 20.659, 'duration': 6.061}, {'text': 'controversy over live versus frozen some', 'start': 23.63, 'duration': 6.569}, {'text': ""snakes won't take frozen a lot of times"", 'start': 26.72, 'duration': 4.649}, {'text': ""it's something that you have to"", 'start': 30.199, 'duration': 4.051}, {'text': ""introduce when they're young some snakes"", 'start': 31.369, 'duration': 4.561}, {'text': ""are so used to frozen they won't take"", 'start': 34.25, 'duration': 5.82}, {'text': ""live so it's going to be a matter of"", 'start': 35.93, 'duration': 6.27}, {'text': ""determining what's better for you and"", 'start': 40.07, 'duration': 4.08}, {'text': ""what's better for your snake with live"", 'start': 42.2, 'duration': 4.2}, {'text': 'there is always the risk of the snake', 'start': 44.15, 'duration': 6.18}, {'text': 'getting injured until the food is', 'start': 46.4, 'duration': 7.35}, {'text': ""actually dead with frozen obviously it's"", 'start': 50.33, 'duration': 5.28}, {'text': ""not going to fight back so that's not an"", 'start': 53.75, 'duration': 5.76}, {'text': 'issue you need to be aware of how to', 'start': 55.61, 'duration': 7.53}, {'text': 'properly feed frozen you need 25', 'start': 59.51, 'duration': 6.12}, {'text': 'properly it needs to be fully thawed all', 'start': 63.14, 'duration': 4.35}, {'text': 'the way to the inside before you can', 'start': 65.63, 'duration': 4.589}, {'text': 'feed it to the snake and a lot of times', 'start': 67.49, 'duration': 5.729}, {'text': 'you need tongs to move it to entice the', 'start': 70.219, 'duration': 6.121}, {'text': 'snakes related so you have to have all', 'start': 73.219, 'duration': 5.551}, {'text': 'the equipment necessary and be prepared', 'start': 76.34, 'duration': 5.819}, {'text': 'to feed frozen the for the next thing', 'start': 78.77, 'duration': 5.79}, {'text': 'you want to do is have a container to', 'start': 82.159, 'duration': 4.98}, {'text': ""feed your snake in it's not recommended"", 'start': 84.56, 'duration': 4.379}, {'text': 'that you feed your snake in their cage', 'start': 87.139, 'duration': 5.58}, {'text': 'where they live this can cause some', 'start': 88.939, 'duration': 6.841}, {'text': 'confusion on whether food is coming into', 'start': 92.719, 'duration': 6.15}, {'text': 'the cage or a hand and it does increase', 'start': 95.78, 'duration': 6.449}, {'text': 'the possibility of you getting bit so it', 'start': 98.869, 'duration': 5.581}, {'text': 'is best to have a cage like this', 'start': 102.229, 'duration': 4.621}, {'text': ""something simple doesn't have to have"", 'start': 104.45, 'duration': 5.519}, {'text': 'any substrate or decoration in it to', 'start': 106.85, 'duration': 5.009}, {'text': 'feed the snake in you just simply put', 'start': 109.969, 'duration': 3.101}, {'text': 'the snake in there', 'start': 111.859, 'duration': 2.891}, {'text': 'and put your food in whether it be live', 'start': 113.07, 'duration': 3.6}, {'text': ""or frozen and once they're finished"", 'start': 114.75, 'duration': 4.11}, {'text': 'eating then you can move them back to', 'start': 116.67, 'duration': 4.2}, {'text': 'their enclosure for larger snakes you', 'start': 118.86, 'duration': 4.71}, {'text': 'would need a larger tank to feed in but', 'start': 120.87, 'duration': 6.06}, {'text': 'for small snakes this is suitable and if', 'start': 123.57, 'duration': 5.52}, {'text': 'you were feeding frozen a lot of places', 'start': 126.93, 'duration': 6.779}, {'text': ""carry a frozen option and it's varying"", 'start': 129.09, 'duration': 7.86}, {'text': 'in size what I have here is adults but', 'start': 133.709, 'duration': 5.191}, {'text': 'you can get everything down to a little', 'start': 136.95, 'duration': 4.38}, {'text': 'pinky Mouse frozen so frozen foods come', 'start': 138.9, 'duration': 4.38}, {'text': 'in a variety of sizes no matter the size', 'start': 141.33, 'duration': 4.89}, {'text': 'of your snake and live foods also are', 'start': 143.28, 'duration': 6.11}, {'text': 'available in a variety of sizes so', 'start': 146.22, 'duration': 6.09}, {'text': 'either one is a good option it just', 'start': 149.39, 'duration': 5.11}, {'text': 'depends on your snake and what works for', 'start': 152.31, 'duration': 5.28}, {'text': 'you and your sink for more information', 'start': 154.5, 'duration': 6.47}, {'text': 'go to sam says calm', 'start': 157.59, 'duration': 3.38}]"
eCps,wuKTzzIonWc,"[2, 7, 90]",
gHps,3c0bNe3_IwI,"[6, 8]",
