Bjma,NFd1VBYIEM4,[7],
sgma,V9YJzqpHZuY,"[31, 40, 47, 57, 2287]",
5Dma,N7LWe0wIELU,"[522, 580, 750, 1561]",
DWma,OGBD_pkBJY0,"[2, 30]","[{'text': ""hey guys it's apple geek 777 year and"", 'start': 0.0, 'duration': 5.79}, {'text': 'today I wanted to do a quick review on', 'start': 3.449, 'duration': 8.041}, {'text': 'the new Fraser MX 50 and for all the', 'start': 5.79, 'duration': 7.38}, {'text': ""people that are saying it's not a good"", 'start': 11.49, 'duration': 4.14}, {'text': ""dirt bike it actually really is I'll"", 'start': 13.17, 'duration': 5.25}, {'text': 'take videos of me riding it and it', 'start': 15.63, 'duration': 4.68}, {'text': ""really is good it's a good start because"", 'start': 18.42, 'duration': 5.279}, {'text': ""it only go 70 miles per hour um and it's"", 'start': 20.31, 'duration': 5.1}, {'text': 'good for people that never been on a', 'start': 23.699, 'duration': 3.24}, {'text': 'dirt bike like young people have never', 'start': 25.41, 'duration': 3.689}, {'text': ""been on dirt bike that don't want like"", 'start': 26.939, 'duration': 4.051}, {'text': 'start off a big bike so this is a really', 'start': 29.099, 'duration': 6.181}, {'text': ""good start for that on it so let's go in"", 'start': 30.99, 'duration': 12.99}, {'text': ""there's my helmet okay so it comes with"", 'start': 35.28, 'duration': 11.97}, {'text': 'um this is the comics happening okay', 'start': 43.98, 'duration': 5.7}, {'text': ""yeah it's pretty it actually is a lot"", 'start': 47.25, 'duration': 5.43}, {'text': 'bigger than I thought it would be it has', 'start': 49.68, 'duration': 4.92}, {'text': 'a cool design these are all stickers', 'start': 52.68, 'duration': 3.66}, {'text': 'which kind of bothers me because I can', 'start': 54.6, 'duration': 8.13}, {'text': 'come off but whatever on so the seat is', 'start': 56.34, 'duration': 8.34}, {'text': ""like leather and it's very comfortable"", 'start': 62.73, 'duration': 6.24}, {'text': ""and then it just here's all the stickers"", 'start': 64.68, 'duration': 7.4}, {'text': ""over there then over here here's your"", 'start': 68.97, 'duration': 6.21}, {'text': 'little feet holders when I recall them', 'start': 72.08, 'duration': 6.579}, {'text': 'you can put them in and out the wheels', 'start': 75.18, 'duration': 6.869}, {'text': 'are pretty good um it does have', 'start': 78.659, 'duration': 6.241}, {'text': 'suspension so it can like handle rocks', 'start': 82.049, 'duration': 5.25}, {'text': ""and stuff like that but I mean it's"", 'start': 84.9, 'duration': 4.92}, {'text': 'still not a real real dirt bike so you', 'start': 87.299, 'duration': 4.11}, {'text': 'know what you want it kind of careful', 'start': 89.82, 'duration': 4.83}, {'text': 'with that then got this and then over', 'start': 91.409, 'duration': 7.911}, {'text': 'here on the handle this is an electric', 'start': 94.65, 'duration': 10.19}, {'text': ""dirt bike so it's going to run on energy"", 'start': 99.32, 'duration': 10.869}, {'text': ""so here's like it says like if it's"", 'start': 104.84, 'duration': 8.739}, {'text': ""really full if it's just full that's"", 'start': 110.189, 'duration': 6.121}, {'text': 'power on full and the batteries love you', 'start': 113.579, 'duration': 6.0}, {'text': 'have to charge it on then here is little', 'start': 116.31, 'duration': 8.129}, {'text': ""throttle it's got a front brake and a"", 'start': 119.579, 'duration': 7.441}, {'text': 'back brake and turn it on it has a', 'start': 124.439, 'duration': 4.201}, {'text': 'little kickstand the turn it on always', 'start': 127.02, 'duration': 5.5}, {'text': 'have to do go down here look', 'start': 128.64, 'duration': 8.66}, {'text': ""it's full right now I'm not gonna run it"", 'start': 132.52, 'duration': 8.17}, {'text': 'in here so overall I definitely will', 'start': 137.3, 'duration': 7.71}, {'text': ""give this 5 stars out of 5 stars um it's"", 'start': 140.69, 'duration': 5.37}, {'text': ""a really great bike it's really"", 'start': 145.01, 'duration': 2.88}, {'text': ""comfortable and it's definitely"", 'start': 146.06, 'duration': 2.88}, {'text': ""different than I thought it wouldn't be"", 'start': 147.89, 'duration': 2.91}, {'text': 'this good but it really is amazing and', 'start': 148.94, 'duration': 4.47}, {'text': ""it's cheap to it's like well three"", 'start': 150.8, 'duration': 4.05}, {'text': ""hundred dollars is a lot but it's a"", 'start': 153.41, 'duration': 3.24}, {'text': 'better than spending like a thousand', 'start': 154.85, 'duration': 3.21}, {'text': ""dollars aren't something that you don't"", 'start': 156.65, 'duration': 2.76}, {'text': 'even know how to ride so this is a great', 'start': 158.06, 'duration': 3.21}, {'text': 'start into the dirt bike world and I', 'start': 159.41, 'duration': 3.9}, {'text': ""hope this was a good review i'll make"", 'start': 161.27, 'duration': 4.29}, {'text': 'more reviews and i will also um show', 'start': 163.31, 'duration': 5.07}, {'text': ""videos of me riding it so I'm it the"", 'start': 165.56, 'duration': 4.47}, {'text': 'link will be down below if you want to', 'start': 168.38, 'duration': 5.16}, {'text': 'buy it so um the best deals on amazon so', 'start': 170.03, 'duration': 4.89}, {'text': ""i'll leave that link down below so i"", 'start': 173.54, 'duration': 4.65}, {'text': 'definitely recommend this is awesome um', 'start': 174.92, 'duration': 5.9}, {'text': 'please subscribe', 'start': 178.19, 'duration': 2.63}]"
IIma,OH5UXwa3F7E,[333],
zFma,W_bh9OFSsy4,"[3, 4, 10, 13, 54]",
iGma,,"[5, 16]",
66ma,,[12],
7wma,j6-A_aeFvZQ,"[0, 1, 219]",
Gfma,j62q5GlKPWs,"[21, 23, 24, 73, 209, 880]","[{'text': ""hey guys it's mr. bjurman today I have a"", 'start': 15.23, 'duration': 6.25}, {'text': 'review of the tab group for the iPad', 'start': 18.39, 'duration': 6.0}, {'text': ""there's also the tab grip too which is"", 'start': 21.48, 'duration': 5.7}, {'text': 'available for the iPad 2 but i received', 'start': 24.39, 'duration': 5.82}, {'text': 'this before the ipad 2 came out so and', 'start': 27.18, 'duration': 5.7}, {'text': 'get that one and here it is this is a', 'start': 30.21, 'duration': 4.89}, {'text': 'very very unique product it runs for', 'start': 32.88, 'duration': 5.4}, {'text': 'thirty nine ninety nine forty bucks so', 'start': 35.1, 'duration': 5.43}, {'text': ""now this cool rubber material and it's"", 'start': 38.28, 'duration': 4.14}, {'text': 'got these little tabs here and what they', 'start': 40.53, 'duration': 5.009}, {'text': 'do is they flip out and you can use it', 'start': 42.42, 'duration': 4.86}, {'text': 'to adjust and get these different angles', 'start': 45.539, 'duration': 3.75}, {'text': 'on your ipod and you can also use them', 'start': 47.28, 'duration': 4.59}, {'text': 'as nice little grips hence the name tab', 'start': 49.289, 'duration': 4.651}, {'text': ""grip so it's pretty neat so i'll show"", 'start': 51.87, 'duration': 5.79}, {'text': 'you how to hook it up on here easiest', 'start': 53.94, 'duration': 6.27}, {'text': ""ways i'd like to start from the top but"", 'start': 57.66, 'duration': 5.669}, {'text': 'do be careful just attach the first', 'start': 60.21, 'duration': 4.62}, {'text': 'piece just slip it on right there and', 'start': 63.329, 'duration': 3.691}, {'text': ""then you're going to have to grab it and"", 'start': 64.83, 'duration': 5.49}, {'text': 'stretch it over this side there and just', 'start': 67.02, 'duration': 5.34}, {'text': 'do the same for each of the sides you', 'start': 70.32, 'duration': 5.13}, {'text': 'stretch it a little bit and there it is', 'start': 72.36, 'duration': 6.45}, {'text': ""it's on now one thing I noticed is it is"", 'start': 75.45, 'duration': 6.27}, {'text': ""a very very snug fit so it's not going"", 'start': 78.81, 'duration': 5.19}, {'text': 'to be coming off too easily another', 'start': 81.72, 'duration': 4.17}, {'text': 'problem with that being is it may', 'start': 84.0, 'duration': 3.78}, {'text': 'scratch it you just gotta be careful I', 'start': 85.89, 'duration': 4.14}, {'text': ""haven't I haven't managed to scratch it"", 'start': 87.78, 'duration': 4.17}, {'text': ""yet but I'm just kind of worried that I"", 'start': 90.03, 'duration': 3.9}, {'text': 'am just because it is such a tight fit', 'start': 91.95, 'duration': 4.559}, {'text': ""as you can see it's very unique case"", 'start': 93.93, 'duration': 4.11}, {'text': ""it's got a nice cut out here for the"", 'start': 96.509, 'duration': 4.141}, {'text': ""apple logo and this case really isn't"", 'start': 98.04, 'duration': 4.11}, {'text': 'designed much for protection it gives', 'start': 100.65, 'duration': 3.57}, {'text': 'you a little bit it has a nice lay on', 'start': 102.15, 'duration': 4.02}, {'text': ""the table design for the back here I'm"", 'start': 104.22, 'duration': 3.81}, {'text': 'going to lay it down the table then', 'start': 106.17, 'duration': 3.9}, {'text': 'these big tabs right here will protect', 'start': 108.03, 'duration': 5.129}, {'text': ""it here's a tad bit of a lift on the"", 'start': 110.07, 'duration': 5.88}, {'text': 'front here not much but if you were to', 'start': 113.159, 'duration': 4.621}, {'text': 'lay it should do a pretty good job of', 'start': 115.95, 'duration': 4.41}, {'text': 'protecting it now neat feature about', 'start': 117.78, 'duration': 4.86}, {'text': ""this case is it doesn't really cover up"", 'start': 120.36, 'duration': 5.969}, {'text': 'any ports but it does cover up the', 'start': 122.64, 'duration': 5.97}, {'text': 'charging port but a cool thing is if you', 'start': 126.329, 'duration': 4.32}, {'text': ""open up the tab it's actually got a"", 'start': 128.61, 'duration': 3.87}, {'text': 'little bit of cut out and this is', 'start': 130.649, 'duration': 2.791}, {'text': 'actually', 'start': 132.48, 'duration': 2.55}, {'text': 'to cut out for both sides so you can', 'start': 133.44, 'duration': 3.36}, {'text': 'have it on either way has a little', 'start': 135.03, 'duration': 3.69}, {'text': 'cutout for the dock connector there so', 'start': 136.8, 'duration': 3.57}, {'text': 'you could charge it if you wanted to', 'start': 138.72, 'duration': 4.38}, {'text': 'just pop that up just like that covers a', 'start': 140.37, 'duration': 5.82}, {'text': 'tad bit of the speaker not too much you', 'start': 143.1, 'duration': 6.18}, {'text': 'should still be able to hear it fine so', 'start': 146.19, 'duration': 4.74}, {'text': ""let's take a look at these grips very"", 'start': 149.28, 'duration': 3.54}, {'text': 'neat idea you can actually use these', 'start': 150.93, 'duration': 4.56}, {'text': 'grips to hold it very very nice feel', 'start': 152.82, 'duration': 4.17}, {'text': 'fear you know want to look at something', 'start': 155.49, 'duration': 4.44}, {'text': 'watch a movie or play game very very', 'start': 156.99, 'duration': 5.07}, {'text': 'great fuel to those grips and another', 'start': 159.93, 'duration': 4.38}, {'text': 'great thing about this is these right', 'start': 162.06, 'duration': 5.85}, {'text': 'here they flip out like this and you can', 'start': 164.31, 'duration': 5.55}, {'text': 'use them for different angles for things', 'start': 167.91, 'duration': 6.38}, {'text': 'right if you twist them all the way back', 'start': 169.86, 'duration': 7.53}, {'text': ""because they'll stop at one point and"", 'start': 174.29, 'duration': 4.75}, {'text': ""that's usually the point they recommend"", 'start': 177.39, 'duration': 3.87}, {'text': 'so right there we have a portrait stand', 'start': 179.04, 'duration': 5.19}, {'text': 'if you turn it over like this got', 'start': 181.26, 'duration': 4.95}, {'text': 'another neat little stand here and you', 'start': 184.23, 'duration': 4.14}, {'text': 'can just use it adjust it to any angle', 'start': 186.21, 'duration': 5.4}, {'text': 'you want pretty much now we got the size', 'start': 188.37, 'duration': 7.5}, {'text': 'ones flip it all the way back we have a', 'start': 191.61, 'duration': 7.53}, {'text': 'very nice typing angle you know I play a', 'start': 195.87, 'duration': 5.61}, {'text': 'game put it type it or something once', 'start': 199.14, 'duration': 5.819}, {'text': 'you flip it over a very nice landscape', 'start': 201.48, 'duration': 6.36}, {'text': 'stand as you see there so lots of', 'start': 204.959, 'duration': 4.25}, {'text': 'different things you can do with this', 'start': 207.84, 'duration': 4.71}, {'text': '3995 think the neat little product that', 'start': 209.209, 'duration': 5.951}, {'text': 'is d tablet will check it out a tab grip', 'start': 212.55, 'duration': 6.81}, {'text': 'calm 3999 thank you guys for setting', 'start': 215.16, 'duration': 5.34}, {'text': 'this to me and thank you guys for', 'start': 219.36, 'duration': 3.57}, {'text': 'watching please comment and subscribe', 'start': 220.5, 'duration': 4.44}, {'text': ""and I'll see you guys in the next video"", 'start': 222.93, 'duration': 4.91}, {'text': 'peace', 'start': 224.94, 'duration': 2.9}]"
isma,jACCg-350Og,[14],
