VWeW,IN9Uzw9Nxag,"[2, 17, 53, 58]",
KZeW,qOYK2seGtks,"[6, 8]",
PfeW,qOPO25ybXhY,"[3, 4, 14]",
LmeW,,[11],
nmeW,qWeLPu_9TEc,"[0, 1, 36, 94]",
1NeW,qYcQcGKhkEc,"[5, 16, 144, 190]",
JSeW,J0yqBV-rcNk,[9],
rGeW,JzT9fHhU23A,"[2, 7, 104, 2097]",
ySeW,1NpWIf1foRo,[1137],
mzeW,HWst5Nj1t5g,"[0, 52, 70, 125]","[{'text': 'that though certainly not used to any', 'start': 0.0, 'duration': 6.68}, {'text': 'shuffle defeat', 'start': 3.929, 'duration': 2.751}, {'text': 'great point New York lead approaching', 'start': 7.05, 'duration': 4.82}, {'text': 'the final minute', 'start': 9.15, 'duration': 2.72}, {'text': 'down to seven', 'start': 18.36, 'duration': 5.09}, {'text': 'Houston baseline on Marley', 'start': 20.6, 'duration': 6.8}, {'text': 'mr. shott oakley had it for a moment', 'start': 23.45, 'duration': 3.95}, {'text': '56 seconds left got to give Marley a lot', 'start': 31.739, 'duration': 5.621}, {'text': 'of credit on that defensive stand he', 'start': 35.41, 'duration': 5.36}, {'text': 'stayed right with you think', 'start': 37.36, 'duration': 3.41}, {'text': 'Miami trails by three', 'start': 41.359, 'duration': 3.05}, {'text': 'PJ Brown', 'start': 54.109, 'duration': 3.02}, {'text': 'three - Jude Marley Wolcott', 'start': 57.52, 'duration': 6.6}, {'text': 'poor shot clock violation', 'start': 61.26, 'duration': 5.68}, {'text': 'Miami just did not looking fake give the', 'start': 64.12, 'duration': 4.89}, {'text': 'knick defense credit they took them out', 'start': 66.94, 'duration': 4.2}, {'text': 'of any offense that pattern they wanted', 'start': 69.01, 'duration': 3.87}, {'text': 'to run it really did there was never an', 'start': 71.14, 'duration': 3.96}, {'text': 'opportunity to shoot the basketball it', 'start': 72.88, 'duration': 3.12}, {'text': 'is a result', 'start': 75.1, 'duration': 3.51}, {'text': 'Hardaway has to throw it up from almost', 'start': 76.0, 'duration': 5.28}, {'text': 'half court top defense by the Knicks', 'start': 78.61, 'duration': 4.68}, {'text': ""we'll be back after these messages from"", 'start': 81.28, 'duration': 6.81}, {'text': ""your local station that's Miami out of"", 'start': 83.29, 'duration': 6.87}, {'text': ""sync last possession well Marley's not"", 'start': 88.09, 'duration': 4.32}, {'text': 'even in position to shoot the ball there', 'start': 90.16, 'duration': 4.86}, {'text': 'shot clock going down Hardaway has to', 'start': 92.41, 'duration': 4.92}, {'text': 'throw it up from way downtown and Pat', 'start': 95.02, 'duration': 4.92}, {'text': 'says that was not a good offensive trip', 'start': 97.33, 'duration': 3.27}, {'text': 'for it', 'start': 99.94, 'duration': 3.33}, {'text': 'now the pressure falls to the Miami', 'start': 100.6, 'duration': 4.98}, {'text': 'defense must stop biggest defensive', 'start': 103.27, 'duration': 6.53}, {'text': 'stand in this series so far because', 'start': 105.58, 'duration': 4.22}, {'text': 'additional points now', 'start': 109.96, 'duration': 3.32}, {'text': ""here's Ewing way out morning get away"", 'start': 117.57, 'duration': 6.71}, {'text': 'loose-ball Ewing and morning', 'start': 120.24, 'duration': 4.04}, {'text': 'Miami with 13/4 and just like a few', 'start': 125.76, 'duration': 5.22}, {'text': 'minutes ago when morning handled the', 'start': 129.09, 'duration': 3.54}, {'text': 'ball out of the three-point line', 'start': 130.98, 'duration': 3.33}, {'text': 'the Knicks come back and give it to', 'start': 132.63, 'duration': 4.41}, {'text': 'Patrick outside and he falls out of', 'start': 134.31, 'duration': 5.07}, {'text': 'bounds he has the ball but he hits the', 'start': 137.04, 'duration': 4.29}, {'text': 'out of bounds line the pupil what a', 'start': 139.38, 'duration': 5.78}, {'text': 'lesson for the teacher that does', 'start': 141.33, 'duration': 3.83}, {'text': 'so a 13-4 left in regulation Ewing just', 'start': 146.25, 'duration': 8.2}, {'text': ""turning it over Miami's ball trailing by"", 'start': 151.36, 'duration': 4.92}, {'text': 'three and once again a point you made', 'start': 154.45, 'duration': 4.62}, {'text': 'earlier big man handling out on the', 'start': 156.28, 'duration': 4.68}, {'text': 'floor is a recipe for disaster', 'start': 159.07, 'duration': 3.93}, {'text': ""it certainly is because it's a situation"", 'start': 160.96, 'duration': 5.13}, {'text': ""they're not used to now Miami can move"", 'start': 163.0, 'duration': 5.4}, {'text': ""the ball up but they're going to yes"", 'start': 166.09, 'duration': 3.81}, {'text': 'they are they are not going to move it', 'start': 168.4, 'duration': 3.66}, {'text': 'up through the front court but it has to', 'start': 169.9, 'duration': 4.26}, {'text': 'stay on this side of the floor where', 'start': 172.06, 'duration': 5.13}, {'text': 'Ewing went out of bounds 13 for left New', 'start': 174.16, 'duration': 6.08}, {'text': 'York leads by three', 'start': 177.19, 'duration': 3.05}, {'text': 'Hardaway the inbound from Mashburn first', 'start': 180.64, 'duration': 6.41}, {'text': ""I'll go to Deepak"", 'start': 183.97, 'duration': 3.08}, {'text': 'Hardaway picked up by Ewing with dr.', 'start': 189.25, 'duration': 5.15}, {'text': 'Patrick Ewing', 'start': 191.29, 'duration': 3.11}, {'text': 'good play because you he knows that', 'start': 213.26, 'duration': 3.899}, {'text': ""they're going to try to get the ball off"", 'start': 215.9, 'duration': 3.089}, {'text': 'of his screen at the top of the floor', 'start': 217.159, 'duration': 4.621}, {'text': 'and he runs over he knows how to raise', 'start': 218.989, 'duration': 4.261}, {'text': ""the only player that's going to take"", 'start': 221.78, 'duration': 3.87}, {'text': 'that shot in that situation and then', 'start': 223.25, 'duration': 4.53}, {'text': 'closes it out right there though we', 'start': 225.65, 'duration': 3.839}, {'text': 'talked about big men handling the ball', 'start': 227.78, 'duration': 3.75}, {'text': 'out on the floor that time the big man', 'start': 229.489, 'duration': 3.301}, {'text': 'was', 'start': 231.53, 'duration': 3.569}, {'text': 'defensive purposes and made a game', 'start': 232.79, 'duration': 5.089}, {'text': 'saving play', 'start': 235.099, 'duration': 2.78}, {'text': 'the teacher Patrick Ewing with a', 'start': 242.629, 'duration': 7.181}, {'text': 'schoolbook textbook play blocking we', 'start': 246.51, 'duration': 6.66}, {'text': 'attempted tying shot and saving the game', 'start': 249.81, 'duration': 6.179}, {'text': 'for the New York Knicks 25 points 11', 'start': 253.17, 'duration': 5.4}, {'text': 'rebounds for Patrick Ewing as the New', 'start': 255.989, 'duration': 4.771}, {'text': 'York Knicks take a 2-1 lead in the', 'start': 258.57, 'duration': 4.71}, {'text': 'series with the Miami Heat', 'start': 260.76, 'duration': 5.04}, {'text': ""let's go to Paul Sunderland who is with"", 'start': 263.28, 'duration': 5.01}, {'text': 'Rick Ewing oh this one was in doubt till', 'start': 265.8, 'duration': 4.32}, {'text': 'the very end talked about the last time', 'start': 268.29, 'duration': 3.72}, {'text': 'out before the defensive stand in your', 'start': 270.12, 'duration': 14.609}, {'text': 'block on to redeem myself I get that big', 'start': 272.01, 'duration': 15.33}, {'text': 'block series is going to be like this', 'start': 284.729, 'duration': 4.111}, {'text': 'back and forth and speaking of back and', 'start': 287.34, 'duration': 3.15}, {'text': 'forth you come back right again tomorrow', 'start': 288.84, 'duration': 3.57}, {'text': 'and play how about you physically coming', 'start': 290.49, 'duration': 11.76}, {'text': 'back so quickly alright congratulations', 'start': 292.41, 'duration': 11.91}, {'text': 'to you on the big win and the block', 'start': 302.25, 'duration': 3.18}, {'text': ""let's go back to Tom"", 'start': 304.32, 'duration': 3.15}, {'text': 'all right Paul and so the final score is', 'start': 305.43, 'duration': 6.06}, {'text': 'New York 77 Miami 73 as the Knicks take', 'start': 307.47, 'duration': 7.44}, {'text': 'a 2-1 lead in the series coming to game', 'start': 311.49, 'duration': 6.09}, {'text': 'for tomorrow night for Dan Issel and', 'start': 314.91, 'duration': 5.33}, {'text': 'Paul Sunderland', 'start': 317.58, 'duration': 2.66}]"
MveW,bgu_U3a0QhQ,"[0, 1, 69, 378]",
