siBe,4rn0t6RvCa8,"[730, 2415]",
PpBe,WwJv73jlMZQ,"[66, 148, 766]",
6KBe,X-XV5QITr5Y,"[251, 380, 388, 497, 966]",
jxBe,sa3FxoCQLHM,"[12, 1641]",
PNBe,9pvV8mWIHGY,"[31, 40, 47, 57, 117]",
UOBe,9sRmkVsBzbs,"[2, 7, 26, 172, 593, 1394, 1433]",
KvBe,eMKWgnnsmr8,"[2, 7, 17, 19, 48, 104, 213, 1825, 2192]",
jEBe,eMOY6-hlXSM,"[3, 13, 41]",
sLBe,eOckXlUwO0Q,"[0, 1, 124, 317]","[{'text': 'Hi YouTube, Darth Here:\nThis is CTE Sunday, where I run down all the', 'start': 0.38, 'duration': 3.35}, {'text': ""latest changes on the Battlefield 4 Community\nTest Environment. This week we've got night"", 'start': 3.73, 'duration': 4.08}, {'text': 'vision changes, some significant ""netcode""\nupgrades, major changes to the way spotting', 'start': 7.81, 'duration': 4.32}, {'text': ""works, and some minor tweaks, fixes, and corrections.\nAdditionally, I'll talk about upcoming changes"", 'start': 12.13, 'duration': 4.969}, {'text': 'to the Community Test Enrivonment and where\nwe stand on the Spring Patch.', 'start': 17.099, 'duration': 3.09}, {'text': 'Night Vision\nFirst up, there were some revisions to the', 'start': 20.189, 'duration': 1.941}, {'text': 'way that the new night vision optics work.\nThe first thing I noticed is that the effect', 'start': 22.13, 'duration': 3.889}, {'text': 'of the light sources on night vision has been\namped way up. Flares, flashlights, lasers,', 'start': 26.019, 'duration': 4.861}, {'text': 'and thermal grenades are now much more blinding\nto night vision scopes. However, once they', 'start': 30.88, 'duration': 4.38}, {'text': 'get out of your immediate view, they become\nirrelevant, so it can be managed.', 'start': 35.26, 'duration': 3.87}, {'text': ""Also, if you were here last week, you'll remember\nthat DICE had applied a black ring to both"", 'start': 39.13, 'duration': 3.78}, {'text': ""night vision scopes that has now been removed\nthis week. Now you'll have the full vision"", 'start': 42.91, 'duration': 4.03}, {'text': 'of the circular scope, but to offset this,\nthe blinding effects from the light sources', 'start': 46.94, 'duration': 3.76}, {'text': 'will fill more of the screen.\nI think now that the night vision optics are', 'start': 50.7, 'duration': 3.47}, {'text': 'starting to come together, this will provide\na nice little interplay between blinding the', 'start': 54.17, 'duration': 3.61}, {'text': ""sights and the sights users. It's a little\nhard to gauge right now how that will play"", 'start': 57.78, 'duration': 4.62}, {'text': ""out with the low populations on the CTE server\n- much ado to this week's Hardline launch."", 'start': 62.4, 'duration': 4.959}, {'text': ""Spotting\nNow spotting wasn't necessarily broken in"", 'start': 67.359, 'duration': 2.37}, {'text': 'Battlefield 4, but it definitely could use\nsome improvements. First, did you know that', 'start': 69.729, 'duration': 3.621}, {'text': 'in the live version of the game: whenever\nan enemy crosses the spotting cone in front', 'start': 73.35, 'duration': 3.75}, {'text': 'of your player, even if you do not spot them,\nthey are added to the minimap for everyone', 'start': 77.1, 'duration': 4.659}, {'text': ""on your team? This cone extends for more than\na kilometer in retail - so if you've ever"", 'start': 81.759, 'duration': 4.121}, {'text': 'wondered how you were spotted, there you go.\nNow the changes this week reduce that distance', 'start': 85.88, 'duration': 4.259}, {'text': 'from over a kilometer to just 100 meters for\nthis passive spotting.', 'start': 90.139, 'duration': 3.98}, {'text': 'Additionally, the general shape of spotting\nhas been tweaked. Rather than being a cone', 'start': 94.119, 'duration': 3.64}, {'text': ""at all distances, it's now more of a diamond.\nIt's the same 3 degree spot at closer ranges,"", 'start': 97.759, 'duration': 5.29}, {'text': ""but now at long ranges it's only .15 degrees.\nThe maximum distance that players and vehicles"", 'start': 103.049, 'duration': 5.49}, {'text': 'can be spotted is also now 1200 meters. This\ncombination of effects will make it somewhat', 'start': 108.539, 'duration': 4.951}, {'text': ""more difficult to mash the spot key and randomly\ncome up with a player you didn't actually"", 'start': 113.49, 'duration': 4.239}, {'text': 'see.\nNetcode', 'start': 117.729, 'duration': 0.78}, {'text': 'So there were two major components to the\n""netcode"" updates this week. The first was', 'start': 118.509, 'duration': 3.731}, {'text': 'an update to the way that the game handles\nbullet simulation. While these are technical', 'start': 122.24, 'duration': 3.969}, {'text': 'in nature, the sum of these changes is that\nthe prediction being done on the client should', 'start': 126.209, 'duration': 3.861}, {'text': 'now be much closer to what is actually going\nto happen on the server. The specifics of', 'start': 130.07, 'duration': 4.36}, {'text': 'which are that DICE removed some underlying\ncode that produced errors in the prediction', 'start': 134.43, 'duration': 3.75}, {'text': ""system on the client, and implemented a simulator\non the client to match the server's processing"", 'start': 138.18, 'duration': 4.84}, {'text': 'of the order of bullets. Net effect is that\npredicted bullet hits should more closely', 'start': 143.02, 'duration': 4.63}, {'text': 'match the actual result and tracer fire.\nThe second part of the ""netcode"" update is', 'start': 147.65, 'duration': 4.48}, {'text': 'a huge game-changer for Battlefield. Presently\nthe tick rate of Battlefield 4 is locked in', 'start': 152.13, 'duration': 4.62}, {'text': 'at a maximum of 30 Hz, meaning that your client\ncommunicates to the server up to thirty times', 'start': 156.75, 'duration': 4.59}, {'text': 'per second. DICE has now changed this tick\nrate - specifically for bullets - to match', 'start': 161.34, 'duration': 4.45}, {'text': 'whatever your frame rate is. So if you have\n200 frames per second, your send rate for', 'start': 165.79, 'duration': 4.69}, {'text': 'bullets will now be 200 Hz. This change will\nonly apply to the PC and newest generation', 'start': 170.48, 'duration': 6.08}, {'text': 'consoles.\nThe goal of the tickrate change is to lessen', 'start': 176.56, 'duration': 2.67}, {'text': 'the effect of damage spikes that arrive in\nsingle packets. Remember that your game receives', 'start': 179.23, 'duration': 4.72}, {'text': 'information in packets of data that are transmitted\nfrom the server and sometimes these packets', 'start': 183.95, 'duration': 4.45}, {'text': ""are loaded full of one player's damage all\nat once. Particularly this was noticeable"", 'start': 188.4, 'duration': 4.65}, {'text': 'from players that were playing out of their\nregion or had poor connections. It also lead', 'start': 193.05, 'duration': 4.61}, {'text': 'to a lot of ""one-frame deaths"" from high damage\nweapons like the SCAR-H, FAMAS, and other', 'start': 197.66, 'duration': 4.95}, {'text': 'weapons with fast time-to-kill. This happened\nbecause all the damage would be sent in a', 'start': 202.61, 'duration': 4.0}, {'text': 'single packet from one client, to the server,\nand then to the victim.', 'start': 206.61, 'duration': 3.57}, {'text': ""So that's a pretty big change and I think\nit'll mean a lot for the responsiveness of"", 'start': 210.18, 'duration': 3.22}, {'text': 'gun battles. But time will tell.\nMiscellaneous', 'start': 213.4, 'duration': 2.51}, {'text': ""As with every week, we've got a few smaller\nchanges that I'll cover now. Continued work"", 'start': 215.91, 'duration': 3.98}, {'text': 'was put in on the night versions of Zavod\nand Golmud, with lighting being the main focus', 'start': 219.89, 'duration': 4.01}, {'text': 'this week. Soldier callouts were slightly\ntweaked, and a sound crash bug was also fixed.', 'start': 223.9, 'duration': 4.98}, {'text': ""That's all the updates from the CTE for this\nweek, but we've got more coming this next"", 'start': 228.88, 'duration': 3.6}, {'text': ""week. There's been rumors circulating that\nwe will see new content coming to the CTE"", 'start': 232.48, 'duration': 3.57}, {'text': 'in the coming weeks, and some folks are claiming\nthat it may even land this next week. However,', 'start': 236.05, 'duration': 4.46}, {'text': ""without there being any social media traffic\nfrom the usual promotional channels, I don't"", 'start': 240.51, 'duration': 3.98}, {'text': ""think we'll be seeing any new maps not related\nto night maps for some time soon. What has"", 'start': 244.49, 'duration': 4.28}, {'text': 'been mentioned is that the Spring Patch will\nbegin testing on the CTE very soon.', 'start': 248.77, 'duration': 4.51}, {'text': ""But that's enough speculation. If you're new\naround here, please take a moment to check"", 'start': 253.28, 'duration': 3.35}, {'text': ""out my channel and consider subscribing. As\nalways, thanks for watching, and I'll see"", 'start': 256.63, 'duration': 3.74}, {'text': 'you next time, YouTube.', 'start': 260.37, 'duration': 1.0}]"
HkBe,XvRUi7_YHPs,"[6, 8, 3445]",
DvBe,Y1OF5F6f0NY,"[3, 6, 8]",
9IBe,Y8d6EBNnp1A,"[247, 255]",
OmBe,DDiXrjT-KiM,"[0, 826, 2755]",
MrBe,DQe5fAebUxg,"[0, 1, 63]",
k4Be,tr1qq9hy6Zg,"[2, 7]",
