njEV,t9ZCGgAIaUI,"[159, 626, 1740, 2437]",
fjEV,QIHqIU02tRo,"[15, 18, 67, 170, 314, 3130]",
FxEV,QLpwIeD-Jfw,"[0, 63, 167]",
uiEV,-6wzhnSZ5b4,"[0, 52, 70]",
EfEV,Kw2IAuNZD9w,"[2, 30, 55, 1197]",
WaEV,,[3],
dgEV,9KALHEIKw5c,[252],
1CEV,9TMdJMijFMk,"[82, 118]",
ZyEV,unWBfShwDFs,[1828],
i1EV,uuRC9s3bSAw,"[4, 10, 97, 243]",
ioEV,qwtOxijcSWs,"[19, 318]","[{'text': ""and they're almost ready for the"", 'start': 1.07, 'duration': 3.729}, {'text': ""Bailey's our is champion stakes in a way"", 'start': 3.33, 'duration': 2.82}, {'text': 'they jump out examiner go go and just', 'start': 4.799, 'duration': 2.701}, {'text': 'out a bit slower than the others and', 'start': 6.15, 'duration': 4.59}, {'text': ""how's Arista is the one who jumps in"", 'start': 7.5, 'duration': 4.469}, {'text': 'front but being written up quickly', 'start': 10.74, 'duration': 2.819}, {'text': 'template place and the blinkers on the', 'start': 11.969, 'duration': 4.08}, {'text': 'inside hora Torrio was handy motivators', 'start': 13.559, 'duration': 4.081}, {'text': 'up there on the outside morally to just', 'start': 16.049, 'duration': 3.271}, {'text': 'being under these would pray swallow as', 'start': 17.64, 'duration': 3.99}, {'text': 'amoral physician wide towards the back', 'start': 19.32, 'duration': 4.23}, {'text': 'ace is inside him just ahead of the', 'start': 21.63, 'duration': 4.049}, {'text': ""North's dancer and Alexander gold run at"", 'start': 23.55, 'duration': 3.42}, {'text': 'the back of the field as they race down', 'start': 25.679, 'duration': 4.201}, {'text': ""past the mile Pole and it's a template"", 'start': 26.97, 'duration': 4.41}, {'text': 'patient on McCullough leading has', 'start': 29.88, 'duration': 3.69}, {'text': 'arrested the two pacemakers and there', 'start': 31.38, 'duration': 3.42}, {'text': 'are five lengths clear of Mona Lisa', 'start': 33.57, 'duration': 3.059}, {'text': 'motivator then comes great swallow', 'start': 34.8, 'duration': 3.63}, {'text': ""followed through by North's dancer"", 'start': 36.629, 'duration': 3.781}, {'text': 'oratorio is next add some more Alexander', 'start': 38.43, 'duration': 4.199}, {'text': 'gold one and ace is the back marker', 'start': 40.41, 'duration': 4.41}, {'text': 'going a good pace up front the two', 'start': 42.629, 'duration': 3.93}, {'text': 'leaders has a wrister on the outside', 'start': 44.82, 'duration': 3.66}, {'text': 'just ahead of temple place there over', 'start': 46.559, 'duration': 4.351}, {'text': ""for care of motivator they've ever found"", 'start': 48.48, 'duration': 4.05}, {'text': 'RB winner followed on the inside by', 'start': 50.91, 'duration': 3.75}, {'text': 'Norman Lisa then great swallow behind', 'start': 52.53, 'duration': 4.049}, {'text': 'these is no stance and then oratory of', 'start': 54.66, 'duration': 3.39}, {'text': 'then Alexander gold run on the outside', 'start': 56.579, 'duration': 3.841}, {'text': 'is adds a more an ace brings up the rear', 'start': 58.05, 'duration': 3.84}, {'text': 'as they reach the end of the back', 'start': 60.42, 'duration': 3.72}, {'text': 'straight the halfway stage and on the', 'start': 61.89, 'duration': 4.83}, {'text': 'turn now has a wrister temple place on', 'start': 64.14, 'duration': 5.07}, {'text': 'the inside a gap of over three thanks to', 'start': 66.72, 'duration': 4.38}, {'text': ""motivator Mona Lisa's next there"", 'start': 69.21, 'duration': 3.18}, {'text': 'followed by great swallow', 'start': 71.1, 'duration': 4.519}, {'text': 'Norse dancer on his inside then oratory', 'start': 72.39, 'duration': 5.509}, {'text': 'and ace together at the back of the', 'start': 75.619, 'duration': 4.981}, {'text': 'field inside the last half-mile now has', 'start': 77.899, 'duration': 5.701}, {'text': 'a wrister temple place motivator when', 'start': 80.6, 'duration': 4.469}, {'text': 'the pacemakers coming back from the', 'start': 83.6, 'duration': 2.82}, {'text': 'motivator beginning is run on the', 'start': 85.069, 'duration': 3.781}, {'text': ""outside and it's hazardous to the leader"", 'start': 86.42, 'duration': 4.589}, {'text': 'being followed by motivator Mona Lisa', 'start': 88.85, 'duration': 4.71}, {'text': 'then great swallow oratorio as it worth', 'start': 91.009, 'duration': 4.051}, {'text': 'coming through between horses alongside', 'start': 93.56, 'duration': 3.839}, {'text': ""North's dancer than ace temple plates"", 'start': 95.06, 'duration': 3.839}, {'text': 'the drop right out as they swing for', 'start': 97.399, 'duration': 3.72}, {'text': 'home now they have over two firms to', 'start': 98.899, 'duration': 4.051}, {'text': 'race motivator the leader be followed by', 'start': 101.119, 'duration': 4.081}, {'text': 'oratorio gray swallow then Mona Lisa', 'start': 102.95, 'duration': 4.86}, {'text': 'then a thousand warriors in behind', 'start': 105.2, 'duration': 4.619}, {'text': 'horses Alexander go run on the outside', 'start': 107.81, 'duration': 4.679}, {'text': 'motivator oratorio in the center then', 'start': 109.819, 'duration': 5.19}, {'text': 'comes a race wall as a lure coming on', 'start': 112.489, 'duration': 4.651}, {'text': 'the rail on down the outside Alexander', 'start': 115.009, 'duration': 3.871}, {'text': 'Dahlgren oratorios the leader from', 'start': 117.14, 'duration': 3.42}, {'text': 'motivator Alexandre chorin on the', 'start': 118.88, 'duration': 3.57}, {'text': 'outside has a more on the inner arm race', 'start': 120.56, 'duration': 3.629}, {'text': 'yet in the closing stages oratorio', 'start': 122.45, 'duration': 3.66}, {'text': 'oratorio the leaders ago to the line', 'start': 124.189, 'duration': 5.061}, {'text': 'Anatolia Windsor', 'start': 126.11, 'duration': 3.14}]"
