Uwsr,4P5_gMXohSY,"[0, 52, 70]",
RUsr,t5SGulxS3Tk,"[53, 58, 214, 494]",
vZsr,nFbnfoF2ZEY,[8],
N0sr,jSD21zp89zM,"[382, 1428]",
hwsr,jXKEjnusp40,"[360, 2134, 3763]",
ATsr,,"[0, 2704]",
Bnsr,-2j7duek33o,"[11, 173, 1254]",
Bzsr,-5wDAT_FmzU,"[5, 15, 49, 80, 499, 694, 1556]","[{'text': 'hi there welcome to drill stuff real', 'start': 0.03, 'duration': 3.21}, {'text': ""easy and today I'm gonna show you how to"", 'start': 1.829, 'duration': 7.531}, {'text': 'draw a bow true I kind of trap easy or', 'start': 3.24, 'duration': 8.279}, {'text': 'each shape kind of thing and then curve', 'start': 9.36, 'duration': 7.32}, {'text': 'up and curve up and come down a slight', 'start': 11.519, 'duration': 10.741}, {'text': 'angle and curve that around and curve', 'start': 16.68, 'duration': 9.03}, {'text': 'that around and then two little curves', 'start': 22.26, 'duration': 6.509}, {'text': ""there I'm right on the corner part here"", 'start': 25.71, 'duration': 5.01}, {'text': 'bring a curve down there and a curve', 'start': 28.769, 'duration': 5.401}, {'text': ""down there and then we'll gonna join"", 'start': 30.72, 'duration': 7.08}, {'text': 'those up like that maybe maybe that', 'start': 34.17, 'duration': 5.7}, {'text': 'could be slightly less now what you need', 'start': 37.8, 'duration': 5.88}, {'text': 'to do here is to draw a curve that comes', 'start': 39.87, 'duration': 5.33}, {'text': 'around like that', 'start': 43.68, 'duration': 6.449}, {'text': 'and here comes around like that', 'start': 45.2, 'duration': 7.51}, {'text': ""now let's ink this in come around here"", 'start': 50.129, 'duration': 5.18}, {'text': 'and make that slightly wobbly on the top', 'start': 52.71, 'duration': 6.57}, {'text': 'come around and then just come in like', 'start': 55.309, 'duration': 7.331}, {'text': 'that looks a bit like a tooth really and', 'start': 59.28, 'duration': 6.059}, {'text': 'you can put some shading in just kind of', 'start': 62.64, 'duration': 7.71}, {'text': 'like that little marks and then come all', 'start': 65.339, 'duration': 6.96}, {'text': 'the way around up to this corner bit and', 'start': 70.35, 'duration': 6.449}, {'text': 'then just hook it in slightly and bring', 'start': 72.299, 'duration': 7.411}, {'text': 'it down there all the way around and', 'start': 76.799, 'duration': 5.43}, {'text': ""it's kind of get around the corner of it"", 'start': 79.71, 'duration': 6.92}, {'text': 'maybe bring it out a little bit and then', 'start': 82.229, 'duration': 8.221}, {'text': 'from right down here follow this a line', 'start': 86.63, 'duration': 6.52}, {'text': 'around here and just let it flick around', 'start': 90.45, 'duration': 3.379}, {'text': 'the corner', 'start': 93.15, 'duration': 4.109}, {'text': 'come down here and flick around the', 'start': 93.829, 'duration': 8.86}, {'text': 'corner and then again bring this up', 'start': 97.259, 'duration': 10.86}, {'text': 'around here and just flick it round up', 'start': 102.689, 'duration': 9.39}, {'text': 'around there flick and then you want to', 'start': 108.119, 'duration': 8.761}, {'text': 'keep flicking some shading in there like', 'start': 112.079, 'duration': 8.36}, {'text': 'that and he can maybe put some more', 'start': 116.88, 'duration': 6.01}, {'text': 'shading in like that', 'start': 120.439, 'duration': 4.671}, {'text': 'you want this to kind of squeeze into', 'start': 122.89, 'duration': 7.2}, {'text': 'the bow so do these little kind of marks', 'start': 125.11, 'duration': 12.15}, {'text': 'like that put some shading up along that', 'start': 130.09, 'duration': 9.9}, {'text': 'line up there and also you can maybe put', 'start': 137.26, 'duration': 6.3}, {'text': 'a bit of shading in those kind of', 'start': 139.99, 'duration': 8.7}, {'text': 'hollows then bring these nicely down', 'start': 143.56, 'duration': 6.77}, {'text': 'like that', 'start': 148.69, 'duration': 6.45}, {'text': 'you can put some kind of marks flicking', 'start': 150.33, 'duration': 6.67}, {'text': 'out like that and then probably a bit of', 'start': 155.14, 'duration': 6.12}, {'text': 'shading in there as well the eraser', 'start': 157.0, 'duration': 6.51}, {'text': ""pencil lines when you know it's dry and"", 'start': 161.26, 'duration': 4.41}, {'text': ""to put it on the table I'm going to put"", 'start': 163.51, 'duration': 6.979}, {'text': 'some shading like this and under there', 'start': 165.67, 'duration': 7.17}, {'text': ""and you're gonna want some around there"", 'start': 170.489, 'duration': 5.291}, {'text': 'like that and that will stop it back', 'start': 172.84, 'duration': 5.46}, {'text': 'there and you might see a bit and then', 'start': 175.78, 'duration': 5.28}, {'text': 'all you need to do is color it in and if', 'start': 178.3, 'duration': 4.26}, {'text': ""it's gonna be a Christmas bow your body"", 'start': 181.06, 'duration': 4.679}, {'text': ""want a nice red and I'm using Copic"", 'start': 182.56, 'duration': 6.0}, {'text': 'markers here and you get this nice brush', 'start': 185.739, 'duration': 5.31}, {'text': 'effect so you can flick those colors in', 'start': 188.56, 'duration': 5.91}, {'text': 'like that you can flick up and then that', 'start': 191.049, 'duration': 7.031}, {'text': 'will leave you it kind of highlight', 'start': 194.47, 'duration': 5.68}, {'text': 'kill her in the top there and leave a', 'start': 198.08, 'duration': 5.12}, {'text': 'little bit of white in the middle of it', 'start': 200.15, 'duration': 7.37}, {'text': 'and here flick this all the way down and', 'start': 203.2, 'duration': 7.51}, {'text': 'flick back up to it and that will give', 'start': 207.52, 'duration': 8.77}, {'text': 'you that kind of shiny ribbon look if', 'start': 210.71, 'duration': 7.8}, {'text': ""you've got a darker red you can always"", 'start': 216.29, 'duration': 4.95}, {'text': 'sort of add an extra bit and color in', 'start': 218.51, 'duration': 5.82}, {'text': ""those areas underneath it'll just kind"", 'start': 221.24, 'duration': 6.74}, {'text': 'of bring it to life a little bit', 'start': 224.33, 'duration': 6.71}, {'text': 'and you can always put in that bit of', 'start': 227.98, 'duration': 7.229}, {'text': 'shading with a gray pin as well there', 'start': 231.04, 'duration': 6.3}, {'text': 'you go how to draw a Christmas by aura', 'start': 235.209, 'duration': 4.471}, {'text': 'but they bring arms I mean put in your', 'start': 237.34, 'duration': 5.67}, {'text': 'hair well I hope you enjoyed that and if', 'start': 239.68, 'duration': 5.13}, {'text': ""you did make sure you're subscribed for"", 'start': 243.01, 'duration': 4.62}, {'text': 'loads more drawing tutorials right here', 'start': 244.81, 'duration': 4.44}, {'text': 'in the Christmas spirit then learn how', 'start': 247.63, 'duration': 4.16}, {'text': 'to draw a candy cane with a bow on it', 'start': 249.25, 'duration': 5.94}, {'text': 'just by the mystery drawing check out my', 'start': 251.79, 'duration': 5.74}, {'text': 'other channels and in the meantime keep', 'start': 255.19, 'duration': 3.69}, {'text': 'drawing drawing drawing practice', 'start': 257.53, 'duration': 2.82}, {'text': 'practice practice', 'start': 258.88, 'duration': 3.96}, {'text': ""I'll see you next time you take care now"", 'start': 260.35, 'duration': 5.03}, {'text': 'bye bye', 'start': 262.84, 'duration': 2.54}]"
vwsr,-CC7LQCzQ1g,"[0, 63, 335, 633]","[{'text': ""what's up guys welcome to another player"", 'start': 0.089, 'duration': 4.291}, {'text': 'ratings video and if you are new to my', 'start': 2.429, 'duration': 4.741}, {'text': 'channel basically why I try and do in in', 'start': 4.38, 'duration': 5.25}, {'text': 'this series is try and speculate what', 'start': 7.17, 'duration': 5.19}, {'text': 'player ratings should be in 15 Ultimate', 'start': 9.63, 'duration': 5.009}, {'text': 'Team but before I begin doing this I', 'start': 12.36, 'duration': 4.65}, {'text': ""want to ask you whoever's not following"", 'start': 14.639, 'duration': 4.56}, {'text': 'me on Twitter or Facebook please be sure', 'start': 17.01, 'duration': 4.5}, {'text': 'to do so because I am gonna be giving', 'start': 19.199, 'duration': 5.07}, {'text': 'away players before FIFA 13 comes out', 'start': 21.51, 'duration': 5.16}, {'text': ""and it's gonna be on them too social"", 'start': 24.269, 'duration': 4.471}, {'text': 'network so be sure if you have yet to', 'start': 26.67, 'duration': 4.109}, {'text': 'follow me on Twitter or Facebook the', 'start': 28.74, 'duration': 3.3}, {'text': 'link will the links will be in the', 'start': 30.779, 'duration': 3.69}, {'text': ""description below let's see what Saul"", 'start': 32.04, 'duration': 5.58}, {'text': 'plays we have this week guys so first up', 'start': 34.469, 'duration': 5.101}, {'text': 'we have David Luiz one of the most', 'start': 37.62, 'duration': 4.259}, {'text': 'overpowered defenders in Ultimate Team', 'start': 39.57, 'duration': 3.03}, {'text': 'right now', 'start': 41.879, 'duration': 3.84}, {'text': ""but in reality he hasn't been that good"", 'start': 42.6, 'duration': 5.639}, {'text': 'this season he has probably the only', 'start': 45.719, 'duration': 4.381}, {'text': 'good match that I saw him in was his', 'start': 48.239, 'duration': 5.281}, {'text': 'debut match which was pretty awesome to', 'start': 50.1, 'duration': 5.22}, {'text': 'tell you the truth but other than that', 'start': 53.52, 'duration': 4.8}, {'text': ""there has been a downhill solve I don't"", 'start': 55.32, 'duration': 5.55}, {'text': ""know it hasn't been that good but maybe"", 'start': 58.32, 'duration': 5.399}, {'text': 'he should be downgraded to 80 let me', 'start': 60.87, 'duration': 4.35}, {'text': 'know your opinions on this guy but I', 'start': 63.719, 'duration': 3.421}, {'text': 'think he should really be downgraded and', 'start': 65.22, 'duration': 4.079}, {'text': ""in Ultimate Team he's just so"", 'start': 67.14, 'duration': 4.799}, {'text': 'overpowered for an 82 centre-back he', 'start': 69.299, 'duration': 5.701}, {'text': 'seems more like a 90 cents aback to be', 'start': 71.939, 'duration': 4.891}, {'text': 'honest with you guys if you have yet to', 'start': 75.0, 'duration': 4.2}, {'text': ""try and try him out and you know I'm"", 'start': 76.83, 'duration': 5.19}, {'text': 'exactly talking about in Ultimate Team', 'start': 79.2, 'duration': 6.87}, {'text': 'next up we have 76 Danny Welbeck this', 'start': 82.02, 'duration': 7.38}, {'text': 'guy so he needs to be upgraded', 'start': 86.07, 'duration': 5.729}, {'text': 'definitely because 76 he has caught a', 'start': 89.4, 'duration': 4.62}, {'text': 'couple of goals in the euros and he has', 'start': 91.799, 'duration': 5.64}, {'text': 'been pretty good this season actually he', 'start': 94.02, 'duration': 5.19}, {'text': ""needs to be upgraded he's not even a"", 'start': 97.439, 'duration': 4.261}, {'text': 'fucking rare what the hell is this but I', 'start': 99.21, 'duration': 4.619}, {'text': 'know EA based this on the previous', 'start': 101.7, 'duration': 4.349}, {'text': 'season but this season he has been', 'start': 103.829, 'duration': 4.171}, {'text': 'pretty good he needs to be definitely', 'start': 106.049, 'duration': 6.811}, {'text': 'upgraded from 76 at least I mean maybe', 'start': 108.0, 'duration': 7.7}, {'text': 'an 80 at least for ov rules up', 'start': 112.86, 'duration': 6.84}, {'text': 'definitely but no no way he should be', 'start': 115.7, 'duration': 6.97}, {'text': ""only 76 that's just messed up moving on"", 'start': 119.7, 'duration': 4.769}, {'text': ""to Rooney now ruiny there's gonna be"", 'start': 122.67, 'duration': 3.78}, {'text': ""mixed opinions about this guy and I'm"", 'start': 124.469, 'duration': 4.081}, {'text': 'not trying to offend any man new fans or', 'start': 126.45, 'duration': 6.06}, {'text': 'Manchester United fans but let me', 'start': 128.55, 'duration': 6.6}, {'text': ""Rooney's just seem so overrated in in"", 'start': 132.51, 'duration': 4.979}, {'text': 'real life in my opinion guys this is my', 'start': 135.15, 'duration': 4.919}, {'text': 'opinion so if you guys want to share', 'start': 137.489, 'duration': 5.671}, {'text': ""yours let me know but Rooney doesn't"", 'start': 140.069, 'duration': 6.511}, {'text': ""seem that good he's not a 90 striker"", 'start': 143.16, 'duration': 6.03}, {'text': 'definitely I think he should be more of', 'start': 146.58, 'duration': 5.67}, {'text': 'a maybe downgrade to 88 at least he', 'start': 149.19, 'duration': 4.92}, {'text': 'should not be the same he should not be', 'start': 152.25, 'duration': 2.819}, {'text': 'upgraded', 'start': 154.11, 'duration': 3.27}, {'text': 'he should be downgraded for next season', 'start': 155.069, 'duration': 4.771}, {'text': ""he hasn't been he has scored a lot of"", 'start': 157.38, 'duration': 5.189}, {'text': 'goals this season but then again you', 'start': 159.84, 'duration': 5.25}, {'text': 'know it comes into play where is he a 90', 'start': 162.569, 'duration': 5.581}, {'text': 'strike or is he not uh in my opinion he', 'start': 165.09, 'duration': 5.16}, {'text': ""doesn't seem to be a 90 striker but let"", 'start': 168.15, 'duration': 4.44}, {'text': 'me know yours guys about Rooney do you', 'start': 170.25, 'duration': 4.319}, {'text': 'think should be downgraded or upgraded', 'start': 172.59, 'duration': 5.19}, {'text': 'or maybe stay the same moving on Ramirez', 'start': 174.569, 'duration': 5.581}, {'text': 'so many of you have requested him in the', 'start': 177.78, 'duration': 4.59}, {'text': 'previous video and I definitely agree', 'start': 180.15, 'duration': 4.38}, {'text': 'with you guys he has been pretty damn', 'start': 182.37, 'duration': 5.49}, {'text': 'good this season and he is no way 79 he', 'start': 184.53, 'duration': 6.72}, {'text': 'should be at least 83 to 85 this guy has', 'start': 187.86, 'duration': 6.12}, {'text': 'been pretty awesome one of the best', 'start': 191.25, 'duration': 4.769}, {'text': 'girls I have seen from him is when he', 'start': 193.98, 'duration': 3.81}, {'text': 'scored against Barcelona', 'start': 196.019, 'duration': 4.56}, {'text': 'what an awesome chip over Valdez that', 'start': 197.79, 'duration': 5.34}, {'text': 'was it was just so damn good so much', 'start': 200.579, 'duration': 4.621}, {'text': ""Clausen that finish and it's just"", 'start': 203.13, 'duration': 4.38}, {'text': 'awesome I just loved it definitely', 'start': 205.2, 'duration': 3.98}, {'text': 'should be an upgrade for next season', 'start': 207.51, 'duration': 4.47}, {'text': ""Robin I'm not sure if you get is this"", 'start': 209.18, 'duration': 4.39}, {'text': 'gonna be mixed opinions about this guy', 'start': 211.98, 'duration': 4.68}, {'text': 'but Robin needs to be downgraded because', 'start': 213.57, 'duration': 6.24}, {'text': 'he had a pre all full season this this', 'start': 216.66, 'duration': 5.639}, {'text': 'year is just so awful and FIFA teen', 'start': 219.81, 'duration': 6.36}, {'text': 'movie based on this season guys so he', 'start': 222.299, 'duration': 6.361}, {'text': 'should be downgrade to maybe a TA again', 'start': 226.17, 'duration': 5.28}, {'text': 'maybe even not even more but he is a', 'start': 228.66, 'duration': 5.04}, {'text': 'awesome player but this season he just', 'start': 231.45, 'duration': 6.24}, {'text': 'been so unlucky and he just seems so', 'start': 233.7, 'duration': 6.48}, {'text': ""greedy this season I don't know why but"", 'start': 237.69, 'duration': 5.07}, {'text': 'let me know your opinion guys yeah I', 'start': 240.18, 'duration': 4.98}, {'text': 'think maybe 88 he has had a bad season', 'start': 242.76, 'duration': 5.13}, {'text': ""so if he gets downgrade say ta that's"", 'start': 245.16, 'duration': 4.979}, {'text': 'why I think should be happening but let', 'start': 247.89, 'duration': 4.26}, {'text': 'me know your opinion on this guy plays', 'start': 250.139, 'duration': 4.41}, {'text': 'guys who should be upgraded who should', 'start': 252.15, 'duration': 5.61}, {'text': 'be downgraded and like I said if you', 'start': 254.549, 'duration': 5.28}, {'text': 'have not followed me on Twitter or', 'start': 257.76, 'duration': 4.8}, {'text': 'Facebook please be sure to do so because', 'start': 259.829, 'duration': 5.011}, {'text': 'the giver is will be going on there but', 'start': 262.56, 'duration': 3.09}, {'text': 'this', 'start': 264.84, 'duration': 2.88}, {'text': 'gonna be happening anytime right now but', 'start': 265.65, 'duration': 3.66}, {'text': 'let me know your opinions on these guys', 'start': 267.72, 'duration': 5.31}, {'text': 'and as usual I hope you have a very nice', 'start': 269.31, 'duration': 6.199}, {'text': 'day', 'start': 273.03, 'duration': 2.479}]"
RYsr,tOnMExM_KV0,"[74, 106, 131, 461, 498, 2100]","[{'text': 'This video shows how to print using your Windows\n8 tablet and an HP Jetdirect 2800w NFC, or', 'start': 1.88, 'duration': 8.13}, {'text': 'Near Field Communication, enabled printer.\nIn this video we demonstrate the steps using', 'start': 10.01, 'duration': 5.22}, {'text': 'the HP Elite Pad 900 and the HP LaserJet Enterprise\nFlow MFP M830 printer.', 'start': 15.23, 'duration': 7.0}, {'text': 'Before beginning, the HP Jetdirect 2800w NFC\nand Wireless Direct Accessory must be installed', 'start': 25.48, 'duration': 7.0}, {'text': 'on your printer. We will not give those instructions\nin this video.', 'start': 32.509, 'duration': 5.831}, {'text': 'If you have not already done so, verify \nyour HP printer is ready to print using HP', 'start': 38.34, 'duration': 5.75}, {'text': 'Jetdirect 2800w NFC/Wireless Direct Accessory.\nMake sure the printer is in the Ready state.', 'start': 44.09, 'duration': 7.0}, {'text': 'Print the configuration pages from the control\npanel to confirm that NFC and HP Wireless', 'start': 54.89, 'duration': 5.71}, {'text': 'Direct printing are enabled on the printer.\nIf a page titled Wireless is included, then', 'start': 60.6, 'duration': 15.5}, {'text': 'NFC and HP Wireless Direct printing are enabled.\nMake sure that the latest version of HP ePrint', 'start': 76.1, 'duration': 7.8}, {'text': 'Software is installed on your Windows 8 tablet.\nIt should be version 4.5 or newer.', 'start': 83.9, 'duration': 6.73}, {'text': 'Note: ARM-based tablets running Windows RT\nare not supported.', 'start': 90.63, 'duration': 5.829}, {'text': 'Next, set up the wireless connection on your\ntablet so it can connect to the Wireless Direct', 'start': 96.459, 'duration': 6.04}, {'text': 'Accessory.\nIt is important to know where the WiFi antenna', 'start': 102.499, 'duration': 4.68}, {'text': 'is located on your wireless device so that\nyou can align it correctly with the Jetdirect', 'start': 107.179, 'duration': 5.19}, {'text': ""2800w NFC during the initial connection process.\nVerify that your device's wireless capability"", 'start': 112.369, 'duration': 8.59}, {'text': 'is enabled.\nThis is typically found in the Settings menu.', 'start': 120.959, 'duration': 5.04}, {'text': 'You must disconnect from any existing wireless\nconnection (wireless LAN or Internet) to print', 'start': 125.999, 'duration': 6.141}, {'text': ""using the NFC.\nFrom your tablet's application, select the"", 'start': 132.14, 'duration': 4.79}, {'text': 'File menu,\nand then select Print.', 'start': 136.93, 'duration': 4.74}, {'text': 'From the list of available printers, select\nHP ePrint.', 'start': 141.67, 'duration': 5.27}, {'text': ""Next, closely align or touch the HP Jetdirect\n2800w NFC icon and your tablet's antenna."", 'start': 146.94, 'duration': 8.76}, {'text': 'They must be within 1 inch or 2.5 cm of each\nother.', 'start': 155.7, 'duration': 4.81}, {'text': 'Hold your tablet on or near the HP Jetdirect\n2800w for at least one full second.', 'start': 160.51, 'duration': 7.0}, {'text': 'The tablet might make a connection sound or\ndisplay a pop-up symbol.', 'start': 168.38, 'duration': 7.0}, {'text': ""Once a connection is established, the HP ePrint\nSoftware displays the HP wireless direct printer's"", 'start': 176.05, 'duration': 6.23}, {'text': 'name.\nTap the Settings button to define basic print', 'start': 182.28, 'duration': 3.79}, {'text': 'options such as the number of copies, pages\nper sheet, and printing on one or both sides', 'start': 186.07, 'duration': 6.27}, {'text': '(also known as duplex).\nTap Print.', 'start': 192.34, 'duration': 5.36}, {'text': 'Your print job will be sent to the printer.\nNote: HP ePrint Software saves the printer', 'start': 197.7, 'duration': 16.17}, {'text': 'to your recently used printers list located\non the Recent tab.', 'start': 213.87, 'duration': 4.78}, {'text': 'You may select Automatically print upon successful\nconnection, so that future print jobs will', 'start': 218.65, 'duration': 5.33}, {'text': 'print automatically when you touch your tablet\nto the HP printer. If this option is selected', 'start': 223.98, 'duration': 6.23}, {'text': 'the Settings option will not be not available.\nFor additional information about HP ePrint', 'start': 230.21, 'duration': 6.64}, {'text': 'Software including frequently asked questions,\ngo to: www.hp.com/go/eprintsoftware.', 'start': 236.85, 'duration': 10.2}, {'text': 'Click Documentation to download the user guide.\nFor additional setup, configuration, and troubleshooting', 'start': 247.569, 'duration': 8.031}, {'text': 'information, go to www.hp.com/go/jd2800wSupport\nor scan the QR code shown on the screen with', 'start': 255.6, 'duration': 12.71}, {'text': 'your mobile device.\nYou can find additional helpful videos at', 'start': 268.31, 'duration': 4.59}, {'text': 'hp.com/supportvideos and on our YouTube channel,\nyoutube.com/hpprintersupport.', 'start': 272.9, 'duration': 9.919}]"
