GkEU,6N-HW4nwHM4,[0],
BfEU,6N64RRYMb7M,[284],
tsEU,oQ4QLF3XnJg,"[0, 79, 91, 918]",
MPEU,oZvg8BOd61Y,[68],
q7EU,odW6xN8CdEU,"[4, 9]",
d5EU,nplcWUvdVoc,[580],
scEU,LiH-UU1uT38,"[8, 250]",
CoEU,LnmN6MAPZF0,[887],
UGEU,M-6gz4VX_kg,"[2, 7, 26, 999]","[{'text': 'hey how was collecting youtubers', 'start': 0.859, 'duration': 6.19}, {'text': 'deflector 777 here this time with male', 'start': 2.94, 'duration': 6.57}, {'text': 'unboxing video coming all the way from', 'start': 7.049, 'duration': 8.071}, {'text': 'Indonesia I know what this is but I', 'start': 9.51, 'duration': 8.46}, {'text': ""actually haven't fully checked it out"", 'start': 15.12, 'duration': 5.58}, {'text': 'yet so I the packaging so you guys will', 'start': 17.97, 'duration': 7.14}, {'text': 'have to go through that full time so', 'start': 20.7, 'duration': 10.38}, {'text': ""let's check it out I could just really"", 'start': 25.11, 'duration': 9.42}, {'text': 'nice be protected I mean the cars a', 'start': 31.08, 'duration': 5.96}, {'text': 'nicely protected', 'start': 34.53, 'duration': 2.51}, {'text': 'there you go', 'start': 57.04, 'duration': 3.42}, {'text': 'these really nicely packaged for her is', 'start': 73.24, 'duration': 12.18}, {'text': 'the sir crate', 'start': 82.1, 'duration': 3.32}, {'text': ""let's check out the other and here's the"", 'start': 109.89, 'duration': 6.5}, {'text': 'other car the matching super', 'start': 112.29, 'duration': 4.1}, {'text': 'study Chevelle SS wagon', 'start': 116.61, 'duration': 4.1}, {'text': 'awesome go grams', 'start': 122.89, 'duration': 3.26}, {'text': 'and I believe these are gonna be in the', 'start': 145.55, 'duration': 5.97}, {'text': 'end end cases all righty guys thank you', 'start': 147.29, 'duration': 8.03}, {'text': 'so much for watching have you hunting', 'start': 151.52, 'duration': 3.8}]"
pNEU,X1itLt0GYxQ,[2],
ldEU,sO8TtE0zgho,[876],"[{'text': ""hey everybody this JJ and today we're"", 'start': 0.829, 'duration': 4.061}, {'text': 'going to do is just take a real quick', 'start': 3.87, 'duration': 3.929}, {'text': 'look at a small estimates tile stove', 'start': 4.89, 'duration': 9.629}, {'text': 'this is a East German little esbit or as', 'start': 7.799, 'duration': 9.24}, {'text': ""it's also if that's what I call Bernie"", 'start': 14.519, 'duration': 5.401}, {'text': 'hexamine tracks and has a bit fuel tabs', 'start': 17.039, 'duration': 4.471}, {'text': 'really anything that you wanted to put', 'start': 19.92, 'duration': 3.359}, {'text': 'in there as you can see I got this for', 'start': 21.51, 'duration': 4.83}, {'text': 'four dollars 95 cents at a it was at a', 'start': 23.279, 'duration': 4.83}, {'text': 'local military surplus store and', 'start': 26.34, 'duration': 3.48}, {'text': 'basically the way that these work is', 'start': 28.109, 'duration': 7.141}, {'text': 'this one anyway you just fold it open', 'start': 29.82, 'duration': 8.61}, {'text': 'and then there you have it and inside of', 'start': 35.25, 'duration': 6.329}, {'text': 'here you can see there are the fuel', 'start': 38.43, 'duration': 7.5}, {'text': 'tablets and it has two layers in this', 'start': 41.579, 'duration': 11.96}, {'text': 'particular model if I can get them out', 'start': 45.93, 'duration': 7.609}, {'text': 'alright set this down and light up', 'start': 54.05, 'duration': 6.3}, {'text': 'okay once you got that in a good stable', 'start': 68.29, 'duration': 3.49}, {'text': 'location then you go ahead and just take', 'start': 70.25, 'duration': 5.04}, {'text': 'a lighter or matches probably light it', 'start': 71.78, 'duration': 7.019}, {'text': 'with Ferro rod to you just need to kind', 'start': 75.29, 'duration': 9.21}, {'text': 'of break off just need to break off a', 'start': 78.799, 'duration': 7.561}, {'text': 'few little pieces and you can look at', 'start': 84.5, 'duration': 8.58}, {'text': 'sparks fall down for their see that', 'start': 86.36, 'duration': 10.549}, {'text': ""that's burning kind of hard with the"", 'start': 93.08, 'duration': 7.01}, {'text': 'reflection there', 'start': 96.909, 'duration': 3.181}, {'text': 'so these little chemical tablets burn', 'start': 103.45, 'duration': 4.47}, {'text': ""pretty hot like I said they're very very"", 'start': 105.189, 'duration': 4.71}, {'text': 'similar to Hexham a NEMA tracks in your', 'start': 107.92, 'duration': 6.989}, {'text': 'any of those in order to be able to', 'start': 109.899, 'duration': 9.15}, {'text': 'actually boil any significant amount of', 'start': 114.909, 'duration': 5.52}, {'text': 'water half a canteen cup or something', 'start': 119.049, 'duration': 3.331}, {'text': 'like that then you probably want to put', 'start': 120.429, 'duration': 3.211}, {'text': 'two or three of those little tablets', 'start': 122.38, 'duration': 2.79}, {'text': 'down in there I doubt that one would do', 'start': 123.64, 'duration': 5.039}, {'text': 'it by itself okay so once you got it lit', 'start': 125.17, 'duration': 5.16}, {'text': 'you find it kind of a stable place then', 'start': 128.679, 'duration': 3.601}, {'text': ""you'd be able to take your canteen cup"", 'start': 130.33, 'duration': 6.629}, {'text': 'and kind of just set it up on their heat', 'start': 132.28, 'duration': 6.12}, {'text': 'up whatever fluids or anything like that', 'start': 136.959, 'duration': 4.171}, {'text': 'that you have you know like i said if', 'start': 138.4, 'duration': 3.99}, {'text': 'you put two or three tablets in and we', 'start': 141.13, 'duration': 3.23}, {'text': 'could probably get it to boil as well', 'start': 142.39, 'duration': 7.2}, {'text': 'they do burn pretty hot but that is kind', 'start': 144.36, 'duration': 10.84}, {'text': 'of just a quick look at these little', 'start': 149.59, 'duration': 8.94}, {'text': ""Evelyn Nesbit style stoves there's"", 'start': 155.2, 'duration': 4.649}, {'text': 'multiple different ones you can pick', 'start': 158.53, 'duration': 4.53}, {'text': ""them up coghlan's make some on campmor a"", 'start': 159.849, 'duration': 5.761}, {'text': 'lot of different styles and things like', 'start': 163.06, 'duration': 7.739}, {'text': 'that but ultimately what you end up', 'start': 165.61, 'duration': 8.52}, {'text': 'getting is a small metal box with you', 'start': 170.799, 'duration': 4.831}, {'text': 'know a tray that you can put in your', 'start': 174.13, 'duration': 3.96}, {'text': 'chemical style fuels and these are', 'start': 175.63, 'duration': 5.34}, {'text': 'really pretty good for you know like a', 'start': 178.09, 'duration': 6.979}, {'text': 'cargo cargo pocket sized survival kit', 'start': 180.97, 'duration': 6.359}, {'text': ""you know we're just a small lightweight"", 'start': 185.069, 'duration': 5.381}, {'text': 'survival kit if you wanted they could be', 'start': 187.329, 'duration': 4.981}, {'text': 'good for like a get home bag or just', 'start': 190.45, 'duration': 3.03}, {'text': 'kind of add a bag or something along', 'start': 192.31, 'duration': 4.53}, {'text': 'those lines if you wanted to have some', 'start': 193.48, 'duration': 6.87}, {'text': 'extra you know fuel pieces with you you', 'start': 196.84, 'duration': 4.86}, {'text': 'know that you can start fire with i mean', 'start': 200.35, 'duration': 3.62}, {'text': ""that's just it's a good tender as well"", 'start': 201.7, 'duration': 8.43}, {'text': 'as well as an independent fuel so you', 'start': 203.97, 'duration': 7.45}, {'text': ""know they're just kind of kind of cool"", 'start': 210.13, 'duration': 2.52}, {'text': 'little things to have to throw in a', 'start': 211.42, 'duration': 3.0}, {'text': 'small small kit or something along those', 'start': 212.65, 'duration': 3.57}, {'text': ""lines they're definitely not something"", 'start': 214.42, 'duration': 3.21}, {'text': ""that you're going to be doing a lot of"", 'start': 216.22, 'duration': 4.41}, {'text': 'cooking over or you know any kind of', 'start': 217.63, 'duration': 5.43}, {'text': 'significant water boiling and then you', 'start': 220.63, 'duration': 5.639}, {'text': 'blow a little here and there enough to', 'start': 223.06, 'duration': 4.649}, {'text': 'get you rehydrated get you on the move', 'start': 226.269, 'duration': 4.8}, {'text': 'that kind of thing probably but not know', 'start': 227.709, 'duration': 6.331}, {'text': 'anything too significant the other thing', 'start': 231.069, 'duration': 4.711}, {'text': 'that these would be pretty good for is', 'start': 234.04, 'duration': 4.74}, {'text': 'these style and this is why they were', 'start': 235.78, 'duration': 5.039}, {'text': 'issue the military this hexamine track', 'start': 238.78, 'duration': 5.849}, {'text': 'scene style fuel has a very low light', 'start': 240.819, 'duration': 7.681}, {'text': 'signature and a very low smoke output', 'start': 244.629, 'duration': 6.931}, {'text': 'really hardly any and so these are very', 'start': 248.5, 'duration': 7.079}, {'text': 'good for combat tactical environments', 'start': 251.56, 'duration': 5.76}, {'text': 'and that kind of thing you know if you', 'start': 255.579, 'duration': 2.94}, {'text': 'were up in a little hidey hole or', 'start': 257.32, 'duration': 2.909}, {'text': 'something and you wanted to stay stay', 'start': 258.519, 'duration': 3.45}, {'text': 'hidden but you were cold you need to get', 'start': 260.229, 'duration': 2.971}, {'text': 'some warm fluids in your body or', 'start': 261.969, 'duration': 2.791}, {'text': 'something like that then these are going', 'start': 263.2, 'duration': 4.29}, {'text': 'to work pretty well for you but again', 'start': 264.76, 'duration': 3.99}, {'text': 'there they have a limited limited', 'start': 267.49, 'duration': 5.25}, {'text': 'applications but you know just a just a', 'start': 268.75, 'duration': 6.479}, {'text': 'pretty cool little piece of gear will', 'start': 272.74, 'duration': 3.54}, {'text': 'survival gear that you can incorporate', 'start': 275.229, 'duration': 2.611}, {'text': 'in your kit when you know if you ever', 'start': 276.28, 'duration': 6.0}, {'text': 'need to so anyhow guys I hope you enjoy', 'start': 277.84, 'duration': 6.81}, {'text': 'the quick look at the little esbit style', 'start': 282.28, 'duration': 4.05}, {'text': ""stove if you're thinking about you've"", 'start': 284.65, 'duration': 4.44}, {'text': 'been thinking about picking some up you', 'start': 286.33, 'duration': 5.31}, {'text': 'know if if you have an application for', 'start': 289.09, 'duration': 3.75}, {'text': 'the kind of thing that I just described', 'start': 291.64, 'duration': 2.16}, {'text': ""and I think it's going to work out"", 'start': 292.84, 'duration': 3.18}, {'text': 'pretty good for you just realize the', 'start': 293.8, 'duration': 4.14}, {'text': 'limitations that it has in size and', 'start': 296.02, 'duration': 5.87}, {'text': ""weight and you know it's really kind of"", 'start': 297.94, 'duration': 6.24}, {'text': 'also limited by the amount of fuel that', 'start': 301.89, 'duration': 6.67}, {'text': 'you carry with it could you use small', 'start': 304.18, 'duration': 6.35}, {'text': 'sticks and twigs and that kind of thing', 'start': 308.56, 'duration': 5.19}, {'text': 'yes you can however it kind of defeats', 'start': 310.53, 'duration': 6.67}, {'text': 'the purpose because again for a tactical', 'start': 313.75, 'duration': 5.46}, {'text': 'situation you want to have low smoke', 'start': 317.2, 'duration': 4.26}, {'text': 'output with the small twigs and stuff', 'start': 319.21, 'duration': 3.18}, {'text': 'like that you are going to have', 'start': 321.46, 'duration': 3.24}, {'text': 'increased smoke but if you ran out of', 'start': 322.39, 'duration': 4.11}, {'text': 'fuel tabs then you know you could', 'start': 324.7, 'duration': 4.92}, {'text': 'definitely do it and it would it would', 'start': 326.5, 'duration': 7.34}, {'text': 'work just fine so you know that is a', 'start': 329.62, 'duration': 7.59}, {'text': 'that is one possibility as well as you', 'start': 333.84, 'duration': 7.03}, {'text': 'can see the azlet fuel tab is just about', 'start': 337.21, 'duration': 6.299}, {'text': 'burned down you really only get about', 'start': 340.87, 'duration': 6.389}, {'text': 'five minutes or so you know for for one', 'start': 343.509, 'duration': 6.421}, {'text': 'of these these style tablets you might', 'start': 347.259, 'duration': 4.981}, {'text': 'get a little longer with a truck scene', 'start': 349.93, 'duration': 4.65}, {'text': 'bar full try oxy and bar you probably', 'start': 352.24, 'duration': 5.67}, {'text': 'get about 10 to 12 minutes maybe maybe', 'start': 354.58, 'duration': 6.72}, {'text': ""it's us longer you know so it just kind"", 'start': 357.91, 'duration': 5.58}, {'text': 'of kind of depends on what style fuel', 'start': 361.3, 'duration': 5.03}, {'text': 'you decide to incorporate with this but', 'start': 363.49, 'duration': 6.6}, {'text': ""anyways I'll let's go and hopefully you"", 'start': 366.33, 'duration': 5.2}, {'text': 'guys enjoyed this video if you did', 'start': 370.09, 'duration': 5.24}, {'text': 'please hit the thumbs up button and', 'start': 371.53, 'duration': 6.54}, {'text': 'please if you have not subscribed I', 'start': 375.33, 'duration': 4.75}, {'text': 'appreciate when you do and then go ahead', 'start': 378.07, 'duration': 3.96}, {'text': 'and share it with your friends on social', 'start': 380.08, 'duration': 3.869}, {'text': 'media as well I really appreciate all', 'start': 382.03, 'duration': 6.199}, {'text': 'that stuff talk to you guys later', 'start': 383.949, 'duration': 4.28}, {'text': 'you', 'start': 399.8, 'duration': 2.06}, {'text': 'one other benefit to these little styles', 'start': 438.169, 'duration': 5.441}, {'text': 'stoves with the chemical heat tabs or', 'start': 441.69, 'duration': 4.11}, {'text': 'chemical fuel tablets is that when they', 'start': 443.61, 'duration': 3.929}, {'text': 'burn up they pretty much burn up to', 'start': 445.8, 'duration': 3.45}, {'text': ""nothing there's very little ash for a"", 'start': 447.539, 'duration': 4.291}, {'text': 'little mess or anything like that as you', 'start': 449.25, 'duration': 4.68}, {'text': ""can see this one's just about fizzled"", 'start': 451.83, 'duration': 4.23}, {'text': ""out here and there's really hardly"", 'start': 453.93, 'duration': 6.859}, {'text': ""anything left in there now we're done"", 'start': 456.06, 'duration': 4.729}]"
