ZlB7,HIBOaMyt6Ec,[8],
rdB7,jfStrSaEel4,"[0, 1, 5, 105, 234, 358, 678]",
mtB7,SVA_kzo63q0,"[0, 5, 150, 204, 1204, 1631]",
B9B7,C3KfPxi-XHs,"[6, 8, 206]",
SQB7,-ScudJCAY5o,"[11, 20, 22, 32, 112, 123]","[{'text': ""hi guys it's Hannah here welcome to my"", 'start': 8.96, 'duration': 6.07}, {'text': 'youtube channel and welcome to April', 'start': 12.059, 'duration': 5.851}, {'text': ""Fool's Day food pranks collaboration if"", 'start': 15.03, 'duration': 5.61}, {'text': ""you'd like to play a practical joke on"", 'start': 17.91, 'duration': 6.3}, {'text': 'your friends and family on the April 1st', 'start': 20.64, 'duration': 6.99}, {'text': 'here are a few ideas we are keeping it', 'start': 24.21, 'duration': 5.489}, {'text': 'cute and sweet this year you can learn', 'start': 27.63, 'duration': 4.649}, {'text': 'how to make popcorn cupcakes over a', 'start': 29.699, 'duration': 5.661}, {'text': 'sugar quarter or check out how to make', 'start': 32.279, 'duration': 6.451}, {'text': 'breakfast dessert over at pink cake', 'start': 35.36, 'duration': 6.55}, {'text': 'princess and if you are a chocolate chip', 'start': 38.73, 'duration': 4.98}, {'text': 'cookie lover you can make molded', 'start': 41.91, 'duration': 3.75}, {'text': 'chocolate chip cookies learn how to make', 'start': 43.71, 'duration': 4.259}, {'text': 'these over at Montreal confections to', 'start': 45.66, 'duration': 4.86}, {'text': 'view these videos and recipes click on', 'start': 47.969, 'duration': 4.621}, {'text': 'individual images and it will take you', 'start': 50.52, 'duration': 5.25}, {'text': 'directly to that tutorial links are also', 'start': 52.59, 'duration': 5.75}, {'text': 'posted down below in a description area', 'start': 55.77, 'duration': 5.82}, {'text': ""and I'm going to show you today in this"", 'start': 58.34, 'duration': 5.889}, {'text': 'video how to make asparagus dessert', 'start': 61.59, 'duration': 5.13}, {'text': ""we're gonna be making sugar cookies and"", 'start': 64.229, 'duration': 4.411}, {'text': 'then white chocolate ganache for', 'start': 66.72, 'duration': 5.219}, {'text': 'bechamel sauce first we have to color', 'start': 68.64, 'duration': 5.37}, {'text': 'the sugar cookie dough so I just made', 'start': 71.939, 'duration': 3.781}, {'text': ""this dough and I'm going to color it"", 'start': 74.01, 'duration': 4.23}, {'text': 'with some green food coloring when', 'start': 75.72, 'duration': 4.5}, {'text': 'coloring the cookie dough I recommend', 'start': 78.24, 'duration': 3.93}, {'text': 'that you color it right after you make', 'start': 80.22, 'duration': 4.92}, {'text': ""the dough it's easier for the dough to"", 'start': 82.17, 'duration': 5.16}, {'text': 'absorb the food coloring and distribute', 'start': 85.14, 'duration': 4.049}, {'text': 'the food coloring nicely throughout the', 'start': 87.33, 'duration': 5.94}, {'text': ""cookie dough here I'm also adding some"", 'start': 89.189, 'duration': 5.941}, {'text': 'yellow food coloring because I wanted', 'start': 93.27, 'duration': 5.91}, {'text': 'some nice spring green color and now we', 'start': 95.13, 'duration': 7.47}, {'text': 'are ready to make the cookies so take a', 'start': 99.18, 'duration': 5.369}, {'text': 'piece of a dough and roll it into a', 'start': 102.6, 'duration': 4.1}, {'text': 'snake', 'start': 104.549, 'duration': 2.151}, {'text': 'I was able to work with two cookies at a', 'start': 109.69, 'duration': 6.96}, {'text': 'time or two asparagus cookies at a time', 'start': 113.74, 'duration': 5.31}, {'text': 'and then use a simple template to cut', 'start': 116.65, 'duration': 6.8}, {'text': 'the long strips of the cookie dough', 'start': 119.05, 'duration': 7.77}, {'text': 'shape the one side into a point and then', 'start': 123.45, 'duration': 6.06}, {'text': 'transfer it onto a baking sheet', 'start': 126.82, 'duration': 6.62}, {'text': 'now using clean and food only scissors', 'start': 129.51, 'duration': 9.01}, {'text': 'you can start cutting the dough to make', 'start': 133.44, 'duration': 8.14}, {'text': 'the leaves or what looks like a leaf', 'start': 138.52, 'duration': 5.19}, {'text': 'asparagus has really funny-looking', 'start': 141.58, 'duration': 4.71}, {'text': ""leaves it's like a cross between a fish"", 'start': 143.71, 'duration': 5.7}, {'text': ""scale and a needle so you're just making"", 'start': 146.29, 'duration': 6.3}, {'text': 'small incisions as you see there they', 'start': 149.41, 'duration': 7.11}, {'text': 'are all going in one direction facing', 'start': 152.59, 'duration': 7.71}, {'text': 'the tip of the asparagus make sure you', 'start': 156.52, 'duration': 7.49}, {'text': ""don't cut through the whole stalk and"", 'start': 160.3, 'duration': 6.81}, {'text': 'then you just have to repeat that on the', 'start': 164.01, 'duration': 4.99}, {'text': ""rest of the cookies now we're gonna"", 'start': 167.11, 'duration': 3.99}, {'text': 'paint these with some food coloring so', 'start': 169.0, 'duration': 5.22}, {'text': 'here I mixed some Brown edible food', 'start': 171.1, 'duration': 6.53}, {'text': 'coloring with a little bit of water', 'start': 174.22, 'duration': 3.41}, {'text': ""now I'm going to mix a little bit of"", 'start': 199.92, 'duration': 4.26}, {'text': 'purple food coloring with some water and', 'start': 201.87, 'duration': 7.56}, {'text': 'then paint the tip of the asparagus with', 'start': 204.18, 'duration': 9.06}, {'text': ""some purple don't forget to paint the"", 'start': 209.43, 'duration': 11.1}, {'text': 'sides of Taurus Paris as well and now we', 'start': 213.24, 'duration': 9.6}, {'text': ""are ready to bake these I'm going to"", 'start': 220.53, 'duration': 6.179}, {'text': 'bake these at 380 degrees of Fahrenheit', 'start': 222.84, 'duration': 6.57}, {'text': 'for about nine minutes once baked let', 'start': 226.709, 'duration': 7.311}, {'text': 'them cool before you handle them and', 'start': 229.41, 'duration': 8.28}, {'text': 'then you can store them in an airtight', 'start': 234.02, 'duration': 6.16}, {'text': 'container now to serve these I would', 'start': 237.69, 'duration': 4.2}, {'text': 'recommend that you drizzle some white', 'start': 240.18, 'duration': 5.43}, {'text': 'chocolate ganache over them and to make', 'start': 241.89, 'duration': 5.64}, {'text': 'white chocolate ganache you need white', 'start': 245.61, 'duration': 4.65}, {'text': ""chocolate chips and I'm using some heavy"", 'start': 247.53, 'duration': 4.2}, {'text': ""cream I'm also going to add some"", 'start': 250.26, 'duration': 2.52}, {'text': 'flavoring', 'start': 251.73, 'duration': 5.759}, {'text': ""I'm going to add some coconut flavor so"", 'start': 252.78, 'duration': 6.95}, {'text': 'first we have to heat the heavy cream', 'start': 257.489, 'duration': 5.791}, {'text': 'until you see little bubbles around the', 'start': 259.73, 'duration': 6.37}, {'text': 'edges and then we can pour it over the', 'start': 263.28, 'duration': 5.16}, {'text': 'chocolate I also like to put a piece of', 'start': 266.1, 'duration': 5.1}, {'text': 'paper towel on top and then a plate and', 'start': 268.44, 'duration': 6.44}, {'text': 'let it sit for about three minutes and', 'start': 271.2, 'duration': 7.25}, {'text': ""now we're just going to stir it until"", 'start': 274.88, 'duration': 7.41}, {'text': ""it's all smooth"", 'start': 278.45, 'duration': 3.84}, {'text': 'at this point you can add few drops of', 'start': 285.37, 'duration': 5.35}, {'text': ""the flavoring if you're adding flavoring"", 'start': 288.44, 'duration': 4.65}, {'text': 'make sure you use oil-based flavoring', 'start': 290.72, 'duration': 9.72}, {'text': 'when flavoring chocolate you can make', 'start': 293.09, 'duration': 9.3}, {'text': 'the ganache ahead of time and just cool', 'start': 300.44, 'duration': 5.01}, {'text': 'it in the refrigerator and then you can', 'start': 302.39, 'duration': 6.8}, {'text': ""microwave it until it's portable"", 'start': 305.45, 'duration': 3.74}, {'text': 'you can also sprinkle some almonds on a', 'start': 326.47, 'duration': 7.05}, {'text': ""tab and that's how you can make this"", 'start': 330.82, 'duration': 6.72}, {'text': 'really yummy and fun asparagus dessert I', 'start': 333.52, 'duration': 6.24}, {'text': 'hope you guys enjoyed this video let me', 'start': 337.54, 'duration': 3.99}, {'text': 'know what you think in a comment section', 'start': 339.76, 'duration': 4.56}, {'text': 'down below and have you ever pranked', 'start': 341.53, 'duration': 4.92}, {'text': 'anyone let me know how and what they', 'start': 344.32, 'duration': 4.62}, {'text': 'thought about it be sure to check out', 'start': 346.45, 'duration': 4.62}, {'text': ""the rest of your April Fool's Day food"", 'start': 348.94, 'duration': 4.65}, {'text': 'pranks collaboration treats thanks for', 'start': 351.07, 'duration': 6.02}, {'text': ""watching guys and I'll see you next time"", 'start': 353.59, 'duration': 6.36}, {'text': 'stay tuned for a takeout from this', 'start': 357.09, 'duration': 13.15}, {'text': ""episode right after this I'm starting"", 'start': 359.95, 'duration': 14.67}, {'text': 'with my fresh chocolate chocolate chip', 'start': 370.24, 'duration': 7.59}, {'text': 'cookie dough really marlane why did you', 'start': 374.62, 'duration': 4.98}, {'text': ""make chocolate chip cookies now I'm"", 'start': 377.83, 'duration': 4.31}, {'text': 'thinking of', 'start': 379.6, 'duration': 2.54}]"
ACB7,-UVPofYVVqQ,"[4, 28, 33, 38, 78, 86, 257]",
cFB7,hk2_Pcw7r20,"[11, 20, 22, 2155]","[{'text': 'hey welcome to Atkins diet in the', 'start': 5.919, 'duration': 3.97}, {'text': 'kitchen my name is course Kent altona', 'start': 8.059, 'duration': 3.271}, {'text': ""and this week we're going to make"", 'start': 9.889, 'duration': 4.621}, {'text': 'another Asian style recipe obviously', 'start': 11.33, 'duration': 4.799}, {'text': ""I've talked about this past but if you"", 'start': 14.51, 'duration': 4.14}, {'text': ""don't know before Atkins I was a super"", 'start': 16.129, 'duration': 5.611}, {'text': ""fan of chinese cooking and while I've"", 'start': 18.65, 'duration': 5.67}, {'text': ""done teriyaki stir fries I've done pot"", 'start': 21.74, 'duration': 4.799}, {'text': ""stickers I've done a whole bunch of"", 'start': 24.32, 'duration': 4.91}, {'text': 'other different stir fry recipes I', 'start': 26.539, 'duration': 5.611}, {'text': 'wanted to include one more a sweet and', 'start': 29.23, 'duration': 5.44}, {'text': 'sour sauce and obviously with the name', 'start': 32.15, 'duration': 4.08}, {'text': ""you might have thought hey that's been"", 'start': 34.67, 'duration': 3.12}, {'text': ""lost to time that's been lost my"", 'start': 36.23, 'duration': 3.39}, {'text': ""lifestyle well I'm here to say that"", 'start': 37.79, 'duration': 4.23}, {'text': ""you're going to have it back in the scan"", 'start': 39.62, 'duration': 5.03}, {'text': 'I have about a pound and a half of', 'start': 42.02, 'duration': 6.75}, {'text': 'chicken tenders naked chicken tenders', 'start': 44.65, 'duration': 5.98}, {'text': ""frying in the pan I'm going to cover"", 'start': 48.77, 'duration': 4.59}, {'text': ""them up and they'll cook in the pan for"", 'start': 50.63, 'duration': 5.49}, {'text': 'probably another 5-10 minutes while', 'start': 53.36, 'duration': 4.11}, {'text': ""they're cooking I'm going to go over"", 'start': 56.12, 'duration': 4.56}, {'text': 'there and set up the sweet and sour', 'start': 57.47, 'duration': 5.01}, {'text': 'sauce to go on top of them come along', 'start': 60.68, 'duration': 6.81}, {'text': 'with me the first piece of the sweet and', 'start': 62.48, 'duration': 9.39}, {'text': 'sour recipe is one third cup of low carb', 'start': 67.49, 'duration': 7.08}, {'text': ""ketchup now i'm using the Hinds variety"", 'start': 71.87, 'duration': 4.23}, {'text': 'but you can certainly make it yourself', 'start': 74.57, 'duration': 3.77}, {'text': ""I'll put a recipe and the ingredients"", 'start': 76.1, 'duration': 4.74}, {'text': ""below especially if you can't find the"", 'start': 78.34, 'duration': 9.28}, {'text': ""low carb ketchup do this I'm going to"", 'start': 80.84, 'duration': 11.84}, {'text': 'add one third cup of apple cider vinegar', 'start': 87.62, 'duration': 5.06}, {'text': 'one tablespoon of soy sauce', 'start': 107.15, 'duration': 5.58}, {'text': 'about a half a cup of liquid Splenda or', 'start': 123.12, 'duration': 7.32}, {'text': 'the granulated equivalent', 'start': 127.21, 'duration': 3.23}, {'text': 'one nice thing about the liquids funda', 'start': 140.819, 'duration': 4.861}, {'text': 'is the fact that in using it you have', 'start': 143.459, 'duration': 5.31}, {'text': 'zero the bulking agents that is found in', 'start': 145.68, 'duration': 4.77}, {'text': 'the granulated stuff that can certainly', 'start': 148.769, 'duration': 3.72}, {'text': 'add to the carbohydrate count I need', 'start': 150.45, 'duration': 8.399}, {'text': 'grandma xanthan gum be right back all', 'start': 152.489, 'duration': 8.34}, {'text': ""right to zest I'm going to add a half a"", 'start': 158.849, 'duration': 5.42}, {'text': 'teaspoon of xanthan gum to thicken the', 'start': 160.829, 'duration': 11.371}, {'text': 'sweet and sour sauce up it might not', 'start': 164.269, 'duration': 10.42}, {'text': ""look like it's combining initially one"", 'start': 172.2, 'duration': 6.719}, {'text': ""while you're stirring it in but as you"", 'start': 174.689, 'duration': 6.75}, {'text': ""heat it up over the over the heat it'll"", 'start': 178.919, 'duration': 7.85}, {'text': 'thicken up as it dissolves', 'start': 181.439, 'duration': 5.33}, {'text': ""alright so I'm going to let make sure"", 'start': 195.92, 'duration': 4.78}, {'text': 'you cook for probably another 07 minutes', 'start': 198.42, 'duration': 5.82}, {'text': ""and we'll catch back up at that one ok"", 'start': 200.7, 'duration': 6.54}, {'text': 'so my chickens basically done I broke', 'start': 204.24, 'duration': 6.44}, {'text': 'into the part with my spatula', 'start': 207.24, 'duration': 3.44}, {'text': 'there might be just a little bit of red', 'start': 219.87, 'duration': 4.83}, {'text': 'in it but it should be fine because', 'start': 222.12, 'duration': 4.02}, {'text': ""we're going to keep cooking it over the"", 'start': 224.7, 'duration': 3.27}, {'text': 'next five minutes as we cook the', 'start': 226.14, 'duration': 5.819}, {'text': ""vegetable I'm going to add about two"", 'start': 227.97, 'duration': 12.21}, {'text': 'cloves of garlic do it half a medium', 'start': 231.959, 'duration': 19.821}, {'text': 'onion 1 green pepper 2 stalks of celery', 'start': 240.18, 'duration': 11.6}, {'text': 'one cup of color folder and two cups of', 'start': 253.519, 'duration': 12.821}, {'text': ""broccoli I'm going to let this cook for"", 'start': 260.01, 'duration': 8.64}, {'text': 'about 5 10 minutes to let the steam cook', 'start': 266.34, 'duration': 5.42}, {'text': 'the broccoli underneath the cover pan', 'start': 268.65, 'duration': 6.45}, {'text': 'and we should be ready to sauce it up at', 'start': 271.76, 'duration': 7.12}, {'text': ""that point I'll see you then alright so"", 'start': 275.1, 'duration': 5.46}, {'text': 'in cook for about for another 5 minutes', 'start': 278.88, 'duration': 3.81}, {'text': 'you can tell that the broccoli is', 'start': 280.56, 'duration': 6.0}, {'text': ""getting bright green alright so it's"", 'start': 282.69, 'duration': 9.92}, {'text': 'time to put on the sauce one final stir', 'start': 286.56, 'duration': 6.05}, {'text': ""I'm going to add about three fourths of"", 'start': 301.03, 'duration': 17.52}, {'text': 'a cup of water to it to thin it up all', 'start': 302.62, 'duration': 17.16}, {'text': ""right so we're going to let the sauce"", 'start': 318.55, 'duration': 2.85}, {'text': ""thicken a little bit we're going to I"", 'start': 319.78, 'duration': 3.21}, {'text': 'cook for another 2 minutes on the stove', 'start': 321.4, 'duration': 4.62}, {'text': ""I'm going to take it off let it cool"", 'start': 322.99, 'duration': 4.77}, {'text': 'down just a little bit for sir it and', 'start': 326.02, 'duration': 4.02}, {'text': ""I'll be perfect i'll let you guys see"", 'start': 327.76, 'duration': 3.8}, {'text': 'the finished product after the', 'start': 330.04, 'duration': 3.93}, {'text': ""ingredients and i'll thank you guys for"", 'start': 331.56, 'duration': 3.88}, {'text': 'watching hope you guys are doing well', 'start': 333.97, 'duration': 3.83}, {'text': 'right', 'start': 335.44, 'duration': 2.36}, {'text': 'you', 'start': 345.26, 'duration': 2.06}]"
lUB7,hydrbM2FCMo,[310],
qmB7,IQKMZxbZlc0,"[32, 406]",
M5B7,IQqqsiJjhio,"[11, 250, 302]","[{'text': 'Yakub taster calm this is milk ur', 'start': 0.439, 'duration': 12.401}, {'text': ""popcorn snacks does it see here it's"", 'start': 6.98, 'duration': 8.73}, {'text': 'popcorn and chocolates', 'start': 12.84, 'duration': 8.22}, {'text': 'so compasses yes sit back here ah this', 'start': 15.71, 'duration': 43.689}, {'text': 'is right for you closer here ah I think', 'start': 21.06, 'duration': 40.62}, {'text': 'I have seen this before', 'start': 59.399, 'duration': 5.281}, {'text': ""or at least like it's a very big one"", 'start': 61.68, 'duration': 12.689}, {'text': ""here look at this it's kind of stupid so"", 'start': 64.68, 'duration': 17.27}, {'text': 'I think I bite one first or our phone', 'start': 74.369, 'duration': 13.831}, {'text': 'just really popcorn inside I did', 'start': 81.95, 'duration': 10.68}, {'text': 'something which could be popcorn', 'start': 88.2, 'duration': 4.43}, {'text': 'hmm', 'start': 95.6, 'duration': 3.0}, {'text': 'so they are doing a choco jacket on a', 'start': 108.33, 'duration': 10.09}, {'text': 'popcorn and I think this is the complete', 'start': 112.99, 'duration': 7.2}, {'text': 'distraction to do this liquor', 'start': 118.42, 'duration': 5.51}, {'text': 'the popcorn alone is really nice stuff', 'start': 120.19, 'duration': 7.679}, {'text': 'but with a choco jacott which gets to', 'start': 123.93, 'duration': 8.65}, {'text': ""start up you don't mean car my friend"", 'start': 127.869, 'duration': 12.951}, {'text': ""here I'm sewing more chooses a Fagin"", 'start': 132.58, 'duration': 8.24}, {'text': 'they want to do the chocolate on', 'start': 143.88, 'duration': 7.6}, {'text': ""everything like or what's the next and"", 'start': 146.23, 'duration': 8.58}, {'text': 'pop shop great with pork records come', 'start': 151.48, 'duration': 8.69}, {'text': 'out in chocolate we have to try this', 'start': 154.81, 'duration': 8.81}, {'text': 'please let me know', 'start': 160.17, 'duration': 3.45}]"
tSB7,JYCBlEHWmhc,[730],"[{'text': 'www.NewWebSolutions.ws', 'start': 0.0, 'duration': 178.0}]"
