WWBs,OYeunAJJCFQ,"[0, 12]",
jIBs,faH0E_uhXMQ,"[62, 1255]",
rhBs,uyoUahHkc2I,"[6, 8, 100]",
d6Bs,v1ehUuKQj8k,[3],
z2Bs,zbngPFN4i8k,"[0, 1, 234]",
lIBs,zsHQc9VKrN8,[861],
nSBs,EExmwlGwplc,"[5, 49, 80, 1253]","[{'text': ""either today I'm going to show you how"", 'start': 1.63, 'duration': 5.459}, {'text': ""to draw backs from big hero 6 so we're"", 'start': 3.73, 'duration': 4.229}, {'text': ""going to do is I'm going to start with"", 'start': 7.089, 'duration': 3.331}, {'text': 'the head and one visit to make something', 'start': 7.959, 'duration': 4.321}, {'text': ""to squash the circle so let's start at"", 'start': 10.42, 'duration': 6.18}, {'text': 'the top come around to the sides let me', 'start': 12.28, 'duration': 8.94}, {'text': 'the bottom and then up when will you', 'start': 16.6, 'duration': 9.09}, {'text': ""meet Center okay and then we'll plug in"", 'start': 21.22, 'duration': 4.89}, {'text': 'the eyes', 'start': 25.69, 'duration': 2.37}, {'text': 'so we basically has two big black eyes', 'start': 26.11, 'duration': 3.15}, {'text': ""on either side so we'll start on the"", 'start': 28.06, 'duration': 3.809}, {'text': ""left here and I'll draw the circle and"", 'start': 29.26, 'duration': 6.119}, {'text': 'color that in black go to the other side', 'start': 31.869, 'duration': 5.97}, {'text': 'and draw another black circle around the', 'start': 35.379, 'duration': 5.881}, {'text': ""equal size just like so and we'll"", 'start': 37.839, 'duration': 6.801}, {'text': 'connect the two with one straight line', 'start': 41.26, 'duration': 6.66}, {'text': ""alright so there's the head let's go to"", 'start': 44.64, 'duration': 5.259}, {'text': ""the body so he's got two parts to his"", 'start': 47.92, 'duration': 4.29}, {'text': 'upper body the upper torso and then the', 'start': 49.899, 'duration': 5.041}, {'text': ""belly so we'll start on the top on the"", 'start': 52.21, 'duration': 5.519}, {'text': 'left side it will curve a line down to', 'start': 54.94, 'duration': 5.07}, {'text': ""the mid side of his body we'll go to the"", 'start': 57.729, 'duration': 4.08}, {'text': 'other side and do the exact same thing', 'start': 60.01, 'duration': 3.599}, {'text': 'just so that we can balance up the body', 'start': 61.809, 'duration': 4.831}, {'text': 'okay and then from here the body starts', 'start': 63.609, 'duration': 5.22}, {'text': ""to flare out towards the belly so I'm"", 'start': 66.64, 'duration': 3.869}, {'text': 'going to put my finger where I think the', 'start': 68.829, 'duration': 4.86}, {'text': 'bottom of the the belly would go start', 'start': 70.509, 'duration': 5.371}, {'text': ""up here and I'll curve almost like a"", 'start': 73.689, 'duration': 7.53}, {'text': 'large circle around okay go to the other', 'start': 75.88, 'duration': 8.01}, {'text': 'side and sort of look back and forth and', 'start': 81.219, 'duration': 8.22}, {'text': 'try to get the same equal side just like', 'start': 83.89, 'duration': 8.909}, {'text': ""so okay it's not bad okay and then in"", 'start': 89.439, 'duration': 5.131}, {'text': ""the middle of the body it's got these"", 'start': 92.799, 'duration': 3.271}, {'text': ""two little panels so what I'm going to"", 'start': 94.57, 'duration': 3.439}, {'text': ""do is I'm to start up above this seam"", 'start': 96.07, 'duration': 4.589}, {'text': 'and come down about equal distance down', 'start': 98.009, 'duration': 7.93}, {'text': 'below it just like so okay just let semi', 'start': 100.659, 'duration': 8.46}, {'text': 'circle do the same thing on the other', 'start': 105.939, 'duration': 6.631}, {'text': 'side just like so then I connect it to', 'start': 109.119, 'duration': 5.341}, {'text': ""so if I imagine a line or if you're here"", 'start': 112.57, 'duration': 3.869}, {'text': 'to here but not crossing into that white', 'start': 114.46, 'duration': 6.769}, {'text': ""side and I'll do a curve just like that"", 'start': 116.439, 'duration': 6.121}, {'text': 'alright', 'start': 121.229, 'duration': 3.52}, {'text': ""and then on the top side here he's got a"", 'start': 122.56, 'duration': 7.11}, {'text': ""crest so it's a big circle so and then"", 'start': 124.749, 'duration': 7.251}, {'text': ""it's got a little symbol comes"", 'start': 129.67, 'duration': 5.63}, {'text': 'in on each side up at an angle on both', 'start': 132.0, 'duration': 6.45}, {'text': ""sides and I'll connect the two the"", 'start': 135.3, 'duration': 5.67}, {'text': ""straight line alright let's go down to"", 'start': 138.45, 'duration': 3.93}, {'text': 'the legs so down in the middle of his', 'start': 140.97, 'duration': 4.74}, {'text': ""body I'm going to draw a straight line"", 'start': 142.38, 'duration': 4.8}, {'text': 'down okay', 'start': 145.71, 'duration': 3.9}, {'text': ""and then on the other side I'm going to"", 'start': 147.18, 'duration': 5.88}, {'text': 'do a curved bottom for the bottom of his', 'start': 149.61, 'duration': 5.34}, {'text': 'feet all right', 'start': 153.06, 'duration': 6.18}, {'text': ""and then I'm going to flare it out to"", 'start': 154.95, 'duration': 6.78}, {'text': 'the sides of his legs up to the bottom', 'start': 159.24, 'duration': 6.12}, {'text': 'of the belly okay now on the sides of', 'start': 161.73, 'duration': 4.8}, {'text': ""the legs here I'm just going to draw"", 'start': 165.36, 'duration': 2.55}, {'text': 'what I did similar here is a little', 'start': 166.53, 'duration': 5.4}, {'text': ""panel so it's a semicircle on either"", 'start': 167.91, 'duration': 7.44}, {'text': ""side and then I'm going to finish up the"", 'start': 171.93, 'duration': 8.19}, {'text': 'bottoms with a little bit of a scene all', 'start': 175.35, 'duration': 7.53}, {'text': ""right okay so we've got the head body"", 'start': 180.12, 'duration': 5.46}, {'text': ""linked let's go down to the arms so on"", 'start': 182.88, 'duration': 5.0}, {'text': 'one side here and start up about here', 'start': 185.58, 'duration': 5.85}, {'text': 'and curve around the middle of the body', 'start': 187.88, 'duration': 7.6}, {'text': 'and come back in just like so very', 'start': 191.43, 'duration': 6.51}, {'text': ""simple and then the elbow I'm going to"", 'start': 195.48, 'duration': 4.62}, {'text': 'give them an elbow panel so then another', 'start': 197.94, 'duration': 5.34}, {'text': 'semicircle and then a seam that goes', 'start': 200.1, 'duration': 6.27}, {'text': 'across in a bit of a curve in an angle', 'start': 203.28, 'duration': 5.04}, {'text': ""okay let's go to the other side and do"", 'start': 206.37, 'duration': 3.18}, {'text': ""the exact same thing so I'll make sure"", 'start': 208.32, 'duration': 4.41}, {'text': ""that I'm not that a same height come"", 'start': 209.55, 'duration': 11.76}, {'text': ""around okay alright and I'll do a little"", 'start': 212.73, 'duration': 12.93}, {'text': ""patch panel here and then I'll draw the"", 'start': 221.31, 'duration': 7.95}, {'text': 'seam across the elbow joint alright now', 'start': 225.66, 'duration': 4.889}, {'text': ""let's get to the figures and I'm going"", 'start': 229.26, 'duration': 2.789}, {'text': ""to keep them very simple so what I'm"", 'start': 230.549, 'duration': 4.561}, {'text': ""going to do is I'm squishing a thumb so"", 'start': 232.049, 'duration': 6.75}, {'text': ""it's basically an oblong circle type"", 'start': 235.11, 'duration': 7.4}, {'text': ""into that arm let's do a finger"", 'start': 238.799, 'duration': 5.821}, {'text': ""so I'll do the exact same thing like"", 'start': 242.51, 'duration': 5.22}, {'text': ""that okay and then I'll do an overlap"", 'start': 244.62, 'duration': 6.35}, {'text': 'well overlap the fingers behind it', 'start': 247.73, 'duration': 5.59}, {'text': ""I'm only giving them three fingers just"", 'start': 250.97, 'duration': 4.9}, {'text': ""like that okay let's do the same thing"", 'start': 253.32, 'duration': 4.099}, {'text': 'back here', 'start': 255.87, 'duration': 8.03}, {'text': 'so one thumb one oblong index finger and', 'start': 257.419, 'duration': 10.11}, {'text': ""then I'll tuck in the other fingers find"", 'start': 263.9, 'duration': 7.289}, {'text': ""it and that's essentially it very simple"", 'start': 267.529, 'duration': 6.72}, {'text': 'there is baymax from big hero 6 thanks', 'start': 271.189, 'duration': 4.891}, {'text': 'for watching and I want to wish Hiro a', 'start': 274.249, 'duration': 5.241}, {'text': 'very happy fifth birthday', 'start': 276.08, 'duration': 3.41}]"
i4Bs,EG3ESIUUcwo,[3243],"[{'text': 'Prerna my seamstress trovich revelation', 'start': 0.11, 'duration': 4.84}, {'text': 'illusions on a trophy high school', 'start': 2.879, 'duration': 4.5}, {'text': 'principal Park on CD attention again is', 'start': 4.95, 'duration': 5.49}, {'text': 'a consumption the Center Morada nada', 'start': 7.379, 'duration': 5.491}, {'text': 'nada not free individuality nearby', 'start': 10.44, 'duration': 6.63}, {'text': 'airport no oh so not a characterization', 'start': 12.87, 'duration': 8.46}, {'text': 'team is vacant honest vero - individual', 'start': 17.07, 'duration': 8.58}, {'text': 'Nakazato suburban sama can smash', 'start': 21.33, 'duration': 6.689}, {'text': 'appearance una volta nada mucho pesos', 'start': 25.65, 'duration': 6.029}, {'text': 'available Dover no visa coach or a', 'start': 28.019, 'duration': 7.591}, {'text': 'stubborn on DuPage aswani pardon / Sun', 'start': 31.679, 'duration': 9.841}, {'text': 'Sentinel complete a Novation Gautama', 'start': 35.61, 'duration': 10.49}, {'text': ""soon about Donovan Rosco's Carmen"", 'start': 41.52, 'duration': 9.359}, {'text': 'Vasquez a discover auras popular', 'start': 46.1, 'duration': 8.799}, {'text': 'businessman a vida y given x p-pardon', 'start': 50.879, 'duration': 6.721}, {'text': 'knowledge is a mishmash gentlemen best', 'start': 54.899, 'duration': 6.39}, {'text': 'Watney a jacuzzi ultimate Evansville', 'start': 57.6, 'duration': 6.959}, {'text': 'despot disaster from dead candy grass', 'start': 61.289, 'duration': 5.611}, {'text': 'scholar está con otro Manish Malhotra', 'start': 64.559, 'duration': 4.981}, {'text': ""she's a mutant dnevnik emos Romero's"", 'start': 66.9, 'duration': 3.719}, {'text': 'potency finale', 'start': 69.54, 'duration': 4.95}, {'text': 'narsimha rebel : for my emotional token', 'start': 70.619, 'duration': 7.201}, {'text': 'our code name is Ronnie Barkan hoon yaki', 'start': 74.49, 'duration': 6.48}, {'text': 'at very strong image barrier yep I see a', 'start': 77.82, 'duration': 5.85}, {'text': 'person to year for me are all dimensions', 'start': 80.97, 'duration': 5.87}, {'text': 'Toni Valliere a balcony', 'start': 83.67, 'duration': 5.61}, {'text': 'moti haiman here in code lab is', 'start': 86.84, 'duration': 7.08}, {'text': 'prominent Russia buddy Greg', 'start': 89.28, 'duration': 4.64}, {'text': 'Castellanos a little skull', 'start': 97.079, 'duration': 3.621}, {'text': 'irresponsible', 'start': 105.96, 'duration': 3.0}, {'text': 'si ellos NOS estados Roberto not su', 'start': 130.47, 'duration': 8.22}, {'text': 'padre de novo Phase II does not remain', 'start': 133.71, 'duration': 13.05}, {'text': 'mr. president a story nos a very odd', 'start': 138.69, 'duration': 9.24}, {'text': 'Muhammadu gosh', 'start': 146.76, 'duration': 4.95}, {'text': 'oto-chan common iike a dog national got', 'start': 147.93, 'duration': 8.85}, {'text': 'a chip on Funes de soto discharge', 'start': 151.71, 'duration': 7.65}, {'text': 'ignition sharing center Metro eta is', 'start': 156.78, 'duration': 5.97}, {'text': 'version a DuPage Crespo subpoena nurse', 'start': 159.36, 'duration': 8.55}, {'text': 'when a volcano pose ingenuity Grenada', 'start': 162.75, 'duration': 9.8}, {'text': 'mommy rose oil the tone of Sonny Bono', 'start': 167.91, 'duration': 9.14}, {'text': ""Tara's Moslem arose potent montage"", 'start': 172.55, 'duration': 4.5}, {'text': 'should be numbers of the governor octo', 'start': 185.629, 'duration': 4.101}, {'text': 'double', 'start': 196.09, 'duration': 2.869}, {'text': 'meat or cheese coming apart in such is', 'start': 210.77, 'duration': 6.57}, {'text': 'covered Dawkins are most audiences can', 'start': 213.47, 'duration': 7.85}, {'text': 'visually monitor what in a parish', 'start': 217.34, 'duration': 3.98}, {'text': 'welcome consul Gnaeus movie ever Goggan', 'start': 239.4, 'duration': 6.559}, {'text': 'all times', 'start': 243.569, 'duration': 2.39}, {'text': 'you know', 'start': 254.51, 'duration': 2.66}, {'text': 'what what does was an emotional presence', 'start': 262.27, 'duration': 4.82}, {'text': 'of your insane', 'start': 264.4, 'duration': 2.69}, {'text': 'so hajima malleable Drona doujin Ghana', 'start': 288.55, 'duration': 5.869}, {'text': ""who's also on connection up rounds on"", 'start': 296.069, 'duration': 4.13}, {'text': 'boki', 'start': 302.1, 'duration': 2.87}, {'text': 'we do', 'start': 305.25, 'duration': 2.72}, {'text': 'you', 'start': 327.129, 'duration': 2.09}]"
1kBs,6vYmlNK4hRU,[5],
1KBs,6zRI0GCbJRM,"[3, 4, 9, 10, 13, 97, 351, 2187]",
