GQOf,bm-x2zlsd8o,"[21, 23, 2835]",
OeOf,k1R0qhz5Zsc,"[260, 371]",
3BOf,qf-D7e93dWs,"[1606, 1623, 3318]","[{'text': ""hey guys I'm back I got a pretty cool"", 'start': 0.079, 'duration': 6.82}, {'text': 'thing in the mail from the gamestop', 'start': 4.11, 'duration': 4.8}, {'text': ""power Awards if you don't know about it"", 'start': 6.899, 'duration': 5.37}, {'text': 'basically if the old edge card that was', 'start': 8.91, 'duration': 5.97}, {'text': 'a gamestop now they have it where you', 'start': 12.269, 'duration': 7.02}, {'text': 'get all the same benefits except now for', 'start': 14.88, 'duration': 6.989}, {'text': 'the points for the you get points for', 'start': 19.289, 'duration': 5.041}, {'text': 'the money you spend and for like trading', 'start': 21.869, 'duration': 4.201}, {'text': 'games in and then you can redeem those', 'start': 24.33, 'duration': 7.08}, {'text': 'points for prizes so I got mine in the', 'start': 26.07, 'duration': 18.11}, {'text': ""mail today see um well there's a sticker"", 'start': 31.41, 'duration': 15.36}, {'text': ""that's kind of cool I guess kind of I"", 'start': 44.18, 'duration': 7.769}, {'text': ""actually hate it stupid let's see"", 'start': 46.77, 'duration': 7.26}, {'text': 'congrats on your recent reward', 'start': 51.949, 'duration': 3.34}, {'text': ""Redemption here's the really awesome"", 'start': 54.03, 'duration': 3.779}, {'text': 'item you scored I have to save you', 'start': 55.289, 'duration': 3.811}, {'text': 'really low when members get these cool', 'start': 57.809, 'duration': 2.941}, {'text': 'rewards now go build that point bounce', 'start': 59.1, 'duration': 3.0}, {'text': 'back up so we can send you more great', 'start': 60.75, 'duration': 4.58}, {'text': 'stuff Jen McMillan game scarf awards', 'start': 62.1, 'duration': 7.559}, {'text': ""whatever here's what i got this cost me"", 'start': 65.33, 'duration': 7.24}, {'text': 'six thousand one hundred fifty points', 'start': 69.659, 'duration': 10.861}, {'text': 'took about three weeks to get here red', 'start': 72.57, 'duration': 15.5}, {'text': 'dead redemption post you back up bit so', 'start': 80.52, 'duration': 10.01}, {'text': 'yeah i thought this one was pretty cool', 'start': 88.07, 'duration': 5.35}, {'text': 'they referred to it as a panel poster so', 'start': 90.53, 'duration': 3.94}, {'text': ""i don't know for some reason i was"", 'start': 93.42, 'duration': 2.72}, {'text': 'hoping would be a little bit thicker', 'start': 94.47, 'duration': 4.5}, {'text': ""like you know i don't know a little bit"", 'start': 96.14, 'duration': 6.24}, {'text': 'of a more cardboard kind of poster but', 'start': 98.97, 'duration': 8.91}, {'text': 'the edges are a little bit afraid and a', 'start': 102.38, 'duration': 10.36}, {'text': 'little torn but not a huge deal just got', 'start': 107.88, 'duration': 7.32}, {'text': 'a fun a nap but i really liked the look', 'start': 112.74, 'duration': 4.53}, {'text': ""at this post here and I'm kind of"", 'start': 115.2, 'duration': 4.41}, {'text': 'psyched to hang up in room hang it up in', 'start': 117.27, 'duration': 3.75}, {'text': 'my room so I', 'start': 119.61, 'duration': 5.85}, {'text': ""that's it thanks for watching guys"", 'start': 121.02, 'duration': 6.33}, {'text': 'hoping to maybe get some other videos', 'start': 125.46, 'duration': 3.6}, {'text': ""done this weekend we'll see what happens"", 'start': 127.35, 'duration': 4.76}, {'text': 'see you around', 'start': 129.06, 'duration': 3.05}]"
DIOf,qq0biMQdjTk,"[2, 7, 17, 48, 128, 177, 213, 1371, 2192]","[{'text': '[Music]', 'start': 0.0, 'duration': 3.419}, {'text': ""we'll iterate"", 'start': 14.719, 'duration': 5.071}, {'text': 'how often have you looked at a car and', 'start': 17.27, 'duration': 4.74}, {'text': 'wondered will it go sideways', 'start': 19.79, 'duration': 4.92}, {'text': 'I am the sort of person that looks at a', 'start': 22.01, 'duration': 4.41}, {'text': 'shopping trolley and wonders whether it', 'start': 24.71, 'duration': 4.74}, {'text': 'will drift around my local Tesco still', 'start': 26.42, 'duration': 4.83}, {'text': ""no shopping trolley I'm afraid what I do"", 'start': 29.45, 'duration': 5.039}, {'text': 'have today is one of these a Jaguar', 'start': 31.25, 'duration': 6.75}, {'text': ""xkr-s now I know what you're thinking"", 'start': 34.489, 'duration': 5.461}, {'text': 'you could drift one of these things', 'start': 38.0, 'duration': 3.57}, {'text': 'wearing a blindfold', 'start': 39.95, 'duration': 7.499}, {'text': 'well could you with 542 bhp from its', 'start': 41.57, 'duration': 8.37}, {'text': 'supercharged v8 engine and a rear-wheel', 'start': 47.449, 'duration': 5.04}, {'text': 'drive chassis that might actually have', 'start': 49.94, 'duration': 4.71}, {'text': 'been designed specifically to travel', 'start': 52.489, 'duration': 5.941}, {'text': 'sideways the xkr-s is an absolute TT', 'start': 54.65, 'duration': 7.02}, {'text': 'drift of courses switch the traction', 'start': 58.43, 'duration': 5.399}, {'text': 'control off and its massive rear tires', 'start': 61.67, 'duration': 4.41}, {'text': 'will light up faster than you can say', 'start': 63.829, 'duration': 4.591}, {'text': 'Philip Morris and with a nice long', 'start': 66.08, 'duration': 4.92}, {'text': ""wheelbase it's also beautifully balanced"", 'start': 68.42, 'duration': 6.479}, {'text': 'when it lets go but is it so easy to', 'start': 71.0, 'duration': 6.8}, {'text': 'drift that you could honestly do so', 'start': 74.899, 'duration': 6.17}, {'text': 'blindfolded is that really possible', 'start': 77.8, 'duration': 6.159}, {'text': 'can it be held sideways in other words', 'start': 81.069, 'duration': 5.11}, {'text': 'by using just the feeling your', 'start': 83.959, 'duration': 4.8}, {'text': 'fingertips and backside and by listening', 'start': 86.179, 'duration': 6.11}, {'text': 'to the engine and the exhaust maybe', 'start': 88.759, 'duration': 5.03}, {'text': 'maybe not', 'start': 92.289, 'duration': 4.741}, {'text': ""let's see"", 'start': 93.789, 'duration': 3.241}, {'text': ""let's see that again in gratuitous"", 'start': 125.369, 'duration': 11.891}, {'text': 'slow-motion so if the original question', 'start': 128.38, 'duration': 12.389}, {'text': 'was can you drift a Jaguar xkr-s while', 'start': 137.26, 'duration': 5.85}, {'text': 'wearing a blindfold the answer is most', 'start': 140.769, 'duration': 5.94}, {'text': ""definitely yes although it's probably"", 'start': 143.11, 'duration': 6.93}, {'text': 'best not to try and do so anywhere near', 'start': 146.709, 'duration': 9.921}, {'text': 'a public road or really anywhere ever', 'start': 150.04, 'duration': 6.59}]"
HnOf,qr3SLdkOiOc,"[14, 354]",
NnOf,dA4_fIzd3fc,"[17, 19, 55, 1073]",
lgOf,dQMlFias0Yw,"[2, 7, 116, 1502, 2358]",
w6Of,YOSaSD6fMnA,"[3, 6, 13]",
LGOf,heSlPnCDMoI,[14],
AxOf,hf7Bbzxyv0A,[5],
JvOf,YeUaFw2cHLY,[12],
