zgJj,9_DzTDyj9YE,"[24, 74, 106, 131, 187]",
f7Jj,9cUGuKkFhKQ,"[31, 40, 47, 57]",
B6Jj,9hss96DhvXg,"[4, 13, 154]",
9TJj,FQNsbKNgf9g,"[11, 20, 22, 29, 32, 1163, 1528]",
oAJj,FbRzKlIFeOY,"[4, 13, 164]",
GkJj,ZrltHA3N6HM,"[2, 7, 116, 979, 1012]",
SlJj,ZvXXJBpFfyo,"[3, 4, 13]",
CxJj,ZvH0X8698jU,"[275, 331, 455, 2665]","[{'text': ""hello youtube today I'm going to show"", 'start': 3.819, 'duration': 5.651}, {'text': 'you how to remove the claw capacitor for', 'start': 7.37, 'duration': 6.32}, {'text': 'the original Xbox the clock capacitor', 'start': 9.47, 'duration': 8.91}, {'text': ""can leak sometimes this Xbox doesn't"", 'start': 13.69, 'duration': 7.69}, {'text': ""seem to have any leak though I'm going"", 'start': 18.38, 'duration': 5.34}, {'text': 'to show you how to remove it first all', 'start': 21.38, 'duration': 3.81}, {'text': 'you you obviously have to open up your', 'start': 23.72, 'duration': 4.89}, {'text': 'Xbox as you can see take it apart once', 'start': 25.19, 'duration': 5.669}, {'text': 'you do that then you can remove the', 'start': 28.61, 'duration': 5.339}, {'text': 'clock all right to remove clock you have', 'start': 30.859, 'duration': 5.52}, {'text': 'to remove the capacitor yet - just shake', 'start': 33.949, 'duration': 4.95}, {'text': 'it around or you can just desolder it', 'start': 36.379, 'duration': 5.131}, {'text': ""but I'm not gonna install new capacitor"", 'start': 38.899, 'duration': 5.76}, {'text': ""so I'm just gonna shake it I'm gonna rip"", 'start': 41.51, 'duration': 6.869}, {'text': ""it up basically so if you couldn't rip"", 'start': 44.659, 'duration': 6.27}, {'text': 'it out then just to gently back and', 'start': 48.379, 'duration': 4.26}, {'text': ""forth make sure you don't hurt the other"", 'start': 50.929, 'duration': 4.53}, {'text': 'capacitors alright and just so you know', 'start': 52.639, 'duration': 4.891}, {'text': ""it's the blue one with the blue marker"", 'start': 55.459, 'duration': 8.641}, {'text': 'that with the blue marker on top this', 'start': 57.53, 'duration': 11.089}, {'text': 'one seems firm shake it gently', 'start': 64.1, 'duration': 4.519}, {'text': 'you can twist it around - that should', 'start': 84.29, 'duration': 13.98}, {'text': 'help ya some Xboxes it can be firm now', 'start': 86.66, 'duration': 12.96}, {'text': 'our ones that can be really loose like', 'start': 98.27, 'duration': 4.97}, {'text': 'that xbox over there I took it out and', 'start': 99.62, 'duration': 7.68}, {'text': 'the thing was basically basically it was', 'start': 103.24, 'duration': 6.31}, {'text': ""easy to take it out there was it wasn't"", 'start': 107.3, 'duration': 4.1}, {'text': 'soldered on well', 'start': 109.55, 'duration': 3.6}, {'text': ""listen we'll say it's it's not it on"", 'start': 111.4, 'duration': 9.19}, {'text': ""well they just it's gonna take ya mash"", 'start': 113.15, 'duration': 8.94}, {'text': 'to get off one part of it now you get', 'start': 120.59, 'duration': 17.16}, {'text': 'the other one alright so well looks like', 'start': 122.09, 'duration': 20.85}, {'text': ""there's a leak on this one right to"", 'start': 137.75, 'duration': 7.7}, {'text': 'clean this off', 'start': 142.94, 'duration': 2.51}, {'text': 'how to clean it you need a q-tip and', 'start': 145.67, 'duration': 11.06}, {'text': 'some rubbing alcohol then what you do is', 'start': 148.819, 'duration': 13.201}, {'text': 'you wipe it around the electrolytes', 'start': 156.73, 'duration': 11.83}, {'text': ""there that's leaking you wipe around the"", 'start': 162.02, 'duration': 8.219}, {'text': ""fluid that's leak anything no no it's"", 'start': 168.56, 'duration': 8.67}, {'text': 'called things called electrolytes as you', 'start': 170.239, 'duration': 8.58}, {'text': ""can see it's a little dirty re thing off"", 'start': 177.23, 'duration': 3.87}, {'text': ""most of it but there's some remaining on"", 'start': 178.819, 'duration': 13.021}, {'text': 'here main on this part yeah anyway once', 'start': 181.1, 'duration': 13.68}, {'text': 'you rub most of alcohol shake a lot', 'start': 191.84, 'duration': 7.14}, {'text': 'dirty and once you rub that part off', 'start': 194.78, 'duration': 7.61}, {'text': 'then just scrape it with the dry end', 'start': 198.98, 'duration': 5.91}, {'text': 'this will take a while so you got you', 'start': 202.39, 'duration': 5.97}, {'text': 'got to use a few q-tips and the process', 'start': 204.89, 'duration': 5.67}, {'text': ""if you still can't get it off then use"", 'start': 208.36, 'duration': 4.24}, {'text': 'some sharp object and scrape it off and', 'start': 210.56, 'duration': 6.929}, {'text': 'then use the alcohol to take off most of', 'start': 212.6, 'duration': 7.79}, {'text': 'the scrapings', 'start': 217.489, 'duration': 2.901}, {'text': 'yep looks like I moved most of it though', 'start': 227.75, 'duration': 4.84}, {'text': 'so there should be a problem and the', 'start': 230.49, 'duration': 4.2}, {'text': ""ones are still on I'm not really worried"", 'start': 232.59, 'duration': 4.11}, {'text': ""about since it's not going to damage the"", 'start': 234.69, 'duration': 9.35}, {'text': 'board I just scrape it off one more time', 'start': 236.7, 'duration': 7.34}, {'text': 'all right', 'start': 245.81, 'duration': 3.06}]"
BBJj,_ASRxT1uesU,"[11, 20, 22, 29, 32, 426]",
6cJj,nbAUgr8g0wo,"[0, 1]","[{'text': ""who's in that machine yeah that's a worm"", 'start': 0.0, 'duration': 5.67}, {'text': ""it's a one isn't worm it is actually run"", 'start': 2.52, 'duration': 10.44}, {'text': 'by worms to kill she Oh God Oh Bashar', 'start': 5.67, 'duration': 9.75}, {'text': 'the sheep man yi wow that was', 'start': 12.96, 'duration': 6.27}, {'text': 'surprisingly non bloody oh no no no no', 'start': 15.42, 'duration': 5.82}, {'text': 'no okay hi everyone welcome back to', 'start': 19.23, 'duration': 3.99}, {'text': ""outside Xbox I'm Andy I'm joined by Jane"", 'start': 21.24, 'duration': 3.869}, {'text': ""and Mike hey guys oh we're playing"", 'start': 23.22, 'duration': 4.71}, {'text': 'flockers from Team 17 which looks kind', 'start': 25.109, 'duration': 4.801}, {'text': ""of like lemmings with sheep yeah it's"", 'start': 27.93, 'duration': 3.63}, {'text': 'very similar to lemmings these sheep are', 'start': 29.91, 'duration': 3.059}, {'text': 'just gonna move left to right and', 'start': 31.56, 'duration': 3.749}, {'text': ""there's various instruments of death so"", 'start': 32.969, 'duration': 4.651}, {'text': 'I now have an exploding supply set this', 'start': 35.309, 'duration': 6.0}, {'text': 'right little fella to explode well he', 'start': 37.62, 'duration': 5.009}, {'text': ""killed quite a lot of sheep and they're"", 'start': 41.309, 'duration': 5.281}, {'text': 'all 40 oh yeah sorry I only need to get', 'start': 42.629, 'duration': 5.43}, {'text': 'one of them into the finish line but', 'start': 46.59, 'duration': 4.35}, {'text': ""that's like inefficient shepherding yes"", 'start': 48.059, 'duration': 6.09}, {'text': ""all right more sheep down here that's"", 'start': 50.94, 'duration': 4.799}, {'text': 'their fault for being slow pokes', 'start': 54.149, 'duration': 4.081}, {'text': 'make a little super sheep here okay so', 'start': 55.739, 'duration': 3.811}, {'text': ""if anyone who doesn't remember lemmings"", 'start': 58.23, 'duration': 2.759}, {'text': ""it's a bit like flockers but with"", 'start': 59.55, 'duration': 3.39}, {'text': ""lemmings they were lemmings who didn't"", 'start': 60.989, 'duration': 3.121}, {'text': 'really look like lemmings they had green', 'start': 62.94, 'duration': 2.969}, {'text': ""hair and water that's what they didn't"", 'start': 64.11, 'duration': 3.96}, {'text': 'look anything like that me I like I like', 'start': 65.909, 'duration': 3.631}, {'text': 'to imagine it was like a blue one of', 'start': 68.07, 'duration': 4.65}, {'text': 'those you know like sweater dresses this', 'start': 69.54, 'duration': 3.81}, {'text': 'happened', 'start': 72.72, 'duration': 2.64}, {'text': ""oh no I've still got some why did you"", 'start': 73.35, 'duration': 3.78}, {'text': 'lead your sheep into this death machine', 'start': 75.36, 'duration': 4.049}, {'text': ""in the first place well it's some sort"", 'start': 77.13, 'duration': 4.2}, {'text': 'of factory some sort of sheep factory', 'start': 79.409, 'duration': 4.14}, {'text': ""I've got some sheep here yeah okay make"", 'start': 81.33, 'duration': 3.87}, {'text': 'a super sheep and go wait these sheep', 'start': 83.549, 'duration': 3.93}, {'text': 'you can pinch and zoom out thee yeah but', 'start': 85.2, 'duration': 4.11}, {'text': ""who does that then you can see what's"", 'start': 87.479, 'duration': 3.301}, {'text': 'going every grocery whole level right', 'start': 89.31, 'duration': 3.03}, {'text': ""what's I don't know what scares good"", 'start': 90.78, 'duration': 3.839}, {'text': 'okay change the reverses gravity right', 'start': 92.34, 'duration': 3.75}, {'text': 'like the thing at the centre of the', 'start': 94.619, 'duration': 3.691}, {'text': 'event horizon spaceship yeah in so your', 'start': 96.09, 'duration': 3.75}, {'text': ""eyes are gonna call out there's a portal"", 'start': 98.31, 'duration': 2.37}, {'text': 'to a Hell dimension', 'start': 99.84, 'duration': 2.959}, {'text': ""yeah I'm saying that would make the game"", 'start': 100.68, 'duration': 4.5}, {'text': 'better is this sheep hell is this what', 'start': 102.799, 'duration': 4.061}, {'text': ""sheep hell looks like sy he's gonna fall"", 'start': 105.18, 'duration': 3.299}, {'text': 'onto that rotating blade unless he do', 'start': 106.86, 'duration': 4.95}, {'text': 'something wait what is this spider thing', 'start': 108.479, 'duration': 5.941}, {'text': ""might fuck him up by the thing that's"", 'start': 111.81, 'duration': 3.18}, {'text': 'neat', 'start': 114.42, 'duration': 2.85}, {'text': ""it's a suicide conclude the level is"", 'start': 114.99, 'duration': 4.32}, {'text': 'that yeah but what about these sheep I', 'start': 117.27, 'duration': 3.33}, {'text': 'gotta make I can make them all into', 'start': 119.31, 'duration': 4.98}, {'text': 'sushi oh all right no sheep left behind', 'start': 120.6, 'duration': 7.5}, {'text': 'my geez look at this saw oh oh all right', 'start': 124.29, 'duration': 4.919}, {'text': 'these please want to be fine', 'start': 128.1, 'duration': 3.75}, {'text': 'there we go okay so you saved 11 sheep', 'start': 129.209, 'duration': 4.651}, {'text': 'have you met this the black sheep in the', 'start': 131.85, 'duration': 5.43}, {'text': 'lower left here yeah no wow', 'start': 133.86, 'duration': 4.86}, {'text': ""I don't know what huh let's make them"", 'start': 137.28, 'duration': 3.179}, {'text': ""move Oh they've all got little hats yeah"", 'start': 138.72, 'duration': 4.349}, {'text': 'no woolly hats which is the equivalent', 'start': 140.459, 'duration': 4.711}, {'text': 'of me wearing a hat made of my own this', 'start': 143.069, 'duration': 3.39}, {'text': 'yes it weird', 'start': 145.17, 'duration': 2.52}, {'text': ""let's make these little super chic and"", 'start': 146.459, 'duration': 2.791}, {'text': ""see what happens okay I'm not really I"", 'start': 147.69, 'duration': 2.64}, {'text': ""don't really have a carriage you're not"", 'start': 149.25, 'duration': 8.28}, {'text': ""confident that's gone badly these sheep"", 'start': 150.33, 'duration': 9.12}, {'text': ""of a now my favorite sheep so let's make"", 'start': 157.53, 'duration': 3.03}, {'text': 'some steep stairs', 'start': 159.45, 'duration': 3.12}, {'text': 'come on hat sheep I believe in you oh', 'start': 160.56, 'duration': 4.44}, {'text': ""okay that's right so cute like Chris"", 'start': 162.57, 'duration': 4.199}, {'text': ""tears themselves okay so you've got like"", 'start': 165.0, 'duration': 3.54}, {'text': ""some sort s like oil going that's a"", 'start': 166.769, 'duration': 3.211}, {'text': 'teleporter I know I think it must be', 'start': 168.54, 'duration': 3.66}, {'text': 'sending people oh hey', 'start': 169.98, 'duration': 4.14}, {'text': 'well I think you should be stopped yeah', 'start': 172.2, 'duration': 4.53}, {'text': 'flap the wall maybe yeah oh yeah all', 'start': 174.12, 'duration': 3.27}, {'text': 'right', 'start': 176.73, 'duration': 2.07}, {'text': ""and then they'll probably run into those"", 'start': 177.39, 'duration': 3.24}, {'text': ""spikes because they've got a death wish"", 'start': 178.8, 'duration': 4.29}, {'text': ""okay we're just I hope they're gonna"", 'start': 180.63, 'duration': 3.66}, {'text': ""jump over those spikes they're gonna"", 'start': 183.09, 'duration': 2.73}, {'text': 'jump over this bike he wants to be first', 'start': 184.29, 'duration': 4.89}, {'text': 'who wants to explain whether yeah you', 'start': 185.82, 'duration': 5.22}, {'text': 'know just look at all this oh no yeah', 'start': 189.18, 'duration': 3.24}, {'text': 'they will jump everyone they put at', 'start': 191.04, 'duration': 3.11}, {'text': ""least I'll collect something over there"", 'start': 192.42, 'duration': 3.9}, {'text': 'filtering my spies in the city get', 'start': 194.15, 'duration': 3.67}, {'text': 'smashed well some of them I got a couple', 'start': 196.32, 'duration': 2.82}, {'text': ""of them are gonna drop straight down I'm"", 'start': 197.82, 'duration': 3.3}, {'text': ""getting all they're getting because my"", 'start': 199.14, 'duration': 5.64}, {'text': 'car no you stupid fools you do Maddie no', 'start': 201.12, 'duration': 7.35}, {'text': 'oh good yes yes yes', 'start': 204.78, 'duration': 5.25}, {'text': ""I wonder if I'll blow up all the other"", 'start': 208.47, 'duration': 7.079}, {'text': 'piece to survive three so these guys now', 'start': 210.03, 'duration': 7.709}, {'text': 'they get get smashed I can smash up', 'start': 215.549, 'duration': 4.231}, {'text': 'tenderize I am a master strategies you', 'start': 217.739, 'duration': 3.331}, {'text': 'just have to hope the timing works', 'start': 219.78, 'duration': 2.85}, {'text': 'the timing is exactly wrong I think oh', 'start': 221.07, 'duration': 4.229}, {'text': 'no actually you find your bike oh right', 'start': 222.63, 'duration': 5.88}, {'text': 'wow that was surprisingly non bloody oh', 'start': 225.299, 'duration': 6.66}, {'text': ""no no no no okay it's on the board"", 'start': 228.51, 'duration': 4.11}, {'text': ""that's all right"", 'start': 231.959, 'duration': 2.011}, {'text': ""so basically like team Seventeen's whole"", 'start': 232.62, 'duration': 2.79}, {'text': 'thing is making worms over and over', 'start': 233.97, 'duration': 3.0}, {'text': 'again right and they also had the', 'start': 235.41, 'duration': 2.579}, {'text': 'license to make lemmings', 'start': 236.97, 'duration': 3.0}, {'text': 'yeah while as well if that goes down as', 'start': 237.989, 'duration': 4.081}, {'text': ""well this these so many ah there's gas"", 'start': 239.97, 'duration': 3.65}, {'text': ""there's gaps in Oh"", 'start': 242.07, 'duration': 7.79}, {'text': 'Oh God Oh because of the sheep manatee', 'start': 243.62, 'duration': 8.46}, {'text': ""that's an elevator there you've got to"", 'start': 249.86, 'duration': 4.05}, {'text': 'get that elevator lowered and then they', 'start': 252.08, 'duration': 3.9}, {'text': 'can just cross over right hey get over', 'start': 253.91, 'duration': 3.9}, {'text': ""here yeah you've got three super sheeps"", 'start': 255.98, 'duration': 4.05}, {'text': 'not going to carry them over there yeah', 'start': 257.81, 'duration': 4.829}, {'text': 'hey Tommy works out oh yeah no no no', 'start': 260.03, 'duration': 4.71}, {'text': 'yeah okay Janice jump jump for it', 'start': 262.639, 'duration': 3.451}, {'text': 'animation Trevor come down and then you', 'start': 264.74, 'duration': 4.709}, {'text': 'can get me yes all right good job sheeps', 'start': 266.09, 'duration': 5.52}, {'text': ""everyone's gonna be two stones Oh when's"", 'start': 269.449, 'duration': 3.391}, {'text': ""it coming out it's coming out on"", 'start': 271.61, 'duration': 5.09}, {'text': 'September 19th okay in a box or online', 'start': 272.84, 'duration': 6.75}, {'text': ""stop those feet from dying I'm trying"", 'start': 276.7, 'duration': 5.89}, {'text': 'No yeah Oh si how did it jumping Peter', 'start': 279.59, 'duration': 5.81}, {'text': 'Willie Joe yeah I was amazed I Center', 'start': 282.59, 'duration': 5.7}, {'text': ""well after that excellent joke we're"", 'start': 285.4, 'duration': 3.91}, {'text': 'gonna sign off thanks for watching', 'start': 288.29, 'duration': 2.55}, {'text': 'online xbox we will see you next time', 'start': 289.31, 'duration': 5.4}, {'text': 'oh wow it looks complicated', 'start': 290.84, 'duration': 10.17}, {'text': ""maybe yeah Oh power wait wait I don't"", 'start': 294.71, 'duration': 7.86}, {'text': ""know what's half of physics is about"", 'start': 301.01, 'duration': 3.0}, {'text': ""what's happening look at it look at"", 'start': 302.57, 'duration': 2.909}, {'text': ""what's happened oh no jumpers to the"", 'start': 304.01, 'duration': 3.0}, {'text': 'right dump dump dump dump dump', 'start': 305.479, 'duration': 5.16}, {'text': ""you'll all be jumpers yes survive that's"", 'start': 307.01, 'duration': 5.79}, {'text': ""pretty good who's in that machine yeah"", 'start': 310.639, 'duration': 5.371}, {'text': ""that's a worm it's a one isn't worm it"", 'start': 312.8, 'duration': 5.76}, {'text': 'is actually run by worms to kyoshi we', 'start': 316.01, 'duration': 6.9}, {'text': ""couldn't go Mason control Oh No so"", 'start': 318.56, 'duration': 6.06}, {'text': ""that's all my sheep dead thing"", 'start': 322.91, 'duration': 9.78}, {'text': ""oh no no into situations all right I'm I"", 'start': 324.62, 'duration': 10.32}, {'text': 'left my mistake weevil and these guys', 'start': 332.69, 'duration': 3.36}, {'text': 'are gonna make it to the exit so the', 'start': 334.94, 'duration': 2.729}, {'text': ""very least we've got that all right I"", 'start': 336.05, 'duration': 3.299}, {'text': ""don't know what to do about these poor"", 'start': 337.669, 'duration': 3.691}, {'text': ""bastards I'm really the ones who are the"", 'start': 339.349, 'duration': 3.841}, {'text': 'winners yeah these losers show me the', 'start': 341.36, 'duration': 3.9}, {'text': 'winners well alrighty when he looks', 'start': 343.19, 'duration': 4.949}, {'text': 'better like your complacency', 'start': 345.26, 'duration': 6.0}, {'text': 'well that was fuckers on Xbox one', 'start': 348.139, 'duration': 5.311}, {'text': ""Don September thanks for watching we've"", 'start': 351.26, 'duration': 5.51}, {'text': 'been outside Xbox see you next time bye', 'start': 353.45, 'duration': 6.32}, {'text': 'sheep', 'start': 356.77, 'duration': 3.0}]"
