vpJW,,"[0, 1, 42, 290]",
1iJW,hAQfDLp8BWk,"[9, 99, 518]",
osJW,5_-daAh3da8,"[3, 89, 310]",
92JW,V_oh5u0pIT0,"[21, 23]",
ywJW,rs9E1sVCqLM,"[0, 81, 217, 447, 790]","[{'text': ""what's up everyone this is polka and"", 'start': 0.75, 'duration': 5.41}, {'text': 'plasma freeze is online and pokemon TCG', 'start': 2.8, 'duration': 7.23}, {'text': ""online I got 17 packs here so I'm gonna"", 'start': 6.16, 'duration': 5.28}, {'text': ""open them up we'll go through them"", 'start': 10.03, 'duration': 2.819}, {'text': ""together and we'll check out some brand"", 'start': 11.44, 'duration': 4.26}, {'text': 'new plasma freeze cards here we go with', 'start': 12.849, 'duration': 4.471}, {'text': 'pack number one will see if we open', 'start': 15.7, 'duration': 5.61}, {'text': 'anything cool or not ah first pack', 'start': 17.32, 'duration': 6.09}, {'text': ""doesn't look too cool but we do have"", 'start': 21.31, 'duration': 4.889}, {'text': 'this shadow triad that new thing is', 'start': 23.41, 'duration': 4.019}, {'text': 'probably gonna get pretty annoying', 'start': 26.199, 'duration': 3.48}, {'text': ""pretty soon hopefully oh boy I don't"", 'start': 27.429, 'duration': 3.151}, {'text': 'know what they were thinking with that', 'start': 29.679, 'duration': 2.76}, {'text': '1i I like do they tell you when you have', 'start': 30.58, 'duration': 3.749}, {'text': 'a new card but the fact that it keeps vu', 'start': 32.439, 'duration': 4.981}, {'text': ""going back and forth I don't really like"", 'start': 34.329, 'duration': 5.521}, {'text': 'that so much anyway um yeah this pack', 'start': 37.42, 'duration': 3.69}, {'text': 'was pretty uneventful you have this', 'start': 39.85, 'duration': 4.17}, {'text': 'seismitoad seismic punch is actually', 'start': 41.11, 'duration': 5.969}, {'text': 'pretty good 30 damage to everything in', 'start': 44.02, 'duration': 4.73}, {'text': 'play except for seismitoad of course', 'start': 47.079, 'duration': 4.291}, {'text': 'combine that with a mr. mine we maybe we', 'start': 48.75, 'duration': 5.199}, {'text': 'got a new bad duck otherwise nothing too', 'start': 51.37, 'duration': 7.2}, {'text': 'exciting here next pack we have cough', 'start': 53.949, 'duration': 8.04}, {'text': ""egregious Six Feet Under who that's kind"", 'start': 58.57, 'duration': 8.369}, {'text': 'of a morbid ability there uh but yeah', 'start': 61.989, 'duration': 7.56}, {'text': 'you can knock yourself out and put three', 'start': 66.939, 'duration': 4.411}, {'text': ""damage counters on your opponent's field"", 'start': 69.549, 'duration': 4.561}, {'text': ""that doesn't seem too good a slap of"", 'start': 71.35, 'duration': 5.97}, {'text': 'misfortune as well otherwise again a', 'start': 74.11, 'duration': 5.52}, {'text': 'pretty uneventful pack here hopefully we', 'start': 77.32, 'duration': 3.659}, {'text': ""get something worthwhile there's a"", 'start': 79.63, 'duration': 4.98}, {'text': ""reverse holo flareon let's keep chugging"", 'start': 80.979, 'duration': 7.651}, {'text': 'along here we have 15 packs to go all', 'start': 84.61, 'duration': 6.93}, {'text': 'right here we go up and a spec life do', 'start': 88.63, 'duration': 5.94}, {'text': 'card if yes Pokemon gets knocked out', 'start': 91.54, 'duration': 4.469}, {'text': 'your opponent takes one fewer prize', 'start': 94.57, 'duration': 3.869}, {'text': 'cards so kind of a neat mechanic for', 'start': 96.009, 'duration': 4.65}, {'text': 'this a spec card probably gonna work the', 'start': 98.439, 'duration': 3.96}, {'text': 'best with Sableye since you can at junk', 'start': 100.659, 'duration': 3.75}, {'text': 'hunt for it otherwise it could just get', 'start': 102.399, 'duration': 3.961}, {'text': ""tool scrapper away who knows but it's"", 'start': 104.409, 'duration': 3.24}, {'text': 'still kind of cool to have in the game', 'start': 106.36, 'duration': 3.41}, {'text': 'of course we have team plasma ball', 'start': 107.649, 'duration': 4.441}, {'text': 'search your deck 14 plasma Pokemon', 'start': 109.77, 'duration': 5.849}, {'text': 'pretty cool and then the zekrom which', 'start': 112.09, 'duration': 6.33}, {'text': 'looks pretty sweet but the attacks are', 'start': 115.619, 'duration': 5.411}, {'text': 'not very good fusion bolts might be okay', 'start': 118.42, 'duration': 4.53}, {'text': 'I probably not going to be two playable', 'start': 121.03, 'duration': 3.869}, {'text': 'so there we go we got an ace spec at', 'start': 122.95, 'duration': 4.08}, {'text': 'least hopefully we get an ax or', 'start': 124.899, 'duration': 5.161}, {'text': 'something in the future this pack not', 'start': 127.03, 'duration': 6.45}, {'text': 'too great either we have this executor', 'start': 130.06, 'duration': 5.88}, {'text': 'with a blockade attack opponent cape', 'start': 133.48, 'duration': 3.869}, {'text': 'lady supporter cards that could be', 'start': 135.94, 'duration': 5.579}, {'text': 'pretty darn annoying and a hariyama not', 'start': 137.349, 'duration': 6.601}, {'text': ""too good again let's hope for some"", 'start': 141.519, 'duration': 7.071}, {'text': 'better stuff excuse me so next pack oh', 'start': 143.95, 'duration': 7.53}, {'text': 'we have the mighty Rattata this one has', 'start': 148.59, 'duration': 5.41}, {'text': '40 hit points so maybe you can actually', 'start': 151.48, 'duration': 4.14}, {'text': ""survive the first turn now if you're"", 'start': 154.0, 'duration': 3.989}, {'text': 'playing a raticate deck those we got', 'start': 155.62, 'duration': 6.929}, {'text': 'Beedrill not too exciting that is for', 'start': 157.989, 'duration': 6.72}, {'text': ""sure and you know we're just gonna get"", 'start': 162.549, 'duration': 3.3}, {'text': 'to the rest of pack so I want this video', 'start': 164.709, 'duration': 3.301}, {'text': 'to be too long but hopefully we get some', 'start': 165.849, 'duration': 4.681}, {'text': ""good stuff okay here's an absol that's a"", 'start': 168.01, 'duration': 5.64}, {'text': 'very good card mine Jack does 20 plus 20', 'start': 170.53, 'duration': 4.289}, {'text': ""for each of your opponent's benched"", 'start': 173.65, 'duration': 2.61}, {'text': ""pokemon we're gonna see this in dark"", 'start': 174.819, 'duration': 4.611}, {'text': 'ride X I would think pretty good attack', 'start': 176.26, 'duration': 8.52}, {'text': 'leafeon uh no thanks but team plasma', 'start': 179.43, 'duration': 7.33}, {'text': 'badge you can attach this to one of your', 'start': 184.78, 'duration': 3.69}, {'text': 'team but or one of your Pokemon it', 'start': 186.76, 'duration': 4.229}, {'text': 'becomes a team plasma Pokemon pretty', 'start': 188.47, 'duration': 5.7}, {'text': 'neat mechanic I liked it all right 11', 'start': 190.989, 'duration': 6.511}, {'text': 'packs to go what are we gonna get we got', 'start': 194.17, 'duration': 5.909}, {'text': 'it execute with that propagation ability', 'start': 197.5, 'duration': 4.98}, {'text': ""it's a reverse foil you can hardly see"", 'start': 200.079, 'duration': 4.651}, {'text': 'it but it is reverse foil and then', 'start': 202.48, 'duration': 4.68}, {'text': ""another copper graegus this one's a"", 'start': 204.73, 'duration': 4.31}, {'text': 'little different with crazy slap n', 'start': 207.16, 'duration': 5.4}, {'text': 'elongating arms otherwise nothing too', 'start': 209.04, 'duration': 5.979}, {'text': 'exciting in this pack something you', 'start': 212.56, 'duration': 3.929}, {'text': 'could no tears that primeape is actually', 'start': 215.019, 'duration': 3.541}, {'text': ""a common card we don't see that on"", 'start': 216.489, 'duration': 4.59}, {'text': 'evolutions too often but just want to', 'start': 218.56, 'duration': 6.209}, {'text': 'point that out 10 packs to go and no II', 'start': 221.079, 'duration': 7.44}, {'text': 'exes yet we have a steelix with heavy', 'start': 224.769, 'duration': 6.241}, {'text': ""impact boy that's a big attack cost a"", 'start': 228.519, 'duration': 6.361}, {'text': 'hundred damage 150 hit points on a stage', 'start': 231.01, 'duration': 7.53}, {'text': ""one that's pretty good and espeon not a"", 'start': 234.88, 'duration': 6.12}, {'text': 'terrible card probably not gonna be too', 'start': 238.54, 'duration': 5.25}, {'text': 'competitive though and of course we are', 'start': 241.0, 'duration': 4.53}, {'text': 'haunted by coffee graegus in this pack', 'start': 243.79, 'duration': 4.229}, {'text': 'opening apparently to Moorea masks oh', 'start': 245.53, 'duration': 5.88}, {'text': ""boy alright so let's hope for some"", 'start': 248.019, 'duration': 6.601}, {'text': 'better stuff here we got a muck I said', 'start': 251.41, 'duration': 5.939}, {'text': ""better stuff now what we're stuff um but"", 'start': 254.62, 'duration': 6.329}, {'text': ""yeah muck if you're poison you heal 60"", 'start': 257.349, 'duration': 4.951}, {'text': ""damage from yourself well i'm going to"", 'start': 260.949, 'duration': 2.52}, {'text': ""bed if you're poison you're probably"", 'start': 262.3, 'duration': 3.84}, {'text': 'just gonna get knocked out this probably', 'start': 263.469, 'duration': 3.541}, {'text': ""isn't too good"", 'start': 266.14, 'duration': 4.32}, {'text': 'reverse foil dratini miltank nothing to', 'start': 267.01, 'duration': 6.18}, {'text': 'nothing to write home about here eight', 'start': 270.46, 'duration': 6.39}, {'text': 'packs to go no II X yet guys are we', 'start': 273.19, 'duration': 6.57}, {'text': 'gonna get one in these 17 packs all', 'start': 276.85, 'duration': 4.5}, {'text': 'right we got an electrode as the', 'start': 279.76, 'duration': 3.84}, {'text': 'magnetic draw ability drums e of four', 'start': 281.35, 'duration': 4.5}, {'text': 'cards in your hand we might not be so', 'start': 283.6, 'duration': 6.75}, {'text': 'bad krookodile not so good another', 'start': 285.85, 'duration': 7.7}, {'text': ""shadow triad and we're gonna keep moving"", 'start': 290.35, 'duration': 8.37}, {'text': 'seven packs to go stilnox all right we', 'start': 293.55, 'duration': 7.18}, {'text': 'got a superior energy hold on me click', 'start': 298.72, 'duration': 4.44}, {'text': 'that away superior energy retrieval', 'start': 300.73, 'duration': 4.11}, {'text': 'pretty good in those blastoise decks', 'start': 303.16, 'duration': 4.2}, {'text': 'discard two cards get four basic energy', 'start': 304.84, 'duration': 4.17}, {'text': 'back from a discard pile gonna be great', 'start': 307.36, 'duration': 4.14}, {'text': 'with black Kyra me X and Blastoise', 'start': 309.01, 'duration': 4.44}, {'text': 'another reverse foil aggregate in', 'start': 311.5, 'duration': 6.36}, {'text': ""another mark so let's keep going six To"", 'start': 313.45, 'duration': 8.19}, {'text': 'Go worry we got a heat Tranzit sprout', 'start': 317.86, 'duration': 5.61}, {'text': 'one of the worst X is in the set but we', 'start': 321.64, 'duration': 4.56}, {'text': 'got one all right heat boiler dynamite', 'start': 323.47, 'duration': 4.8}, {'text': 'press looks kind of cool at the very', 'start': 326.2, 'duration': 5.21}, {'text': 'least Heatran pretty sweet and a', 'start': 328.27, 'duration': 5.34}, {'text': ""pachirisu and here we go here's a big"", 'start': 331.41, 'duration': 4.48}, {'text': 'card afloat stone the tool that gives', 'start': 333.61, 'duration': 4.97}, {'text': 'you Pokemon free retreat pretty good', 'start': 335.89, 'duration': 4.8}, {'text': ""yeah we got a couple of v's as well"", 'start': 338.58, 'duration': 3.91}, {'text': 'sorry at least we got a heat training of', 'start': 340.69, 'duration': 4.68}, {'text': ""this we didn't go uh we didn't go blank"", 'start': 342.49, 'duration': 5.34}, {'text': 'on the exes at least alright so here we', 'start': 345.37, 'duration': 5.61}, {'text': 'got the weavile with vilify discard as', 'start': 347.83, 'duration': 5.46}, {'text': 'many pokemon as you like your hand um', 'start': 350.98, 'duration': 4.23}, {'text': 'does 30-day much have the number of', 'start': 353.29, 'duration': 4.02}, {'text': 'Pokemon you discard obviously combos', 'start': 355.21, 'duration': 3.83}, {'text': 'with those Eddie the cutes we got so far', 'start': 357.31, 'duration': 4.47}, {'text': 'and otherwise nothing too great here we', 'start': 359.04, 'duration': 7.66}, {'text': 'have four packs to go and I gets this', 'start': 361.78, 'duration': 8.25}, {'text': 'okay so this is actually holo rare now', 'start': 366.7, 'duration': 5.1}, {'text': 'your opponent reveals his her hand', 'start': 370.03, 'duration': 4.59}, {'text': 'shovels all the item cards into his or', 'start': 371.8, 'duration': 4.5}, {'text': 'her deck and then you draw a card for', 'start': 374.62, 'duration': 4.02}, {'text': ""each item you've shuffled in pretty cool"", 'start': 376.3, 'duration': 4.86}, {'text': 'card something to note about this here', 'start': 378.64, 'duration': 4.86}, {'text': ""I'll get rid of the blinky thing um it"", 'start': 381.16, 'duration': 4.17}, {'text': 'actually has images of other cards in', 'start': 383.5, 'duration': 3.69}, {'text': ""the background how cool is that there's"", 'start': 385.33, 'duration': 4.83}, {'text': 'Snorlax scrafty amoonguss chorus and', 'start': 387.19, 'duration': 6.51}, {'text': 'Rotom and those are the actual card', 'start': 390.16, 'duration': 6.66}, {'text': 'images from the cards huh who knew so we', 'start': 393.7, 'duration': 5.91}, {'text': 'got another team plasma ball and a nice', 'start': 396.82, 'duration': 4.04}, {'text': 'reverse foil tree go', 'start': 399.61, 'duration': 4.62}, {'text': 'three packs to go we got a cough', 'start': 400.86, 'duration': 5.77}, {'text': 'Rodriguez another one a reverse holo', 'start': 404.23, 'duration': 6.12}, {'text': 'team plasma badge and onyx the poor eons', 'start': 406.63, 'duration': 7.05}, {'text': 'wireless nothing too great here two', 'start': 410.35, 'duration': 6.379}, {'text': 'packs to go what are we gonna get', 'start': 413.68, 'duration': 8.13}, {'text': 'Quagsire got the laid-back ability or do', 'start': 416.729, 'duration': 8.371}, {'text': 'still damage done by 20 not too great', 'start': 421.81, 'duration': 6.419}, {'text': 'nothing too good in this pack and here', 'start': 425.1, 'duration': 7.539}, {'text': 'we go the last pack we have here for', 'start': 428.229, 'duration': 6.331}, {'text': ""this pack opening plasma freeze what's"", 'start': 432.639, 'duration': 6.391}, {'text': ""it gonna be be drew Oh feel like we're"", 'start': 434.56, 'duration': 6.44}, {'text': 'on the price is right and we just lost', 'start': 439.03, 'duration': 5.699}, {'text': 'pompano beach rule oh we did get an', 'start': 441.0, 'duration': 6.79}, {'text': 'absolve oh so not so bad so out of 70', 'start': 444.729, 'duration': 5.221}, {'text': 'banks we got a life do an AB saw hey', 'start': 447.79, 'duration': 6.12}, {'text': 'tranny xl2 eps alee not too bad but i', 'start': 449.95, 'duration': 5.82}, {'text': 'just wanted to make this video to show', 'start': 453.91, 'duration': 3.24}, {'text': 'off some new plasma freeze cards', 'start': 455.77, 'duration': 3.03}, {'text': 'hopefully you guys are getting on', 'start': 457.15, 'duration': 3.81}, {'text': 'pokemon TCG online hopefully i can get', 'start': 458.8, 'duration': 3.54}, {'text': 'some more codes soon and make some real', 'start': 460.96, 'duration': 3.39}, {'text': ""decks and then we'll go from there and"", 'start': 462.34, 'duration': 3.78}, {'text': 'try out some new decks with plasma', 'start': 464.35, 'duration': 3.51}, {'text': 'freeze but until then thanks for', 'start': 466.12, 'duration': 3.57}, {'text': 'watching guys who could hear from the', 'start': 467.86, 'duration': 5.24}, {'text': ""top cut and I'll see you next time"", 'start': 469.69, 'duration': 3.41}]"
RGJW,ru0SjAGoAx0,"[3, 4]",
UdJW,rwxROYHnxlQ,"[100, 548]",
sVJW,,"[3, 6, 8]",
rAJW,QndhaULcY7s,"[0, 12]",
lkJW,QxGVFQ-xy0M,"[6, 8, 807]",
