LWOX,GX56jMII2FU,"[2, 30, 64, 149]",
eQOX,GgX7nBHPh1o,"[82, 103, 118]",
18OX,X6RcxkKDcFk,"[0, 1, 159, 1686]",
tLOX,ccGtc3-WW1Q,"[3, 6]",
ghOX,MH-OgJHnMJQ,"[0, 1, 36, 132, 153]","[{'text': 'looking at like', 'start': 60.01, 'duration': 3.27}, {'text': 'Faina', 'start': 107.99, 'duration': 4.379}, {'text': 'enemy UAV online', 'start': 109.229, 'duration': 3.14}]"
hOOX,PQWoNk_tt2o,"[2, 75, 90, 172, 810]","[{'text': 'all right this is a 5.9 Cummins diesel', 'start': 0.319, 'duration': 9.99}, {'text': 'in a 1998 chevy one-ton dually I had a', 'start': 4.22, 'duration': 11.47}, {'text': ""6.5 turbo diesel and it's an ok motor if"", 'start': 10.309, 'duration': 7.72}, {'text': 'you just want to tell about 5,000 pounds', 'start': 15.69, 'duration': 6.27}, {'text': ""but I'm looking to tell up to 25,000 so"", 'start': 18.029, 'duration': 8.701}, {'text': 'I got a 1990 all mechanical rotary style', 'start': 21.96, 'duration': 11.16}, {'text': 'injection pump as you can see got a', 'start': 26.73, 'duration': 10.14}, {'text': 'brand new starter brand new clutch brand', 'start': 33.12, 'duration': 8.52}, {'text': 'new flywheel and got to get reg 365', 'start': 36.87, 'duration': 9.869}, {'text': ""speed tranny I'm going to get a new"", 'start': 41.64, 'duration': 6.84}, {'text': 'turbo and I get the money I got a new', 'start': 46.739, 'duration': 5.311}, {'text': ""alternator right now I'm running without"", 'start': 48.48, 'duration': 5.509}, {'text': 'AC because I had to delete the AC', 'start': 52.05, 'duration': 9.059}, {'text': 'because a the AC hits right here it just', 'start': 53.989, 'duration': 10.0}, {'text': ""wasn't working out so right a lot of"", 'start': 61.109, 'duration': 5.901}, {'text': 'forms and what guys are doing is either', 'start': 63.989, 'duration': 6.271}, {'text': 'putting it right here or putting it', 'start': 67.01, 'duration': 4.57}, {'text': ""right here and I'm gonna have to put it"", 'start': 70.26, 'duration': 3.359}, {'text': ""right here because I don't have the the"", 'start': 71.58, 'duration': 5.579}, {'text': 'bracket to move the the output for the', 'start': 73.619, 'duration': 8.511}, {'text': ""water so anyway it's been very expensive"", 'start': 77.159, 'duration': 10.14}, {'text': ""a lot of work involved it's just been"", 'start': 82.13, 'duration': 7.33}, {'text': 'kind of a nightmare to be honest with', 'start': 87.299, 'duration': 2.521}, {'text': 'you', 'start': 89.46, 'duration': 4.92}, {'text': ""he's a brand-new 5.9 Cummins 1990 motor"", 'start': 89.82, 'duration': 11.79}, {'text': 'mounts and I lucked out because my Chevy', 'start': 94.38, 'duration': 9.72}, {'text': 'had the the incline kind of like the', 'start': 101.61, 'duration': 5.67}, {'text': 'Dodge because this is the one time if', 'start': 104.1, 'duration': 6.809}, {'text': 'you had a 25 or a 1500 I believe those', 'start': 107.28, 'duration': 6.21}, {'text': 'motor mounts are different you can see', 'start': 110.909, 'duration': 6.81}, {'text': 'the crossmember underneath um I lowered', 'start': 113.49, 'duration': 6.9}, {'text': ""it but I think I'm going to have to flip"", 'start': 117.719, 'duration': 5.76}, {'text': ""it around and I'm going to have to rig"", 'start': 120.39, 'duration': 5.729}, {'text': 'it up or manufacture somehow the motor', 'start': 123.479, 'duration': 5.67}, {'text': ""mounts I'm using the old motor mounts"", 'start': 126.119, 'duration': 5.76}, {'text': ""though for the tranny and I think I'm"", 'start': 129.149, 'duration': 4.591}, {'text': 'going to drill a hole and put a big', 'start': 131.879, 'duration': 5.071}, {'text': 'huge bolt right through and just use', 'start': 133.74, 'duration': 4.8}, {'text': ""this for now because I'm running out of"", 'start': 136.95, 'duration': 6.36}, {'text': 'money this is the old this what came out', 'start': 138.54, 'duration': 8.43}, {'text': ""of the dodge crossmember it's too short"", 'start': 143.31, 'duration': 5.4}, {'text': 'and I was going to try and use it but', 'start': 146.97, 'duration': 5.73}, {'text': ""just didn't work out so this right here"", 'start': 148.71, 'duration': 11.93}, {'text': 'is a mid to late 90s the DHD 241 dodge', 'start': 152.7, 'duration': 12.87}, {'text': 'transfer case as you can see right here', 'start': 160.64, 'duration': 8.62}, {'text': 'to where it bolts up to my guitry 360', 'start': 165.57, 'duration': 6.39}, {'text': ""transmission it's got the driver side"", 'start': 169.26, 'duration': 4.68}, {'text': ""drop for the four-wheel drive that's"", 'start': 171.96, 'duration': 5.88}, {'text': 'when I needed a guy out of Indiana gave', 'start': 173.94, 'duration': 9.33}, {'text': 'me a real good deal we got the the', 'start': 177.84, 'duration': 8.67}, {'text': 'output right here for Chevy so this is', 'start': 183.27, 'duration': 4.56}, {'text': 'going to hook right up to my drive shaft', 'start': 186.51, 'duration': 3.06}, {'text': ""yes I'm going to have to cut the drive"", 'start': 187.83, 'duration': 5.1}, {'text': ""shaft but right now I'm just I'm really"", 'start': 189.57, 'duration': 5.94}, {'text': 'trying to just get it put it put in you', 'start': 192.93, 'duration': 6.99}, {'text': 'know uses a ATF fluid only a lot of', 'start': 195.51, 'duration': 8.4}, {'text': 'people think you use a gear oil and I', 'start': 199.92, 'duration': 5.91}, {'text': ""guess not it's a TF I'm going to use"", 'start': 203.91, 'duration': 4.1}, {'text': 'full synthetic like it was recommended', 'start': 205.83, 'duration': 5.07}, {'text': 'pull synthetics the way to go lasts', 'start': 208.01, 'duration': 6.13}, {'text': ""longer doesn't break down as quick runs"", 'start': 210.9, 'duration': 7.59}, {'text': ""cooler better all the way around here's"", 'start': 214.14, 'duration': 6.33}, {'text': 'my workspace lunch right there on the', 'start': 218.49, 'duration': 7.64}, {'text': 'table up here in the Georgia Mountains', 'start': 220.47, 'duration': 14.03}, {'text': 'North Georgia Mountains just rain well', 'start': 226.13, 'duration': 10.99}, {'text': 'let me get down here just kind of show', 'start': 234.5, 'duration': 5.23}, {'text': ""you a little bit I'm talking about this"", 'start': 237.12, 'duration': 4.94}, {'text': 'crossmember', 'start': 239.73, 'duration': 2.33}, {'text': 'alright', 'start': 243.53, 'duration': 6.09}, {'text': 'the Chevy Cross moment', 'start': 245.42, 'duration': 4.2}, {'text': ""Trane's going to come down and try and"", 'start': 254.37, 'duration': 6.76}, {'text': ""bolt it right there somewhere I'm out to"", 'start': 257.62, 'duration': 6.269}, {'text': 'flip it around you something oh I still', 'start': 261.13, 'duration': 5.39}, {'text': 'got a cut up for the manual transmission', 'start': 263.889, 'duration': 9.601}, {'text': 'you have to cut that out shortly luckily', 'start': 266.52, 'duration': 10.209}, {'text': ""this is a split driveshaft so I'm going"", 'start': 273.49, 'duration': 8.07}, {'text': 'to take the short piece and have the', 'start': 276.729, 'duration': 8.25}, {'text': 'short piece cut down reweld it in you', 'start': 281.56, 'duration': 14.85}, {'text': 'know balance so I had to do a three inch', 'start': 284.979, 'duration': 12.331}, {'text': 'body lift', 'start': 296.41, 'duration': 6.42}, {'text': 'see the blocks did the cab and the bed', 'start': 297.31, 'duration': 10.38}, {'text': 'God got off a JC wit do for almost 400', 'start': 302.83, 'duration': 8.209}, {'text': 'bucks the kid did pretty well', 'start': 307.69, 'duration': 9.78}, {'text': 'really no issues um I replaced the head', 'start': 311.039, 'duration': 10.721}, {'text': 'gasket on this replace the front and', 'start': 317.47, 'duration': 10.44}, {'text': ""rear main seal replaced you know I'll"", 'start': 321.76, 'duration': 8.79}, {'text': 'tell you what Permatex has this cylinder', 'start': 327.91, 'duration': 5.1}, {'text': 'can for 15 bucks', 'start': 330.55, 'duration': 4.5}, {'text': 'black Permatex high temp silicone that', 'start': 333.01, 'duration': 4.26}, {'text': 'stuff is the way to go to get that can', 'start': 335.05, 'duration': 5.27}, {'text': ""that thing's been awesome"", 'start': 337.27, 'duration': 6.06}, {'text': ""well alright I'm going to put it in and"", 'start': 340.32, 'duration': 5.86}, {'text': 'hopefully we can get a video of it', 'start': 343.33, 'duration': 9.14}, {'text': 'actually in but there it is 1990 our', 'start': 346.18, 'duration': 13.35}, {'text': '1998 long bed crew cab largest Chevy', 'start': 352.47, 'duration': 11.56}, {'text': 'truck they made back then for 3500', 'start': 359.53, 'duration': 7.68}, {'text': ""anyway I'm going to put a real motor in"", 'start': 364.03, 'duration': 5.52}, {'text': 'it now something I actually tow and not', 'start': 367.21, 'duration': 7.519}, {'text': 'overheat see my fifth wheel up there', 'start': 369.55, 'duration': 9.0}, {'text': '8,000 pounds my engine overheated we', 'start': 374.729, 'duration': 6.161}, {'text': 'were coming back over the Mississippi', 'start': 378.55, 'duration': 5.519}, {'text': 'Bridge had 10,000 miles on my new', 'start': 380.89, 'duration': 7.769}, {'text': '6.5 turbo diesel and she blew up the', 'start': 384.069, 'duration': 10.08}, {'text': 'front passenger side valve spring failed', 'start': 388.659, 'duration': 8.94}, {'text': 'on the front cylinder the piston shoved', 'start': 394.149, 'duration': 4.74}, {'text': 'the valve straight up through the head', 'start': 397.599, 'duration': 3.75}, {'text': 'the motor hydro locked and I just said', 'start': 398.889, 'duration': 4.411}, {'text': ""you know what I'm done with this garbage"", 'start': 401.349, 'duration': 4.5}, {'text': 'found this motor on Craigslist got the', 'start': 403.3, 'duration': 6.539}, {'text': 'whole drivetrain 1,500 bucks I mean it', 'start': 405.849, 'duration': 7.53}, {'text': 'was like a gift from heaven so', 'start': 409.839, 'duration': 8.961}, {'text': 'oh shut this out as you know the Chevy', 'start': 413.379, 'duration': 7.801}, {'text': 'braking system is ran off by the power', 'start': 418.8, 'duration': 8.429}, {'text': ""steering right there she is it's not"", 'start': 421.18, 'duration': 13.069}, {'text': 'vacuum hydro boost so man I lucked out I', 'start': 427.229, 'duration': 16.84}, {'text': 'went down got a 9 1990 Dodge power', 'start': 434.249, 'duration': 12.28}, {'text': 'steering pump for this motor took my', 'start': 444.069, 'duration': 6.02}, {'text': '1998 cover off this whole black cover', 'start': 446.529, 'duration': 7.47}, {'text': 'took that off this right here the', 'start': 450.089, 'duration': 6.091}, {'text': ""internal part it's kind of hard to see"", 'start': 453.999, 'duration': 9.871}, {'text': ""the internal part that's dodge Chevy so"", 'start': 456.18, 'duration': 9.879}, {'text': 'I got all my hookups for my brakes I', 'start': 463.87, 'duration': 3.99}, {'text': ""didn't have to modify anything all I had"", 'start': 466.059, 'duration': 5.16}, {'text': 'to do was just swap out covers and I was', 'start': 467.86, 'duration': 6.479}, {'text': 'good to go man it was man that was such', 'start': 471.219, 'duration': 13.28}, {'text': 'a relief well um there she is all right', 'start': 474.339, 'duration': 10.16}]"
zyOX,PRzswBOpmzU,"[9, 34]",
O5OX,uNcAOfH190w,"[3, 4]",
uTOX,sklb8mVNB-c,"[3, 4, 10, 13, 54, 97, 243, 278, 585]",
9MOX,sph88f0-dT8,"[69, 1141]","[{'text': 'half an hour yes sitting there watching', 'start': 0.0, 'duration': 6.18}, {'text': 'matches here we go gold oh you started', 'start': 1.709, 'duration': 6.031}, {'text': ""off on a snack and couldn't convert it"", 'start': 6.18, 'duration': 3.839}, {'text': 'instead what we avoided the missiles', 'start': 7.74, 'duration': 5.13}, {'text': 'perfectly right there too perhaps by', 'start': 10.019, 'duration': 5.971}, {'text': ""accident oh yeah we're gonna see a tad"", 'start': 12.87, 'duration': 5.249}, {'text': 'magneto because I noticed a Bergen', 'start': 15.99, 'duration': 3.66}, {'text': ""doesn't use the headphones he might not"", 'start': 18.119, 'duration': 2.761}, {'text': 'have even heard it coming he might have', 'start': 19.65, 'duration': 2.67}, {'text': ""just been playing his normal game that's"", 'start': 20.88, 'duration': 3.3}, {'text': 'true oh he finally got it that time last', 'start': 22.32, 'duration': 3.66}, {'text': 'time I saw me feel awesome he missed and', 'start': 24.18, 'duration': 3.419}, {'text': 'it might have been set more specific let', 'start': 25.98, 'duration': 3.48}, {'text': 'me never was an AWS a big hit box the', 'start': 27.599, 'duration': 3.541}, {'text': 'other big hit box but he falls different', 'start': 29.46, 'duration': 5.04}, {'text': ""lens right that's right here we go shady"", 'start': 31.14, 'duration': 5.009}, {'text': 'k working on the comeback snaps in', 'start': 34.5, 'duration': 3.629}, {'text': 'general too worried about that character', 'start': 36.149, 'duration': 3.871}, {'text': 'why not I feel like in this team though', 'start': 38.129, 'duration': 5.311}, {'text': 'you oh oh Barry awesome 4000 to throw', 'start': 40.02, 'duration': 5.129}, {'text': 'very lucky a baguette was still worried', 'start': 43.44, 'duration': 3.209}, {'text': 'about blocking it which direction it was', 'start': 45.149, 'duration': 2.971}, {'text': 'gonna come from he was not prepared for', 'start': 46.649, 'duration': 6.361}, {'text': ""we landed he's gonna level 3 here Dexter"", 'start': 48.12, 'duration': 7.8}, {'text': ""yeah you will die he really doesn't like"", 'start': 53.01, 'duration': 5.25}, {'text': 'she hold on and it was close it was his', 'start': 55.92, 'duration': 5.58}, {'text': ""love slave she's got help 1 million a 30"", 'start': 58.26, 'duration': 5.61}, {'text': 'foot dive on beautiful whore dive right', 'start': 61.5, 'duration': 5.13}, {'text': ""there by shady k all right it's all"", 'start': 63.87, 'duration': 5.28}, {'text': 'gonna come down to Toronto and X Factor', 'start': 66.63, 'duration': 4.38}, {'text': ""level 3 trying i don't know how do you"", 'start': 69.15, 'duration': 4.86}, {'text': 'feel about that i have bad memories of', 'start': 71.01, 'duration': 4.679}, {'text': 'tron here well thought out what', 'start': 74.01, 'duration': 3.929}, {'text': 'disrupting his team order did hey kiddo', 'start': 75.689, 'duration': 5.341}, {'text': 'she hulk and made it so tron becomes the', 'start': 77.939, 'duration': 5.811}, {'text': 'anchor very brilliant play by shady kid', 'start': 81.03, 'duration': 6.449}, {'text': 'hans play would be to level 30 because', 'start': 83.75, 'duration': 6.22}, {'text': ""aren't you know O'Shea DK you know why"", 'start': 87.479, 'duration': 4.28}, {'text': 'that happened because truant hitbox', 'start': 89.97, 'duration': 4.289}, {'text': 'normal characters when you when you', 'start': 91.759, 'duration': 4.061}, {'text': 'finish to put that combo there in a', 'start': 94.259, 'duration': 3.75}, {'text': ""different place but Tron isn't because"", 'start': 95.82, 'duration': 3.77}, {'text': 'of that stew', 'start': 98.009, 'duration': 5.641}, {'text': 'fox just gave her a chance on a big', 'start': 99.59, 'duration': 7.15}, {'text': 'comeback dongseok Virgil nombre courage', 'start': 103.65, 'duration': 4.92}, {'text': ""it gets get it started all right he's"", 'start': 106.74, 'duration': 3.09}, {'text': ""gonna waste time right here that's all"", 'start': 108.57, 'duration': 4.65}, {'text': 'this is and no mix-up yeah I know except', 'start': 109.83, 'duration': 5.7}, {'text': 'me run the clock I like that you should', 'start': 113.22, 'duration': 4.31}, {'text': ""have judgment cut but now he's good"", 'start': 115.53, 'duration': 4.41}, {'text': 'original just no air mobility one of the', 'start': 117.53, 'duration': 5.65}, {'text': 'old oh yeah already got scooped how', 'start': 119.94, 'duration': 5.67}, {'text': ""could he convert this I don't think this"", 'start': 123.18, 'duration': 4.08}, {'text': ""isn't enough I thought you saw adds one"", 'start': 125.61, 'duration': 3.15}, {'text': 'more chance that that makes up falling', 'start': 127.26, 'duration': 6.65}, {'text': 'it oh wow oh wow so you can jump up Oh', 'start': 128.76, 'duration': 5.15}, {'text': 'having a gig iphone Trotter in it all', 'start': 134.0, 'duration': 5.77}, {'text': 'the way back terrible memories for me', 'start': 137.19, 'duration': 6.48}, {'text': 'jerk that character please huh there we', 'start': 139.77, 'duration': 5.7}, {'text': 'go first hit this is big for shady k', 'start': 143.67, 'duration': 3.15}, {'text': ""he's not gotten first hit for that feels"", 'start': 145.47, 'duration': 3.15}, {'text': 'like three matches I like how we set', 'start': 146.82, 'duration': 4.139}, {'text': 'that up though because he knew that like', 'start': 148.62, 'duration': 4.02}, {'text': ""every single match that shady gate i'll"", 'start': 150.959, 'duration': 4.471}, {'text': ""be getting played he's done walk up Stan"", 'start': 152.64, 'duration': 5.069}, {'text': 'H so he knew that I began was going to', 'start': 155.43, 'duration': 4.2}, {'text': 'look to tech that throw and then he', 'start': 157.709, 'duration': 3.361}, {'text': 'checked the throw and slipped into low', 'start': 159.63, 'duration': 4.35}, {'text': 'shorter try beautiful oversized watch', 'start': 161.07, 'duration': 4.35}, {'text': 'out for that jumping hard it still got a', 'start': 163.98, 'duration': 5.31}, {'text': 'nice hitbox oh no air scoop got the', 'start': 165.42, 'duration': 6.98}, {'text': 'hitogata sit on can he get the head', 'start': 169.29, 'duration': 7.37}, {'text': ""barely yeah you're right she falls funny"", 'start': 172.4, 'duration': 4.26}, {'text': 'get an advantage of jog on she needs all', 'start': 177.17, 'duration': 4.63}, {'text': 'the help you can get really at this', 'start': 180.209, 'duration': 3.991}, {'text': 'point right to assist the weird hitbox', 'start': 181.8, 'duration': 5.49}, {'text': ""he'll not done alright so not clearly"", 'start': 184.2, 'duration': 5.91}, {'text': 'safe do it was you might want to think', 'start': 187.29, 'duration': 4.59}, {'text': ""very carefully about how he's oaks for"", 'start': 190.11, 'duration': 3.81}, {'text': 'now on because you know that were could', 'start': 191.88, 'duration': 4.079}, {'text': 'just you for shock wave and take out you', 'start': 193.92, 'duration': 8.13}, {'text': 'oh no the other ground hold very high', 'start': 195.959, 'duration': 7.711}, {'text': ""dive team I don't know what what's going"", 'start': 202.05, 'duration': 4.11}, {'text': ""on I won't lie ok so I think what"", 'start': 203.67, 'duration': 4.59}, {'text': 'happened was he did the super dick it', 'start': 206.16, 'duration': 3.51}, {'text': ""was it he didn't think it was gonna hit"", 'start': 208.26, 'duration': 4.05}, {'text': 'so adhe to she-hulk and then realized to', 'start': 209.67, 'duration': 5.99}, {'text': 'hit but they already input the DAC wow', 'start': 212.31, 'duration': 5.79}, {'text': 'these are like mind games so high I', 'start': 215.66, 'duration': 5.65}, {'text': ""can't follow yeah these guys a few has a"", 'start': 218.1, 'duration': 5.55}, {'text': 'too good man shady k here we got getting', 'start': 221.31, 'duration': 5.73}, {'text': 'rid of she hold oh oh she almost look', 'start': 223.65, 'duration': 4.8}, {'text': 'today yeah she almost got out of those', 'start': 227.04, 'duration': 3.63}, {'text': ""so all all up to Hulk I mean it's like a"", 'start': 228.45, 'duration': 4.77}, {'text': 'pretty hopeless ball mmm that left hook', 'start': 230.67, 'duration': 5.67}, {'text': 'just scoop them up yeah there you go and', 'start': 233.22, 'duration': 4.95}, {'text': 'you got no pouches take it away so all', 'start': 236.34, 'duration': 5.55}, {'text': 'shady cakes make very nervous I still', 'start': 238.17, 'duration': 5.31}, {'text': ""believe we're gonna have 11 after this"", 'start': 241.89, 'duration': 4.49}, {'text': 'convo yes', 'start': 243.48, 'duration': 2.9}, {'text': 'missiles into burberry thank you here we', 'start': 246.51, 'duration': 4.5}, {'text': 'go which is nice and easy bad you should', 'start': 249.03, 'duration': 3.51}, {'text': 'have just done dimensional splash it off', 'start': 251.01, 'duration': 3.509}, {'text': 'spear flame keep it as simple as', 'start': 252.54, 'duration': 5.659}, {'text': 'possible so here we go these are two', 'start': 254.519, 'duration': 7.351}, {'text': ""these are two amazing players it's one"", 'start': 258.199, 'duration': 6.461}, {'text': ""to one the loser of this game doesn't"", 'start': 261.87, 'duration': 5.1}, {'text': 'make it out of pool that are you kidding', 'start': 264.66, 'duration': 4.14}, {'text': ""me that's heartbreaking you know like I"", 'start': 266.97, 'duration': 5.25}, {'text': ""really I really just feel like it's a"", 'start': 268.8, 'duration': 7.29}, {'text': ""shame but it happens yes there's that"", 'start': 272.22, 'duration': 5.4}, {'text': 'little picket ball but actually no do', 'start': 276.09, 'duration': 3.03}, {'text': 'bout of the missiles on Seattle', 'start': 277.62, 'duration': 3.329}, {'text': 'occidental counter and here we go that', 'start': 279.12, 'duration': 3.96}, {'text': 'now that the scope of his team has', 'start': 280.949, 'duration': 4.351}, {'text': 'changed okay hat-dog that counter force', 'start': 283.08, 'duration': 3.839}, {'text': 'him to hard tag and this is you know', 'start': 285.3, 'duration': 3.899}, {'text': ""free damage on tron basically if you're"", 'start': 286.919, 'duration': 4.021}, {'text': 'gonna snap to she home yeah how far is', 'start': 289.199, 'duration': 2.97}, {'text': 'he gonna take this of what is he gonna', 'start': 290.94, 'duration': 4.65}, {'text': ""do that's the big question oh and he got"", 'start': 292.169, 'duration': 5.491}, {'text': 'it anyways right you got the second part', 'start': 295.59, 'duration': 5.24}, {'text': 'of that research the standing jab oh', 'start': 297.66, 'duration': 6.39}, {'text': 'yeah is this even gonna be an upfront', 'start': 300.83, 'duration': 6.339}, {'text': 'live so long Josh barrel adjuster our', 'start': 304.05, 'duration': 5.61}, {'text': 'tags back into magneto unscathed is', 'start': 307.169, 'duration': 5.461}, {'text': 'shady cage in it convert it beautiful', 'start': 309.66, 'duration': 7.11}, {'text': 'house very nice oh gotcha though his son', 'start': 312.63, 'duration': 5.58}, {'text': ""situation ramped up and he wasn't ready"", 'start': 316.77, 'duration': 4.8}, {'text': 'for it Oh baby bag right there he was', 'start': 318.21, 'duration': 4.62}, {'text': 'worried about the command grab coming', 'start': 321.57, 'duration': 3.96}, {'text': ""home it's done or blocked on us oh he's"", 'start': 322.83, 'duration': 5.04}, {'text': 'getting scooped happy with or oh he', 'start': 325.53, 'duration': 4.83}, {'text': 'caught him dashing there you go nice the', 'start': 327.87, 'duration': 4.5}, {'text': 'Greeks knew back in just to bring some', 'start': 330.36, 'duration': 3.6}, {'text': 'life back to that Kido fine i think he', 'start': 332.37, 'duration': 3.45}, {'text': 'likes the zune zoning up dude vers la', 'start': 333.96, 'duration': 4.17}, {'text': 'breakfast team who got a very nice I was', 'start': 335.82, 'duration': 4.44}, {'text': 'shady cake it could all be a lady home', 'start': 338.13, 'duration': 3.69}, {'text': ""that's right he is on the way to witness"", 'start': 340.26, 'duration': 3.18}, {'text': 'and win the salty runback were stabbed', 'start': 341.82, 'duration': 3.99}, {'text': ""again nobody's better however it's never"", 'start': 343.44, 'duration': 4.349}, {'text': 'over with AA began she is never over', 'start': 345.81, 'duration': 4.8}, {'text': 'over look out for their day there is he', 'start': 347.789, 'duration': 4.531}, {'text': 'Jonny job down you knew it was coming', 'start': 350.61, 'duration': 5.489}, {'text': 'and he gets the air Oh is he shady k and', 'start': 352.32, 'duration': 7.11}, {'text': ""the boho oh wow that's he was I mean I"", 'start': 356.099, 'duration': 4.44}, {'text': ""had to believe he's just mashing buttons"", 'start': 359.43, 'duration': 2.88}, {'text': 'right there buddy gone obsession attack', 'start': 360.539, 'duration': 4.38}, {'text': ""we're shady ki never assume a shit he"", 'start': 362.31, 'duration': 4.829}, {'text': 'always knows can he get to three can he', 'start': 364.919, 'duration': 4.111}, {'text': 'squeezed she off yes he squeezed out', 'start': 367.139, 'duration': 4.301}, {'text': 'again out of the tournament', 'start': 369.03, 'duration': 4.87}, {'text': ""Isis forward oh he's darling why is he"", 'start': 371.44, 'duration': 5.33}, {'text': 'making our way Linscott there at ATK', 'start': 373.9, 'duration': 5.51}, {'text': 'shady k advances in losers bracket', 'start': 376.77, 'duration': 5.71}, {'text': ""holligan goes home all bad it's"", 'start': 379.41, 'duration': 6.45}, {'text': ""bittersweet though isn't it yeah"", 'start': 382.48, 'duration': 3.38}]"
xKOX,vBFKV3i_TyU,"[2, 30, 55, 280, 608, 1197]",
