meJq,zQ0ojdDLIwQ,"[31, 40]",
vuJq,,"[0, 479]",
KVJq,T7gIl5RtXVs,[3232],"[{'text': ""hey guys in today's video I'm gonna be"", 'start': 6.23, 'duration': 5.829}, {'text': 'showing you my night routine and my', 'start': 9.42, 'duration': 5.46}, {'text': 'night pretty much starts as soon as I', 'start': 12.059, 'duration': 4.89}, {'text': 'get home from school and tutoring', 'start': 14.88, 'duration': 4.88}, {'text': 'children', 'start': 16.949, 'duration': 2.811}, {'text': 'first I go into my bedroom and try to', 'start': 24.789, 'duration': 6.431}, {'text': 'find some comfortable clothes so instead', 'start': 28.339, 'duration': 6.871}, {'text': 'of this pretty dress I go for a leggings', 'start': 31.22, 'duration': 6.9}, {'text': 'and a comfortable shirt this one is from', 'start': 35.21, 'duration': 6.3}, {'text': ""American Eagle and it's super soft when"", 'start': 38.12, 'duration': 5.459}, {'text': 'I get a little hungry I go into the', 'start': 41.51, 'duration': 3.81}, {'text': 'kitchen and have a little afternoon', 'start': 43.579, 'duration': 4.62}, {'text': 'snack I really love to eat vanilla', 'start': 45.32, 'duration': 6.12}, {'text': 'yogurt with fruits this is so yummy and', 'start': 48.199, 'duration': 6.801}, {'text': 'also pretty healthy I guess', 'start': 51.44, 'duration': 3.56}, {'text': 'while eating my delicious afternoon', 'start': 76.35, 'duration': 3.82}, {'text': 'snack', 'start': 79.45, 'duration': 3.69}, {'text': 'I do whole work which is pretty lame but', 'start': 80.17, 'duration': 5.1}, {'text': 'sometimes I just check Twitter for a', 'start': 83.14, 'duration': 4.5}, {'text': 'little bit of entertainment and most of', 'start': 85.27, 'duration': 4.68}, {'text': 'the time my dog is laying right next to', 'start': 87.64, 'duration': 5.839}, {'text': 'me so I can kill her', 'start': 89.95, 'duration': 3.529}, {'text': 'and that is time to do some sports I', 'start': 100.93, 'duration': 5.43}, {'text': 'love to do the Blogilates workouts', 'start': 104.11, 'duration': 4.71}, {'text': ""there's so much fun especially while"", 'start': 106.36, 'duration': 9.51}, {'text': 'wearing my cool yoga pants then I love', 'start': 108.82, 'duration': 10.5}, {'text': 'to take a relaxing bath most of the time', 'start': 115.87, 'duration': 7.11}, {'text': 'I study while taking a bath and I of', 'start': 119.32, 'duration': 6.06}, {'text': 'course wash my hair and use some plum', 'start': 122.98, 'duration': 4.83}, {'text': 'lily swirl shower gel from Bath & Body', 'start': 125.38, 'duration': 5.31}, {'text': 'Works I removed the rest of my makeup', 'start': 127.81, 'duration': 7.02}, {'text': 'with a cleanser and then I apply a tea', 'start': 130.69, 'duration': 6.9}, {'text': 'tree oil night treatment gel to prevent', 'start': 134.83, 'duration': 5.24}, {'text': 'breakouts', 'start': 137.59, 'duration': 2.48}, {'text': 'dinnertime this day my parents ordered', 'start': 151.3, 'duration': 6.96}, {'text': 'some yummy food and I got a delicious', 'start': 154.63, 'duration': 6.78}, {'text': 'salad with Selman and shrimps and it', 'start': 158.26, 'duration': 9.9}, {'text': 'tastes so good guys ii my bad room my', 'start': 161.41, 'duration': 9.33}, {'text': 'turn on some bites and light a candle', 'start': 168.16, 'duration': 5.1}, {'text': 'for a little bit of a romantic feeling', 'start': 170.74, 'duration': 9.12}, {'text': 'and Dan I start to edit videos or watch', 'start': 173.26, 'duration': 9.93}, {'text': 'videos on YouTube I just love to do this', 'start': 179.86, 'duration': 5.94}, {'text': ""and it's a great hobby and a great way"", 'start': 183.19, 'duration': 5.3}, {'text': 'of spending my night', 'start': 185.8, 'duration': 5.85}, {'text': 'what sort of time I drink some chai tea', 'start': 188.49, 'duration': 8.17}, {'text': 'while editing my videos and if you', 'start': 191.65, 'duration': 7.44}, {'text': ""haven't noticed yet I also enjoy"", 'start': 196.66, 'duration': 5.51}, {'text': 'cuddling my dog', 'start': 199.09, 'duration': 3.08}, {'text': ""what I'm still not tired I pick a DVD"", 'start': 204.05, 'duration': 5.64}, {'text': ""most of the time it's King of Queens or"", 'start': 207.35, 'duration': 6.33}, {'text': 'the nanny and watch DVD while checking', 'start': 209.69, 'duration': 8.03}, {'text': 'Twitter and Instagram', 'start': 213.68, 'duration': 4.04}, {'text': ""or I read a book right now I'm reading"", 'start': 223.43, 'duration': 5.31}, {'text': 'The Fault in Our Stars and this is such', 'start': 226.28, 'duration': 5.88}, {'text': 'a great book well then I also brush my', 'start': 228.74, 'duration': 8.67}, {'text': 'teeth and walk around and then I apply', 'start': 232.16, 'duration': 9.33}, {'text': 'some night cream onto my skin and go', 'start': 237.41, 'duration': 9.38}, {'text': 'back into my cozy bed', 'start': 241.49, 'duration': 5.3}, {'text': 'sweet dreams everyone', 'start': 250.22, 'duration': 4.019}]"
1RJq,yhTMRws6svM,"[2, 7, 80, 691]",
7tJq,,[5],
fNJq,ynl2BXnPgXM,[13],
61Jq,91BJIkVcHGo,"[25, 3677]",
wMJq,97QVrzqH2SY,"[3, 4, 6, 13]",
mBJq,98a7CbfKs_w,"[15, 18, 59, 178, 1260]","[{'text': 'when little Jimmy was just for his folks', 'start': 8.46, 'duration': 5.02}, {'text': 'to come down to the fenced-off me look', 'start': 11.5, 'duration': 3.99}, {'text': 'for fish they never say they brought', 'start': 13.48, 'duration': 5.69}, {'text': 'them home to his brand-new fish tank', 'start': 15.49, 'duration': 3.68}, {'text': 'been one day the green lady came and', 'start': 20.46, 'duration': 4.27}, {'text': 'after that things were never the same', 'start': 23.26, 'duration': 3.96}, {'text': 'the fish could squeak swap and swap in', 'start': 24.73, 'duration': 8.7}, {'text': 'fact these fish now they grew tall this', 'start': 27.22, 'duration': 14.029}, {'text': ""tank fish dang yeah Jana's fish tank"", 'start': 33.43, 'duration': 7.819}, {'text': ""hi hey who's the new fish over there him"", 'start': 51.58, 'duration': 11.59}, {'text': ""oh that's an al Sharpton fish it feeds"", 'start': 60.68, 'duration': 5.64}, {'text': 'off others and loves crack we never got', 'start': 63.17, 'duration': 7.14}, {'text': ""the 40-acre we didn't get the mule so we"", 'start': 66.32, 'duration': 7.23}, {'text': ""decided we'd ride this Duncan as far as"", 'start': 70.31, 'duration': 8.64}, {'text': 'it would take what about him I can park', 'start': 73.55, 'duration': 8.01}, {'text': 'cars drink mud hey if you give me five', 'start': 78.95, 'duration': 3.66}, {'text': ""bucks I'll stick my tongue in a light"", 'start': 81.56, 'duration': 5.16}, {'text': ""socket that's a corey haim fish that's"", 'start': 82.61, 'duration': 8.25}, {'text': 'up we got any other famous fish in here', 'start': 86.72, 'duration': 6.87}, {'text': ""sure let's see there's the Paris Hilton"", 'start': 90.86, 'duration': 4.47}, {'text': 'fish which only looks pretty but Hesh', 'start': 93.59, 'duration': 4.11}, {'text': ""for brains there's the Donald Trump fish"", 'start': 95.33, 'duration': 3.929}, {'text': ""we're no matter how fast these swims his"", 'start': 97.7, 'duration': 4.44}, {'text': 'hair never moves and finally the eighth', 'start': 99.259, 'duration': 7.671}, {'text': 'lakota fish where is he up there', 'start': 102.14, 'duration': 4.79}, {'text': 'our enemies are innovative and', 'start': 109.549, 'duration': 4.06}, {'text': 'resourceful and so were we they never', 'start': 111.6, 'duration': 3.659}, {'text': 'stopped thinking about new ways to harm', 'start': 113.609, 'duration': 3.601}, {'text': 'our country and our people and neither', 'start': 115.259, 'duration': 8.25}, {'text': 'do we I then who the hell is that not of', 'start': 117.21, 'duration': 24.589}, {'text': ""in clue I didn't do it"", 'start': 123.509, 'duration': 18.29}]"
CeJq,K5P5CeVxwCE,[205],
GWJq,fBjCkDW3FHk,"[17, 19, 143, 166, 690]","[{'text': 'Madrid Spain and the plaza de toros de', 'start': 9.88, 'duration': 4.92}, {'text': 'las Ventas for the 14th time in the', 'start': 12.4, 'duration': 3.719}, {'text': ""tour's history the Red Bull x-fighters"", 'start': 14.8, 'duration': 3.51}, {'text': 'returns to its traditional home and', 'start': 16.119, 'duration': 4.261}, {'text': 'brings the elite of freestyle motorcross', 'start': 18.31, 'duration': 4.08}, {'text': 'to the beautiful boring of Las Ventas', 'start': 20.38, 'duration': 4.14}, {'text': 'with eight former winners in the mix', 'start': 22.39, 'duration': 4.02}, {'text': 'twenty-three thousand fans celebrated', 'start': 24.52, 'duration': 3.69}, {'text': 'the best lineup of riders the event has', 'start': 26.41, 'duration': 4.2}, {'text': 'ever seen led by Clinton Moore who is', 'start': 28.21, 'duration': 3.99}, {'text': 'searching for that elusive hat-trick on', 'start': 30.61, 'duration': 3.719}, {'text': 'the season having already won Mexico in', 'start': 32.2, 'duration': 6.75}, {'text': 'Athens however Tom Perez is also looking', 'start': 34.329, 'duration': 8.631}, {'text': 'for a hat-trick on wins here in Madrid', 'start': 38.95, 'duration': 4.01}, {'text': 'Josh Sheehan looks ready to rock and', 'start': 48.47, 'duration': 4.45}, {'text': 'roll with a beautiful flair however on', 'start': 50.85, 'duration': 3.9}, {'text': 'his double backflip the unthinkable', 'start': 52.92, 'duration': 3.69}, {'text': 'happens and he comes up short on the', 'start': 54.75, 'duration': 4.29}, {'text': 'rotation and crashes the reigning World', 'start': 56.61, 'duration': 5.0}, {'text': 'Tour champion is eliminated early', 'start': 59.04, 'duration': 4.68}, {'text': 'Clinton more running on a high of', 'start': 61.61, 'duration': 4.24}, {'text': 'back-to-back wins came out firing with', 'start': 63.72, 'duration': 3.0}, {'text': 'both barrels', 'start': 65.85, 'duration': 2.61}, {'text': 'he attacked the all-new Madrid track', 'start': 66.72, 'duration': 3.81}, {'text': 'with a dead body flip and then unleashes', 'start': 68.46, 'duration': 4.62}, {'text': 'his signature bundy perfectly and a', 'start': 70.53, 'duration': 5.28}, {'text': ""flair to rival Thomas's he is stoked by"", 'start': 73.08, 'duration': 6.3}, {'text': 'runs in Levi realizing he was in trouble', 'start': 75.81, 'duration': 4.979}, {'text': 'let er rip with a really stylish', 'start': 79.38, 'duration': 3.54}, {'text': 'switchblade to Superman and then dropped', 'start': 80.789, 'duration': 4.771}, {'text': 'an amazing flip transfer Superman that', 'start': 82.92, 'duration': 4.77}, {'text': 'was ramrod straight tough call for the', 'start': 85.56, 'duration': 4.83}, {'text': 'judges but they decided for Levi and he', 'start': 87.69, 'duration': 4.5}, {'text': ""advances to the final I'm pushing they"", 'start': 90.39, 'duration': 3.869}, {'text': ""won't be taking the hat-trick but hey"", 'start': 92.19, 'duration': 4.14}, {'text': 'you know I had lots of fun I did really', 'start': 94.259, 'duration': 3.301}, {'text': 'concentrate on what I need to do in my', 'start': 96.33, 'duration': 2.52}, {'text': ""run and you know that's all I'm here to"", 'start': 97.56, 'duration': 3.119}, {'text': 'do it for is this have fun and do', 'start': 98.85, 'duration': 4.079}, {'text': ""everything that I'm already doing David"", 'start': 100.679, 'duration': 3.931}, {'text': 'Ronaldo from France has been steadily', 'start': 102.929, 'duration': 2.771}, {'text': 'improving', 'start': 104.61, 'duration': 3.07}, {'text': 'all the tools to be successful but', 'start': 105.7, 'duration': 3.9}, {'text': ""tonight he couldn't pull off his"", 'start': 107.68, 'duration': 3.84}, {'text': 'California roll and that was a snake', 'start': 109.6, 'duration': 4.58}, {'text': 'bite for him', 'start': 111.52, 'duration': 2.66}, {'text': 'he did keep his composure and does a', 'start': 115.62, 'duration': 4.02}, {'text': 'Superman to heel clicker combo and', 'start': 117.81, 'duration': 4.41}, {'text': 'finishes his run strong with a mace', 'start': 119.64, 'duration': 5.1}, {'text': ""twist of one-hand heart attack now it's"", 'start': 122.22, 'duration': 4.83}, {'text': 'a waiting game', 'start': 124.74, 'duration': 4.51}, {'text': ""Thomas's parents in attendance tonight"", 'start': 127.05, 'duration': 3.76}, {'text': ""look nervous and you know when they're"", 'start': 129.25, 'duration': 2.79}, {'text': ""in the house it's going to be a big"", 'start': 130.81, 'duration': 3.06}, {'text': 'night for the All or Nothing kid his', 'start': 132.04, 'duration': 3.69}, {'text': 'incredible ally you Claire is stumped', 'start': 133.87, 'duration': 3.99}, {'text': 'perfectly and that was all she wrote', 'start': 135.73, 'duration': 4.62}, {'text': 'Thomas destroys this run and moves to', 'start': 137.86, 'duration': 5.69}, {'text': 'the final against Levi', 'start': 140.35, 'duration': 3.2}, {'text': 'the final battle between Giants in the', 'start': 148.34, 'duration': 5.44}, {'text': ""freestyle motorcross world Levi's up"", 'start': 151.56, 'duration': 4.08}, {'text': 'first and starts with the most extended', 'start': 153.78, 'duration': 4.379}, {'text': 'challenge flip ever followed by a double', 'start': 155.64, 'duration': 4.679}, {'text': 'grab flip throwing the gauntlet down in', 'start': 158.159, 'duration': 4.351}, {'text': 'his run and he rolls in for his amazing', 'start': 160.319, 'duration': 4.53}, {'text': 'flip transfer Superman that looked good', 'start': 162.51, 'duration': 3.899}, {'text': 'till the landing when he struggled to', 'start': 164.849, 'duration': 3.39}, {'text': 'hold on in the loose dirt and slides out', 'start': 166.409, 'duration': 5.461}, {'text': 'a potential disaster for the Kiwi Hajus', 'start': 168.239, 'duration': 5.881}, {'text': 'loves it here and stuck to his routine', 'start': 171.87, 'duration': 4.85}, {'text': 'from earlier', 'start': 174.12, 'duration': 2.6}, {'text': 'he rides on to complete the amazing', 'start': 184.22, 'duration': 5.13}, {'text': 'final with his best bike flip yet mom', 'start': 186.56, 'duration': 4.62}, {'text': 'and dad both approve and are relieved', 'start': 189.35, 'duration': 3.6}, {'text': 'Thomas writes history when he Madrid', 'start': 191.18, 'duration': 3.75}, {'text': 'three years ago and cements himself as a', 'start': 192.95, 'duration': 5.03}, {'text': 'legend in the sport', 'start': 194.93, 'duration': 3.05}, {'text': ""there's a all-day event a special but"", 'start': 199.599, 'duration': 6.75}, {'text': 'this one is everything to me so how to', 'start': 203.109, 'duration': 4.681}, {'text': ""win here and I'll come back next year"", 'start': 206.349, 'duration': 3.331}, {'text': 'for sure with new tricks', 'start': 207.79, 'duration': 6.3}, {'text': 'Thank You Gus Madrid again unforgettable', 'start': 209.68, 'duration': 6.449}, {'text': 'and again manages to elevate the riders', 'start': 214.09, 'duration': 2.91}, {'text': 'to a new level', 'start': 216.129, 'duration': 2.431}, {'text': 'be sure to see where that level goes in', 'start': 217.0, 'duration': 5.78}, {'text': 'Pretoria South Africa on September 12', 'start': 218.56, 'duration': 4.22}]"
