kAMo,OYnANQrF7w8,"[49, 80, 127, 265, 612, 694, 787]",
IsMo,fb6GFXHxlY8,"[15, 18, 26, 170, 2346]",
2iMo,,[27],
6AMo,Rit84gnGgII,"[8, 690]",
HqMo,RnDMWVaO6FA,"[4, 9, 10, 37]","[{'text': 'very simply I just turn on the this you', 'start': 2.27, 'duration': 7.06}, {'text': 'know goes to a Levin box there have the', 'start': 6.029, 'duration': 4.65}, {'text': 'wah-wah pedal on to add like sort of', 'start': 9.33, 'duration': 3.15}, {'text': ""extra sort of a white noise it's because"", 'start': 10.679, 'duration': 3.0}, {'text': ""if you're gonna do some scratching stuff"", 'start': 12.48, 'duration': 4.2}, {'text': ""it's but the high ends better turn the"", 'start': 13.679, 'duration': 6.061}, {'text': 'pickup selector to maximum rock power', 'start': 16.68, 'duration': 8.519}, {'text': 'and then just kind of the I use the this', 'start': 19.74, 'duration': 7.59}, {'text': 'hand is the scratch or and and then', 'start': 25.199, 'duration': 16.621}, {'text': 'nothing and it goes like that leave a', 'start': 27.33, 'duration': 21.81}, {'text': 'full treble eyes and the tonal changes', 'start': 41.82, 'duration': 9.57}, {'text': 'come from you know where you know the', 'start': 49.14, 'duration': 5.509}, {'text': 'left hands rubbing on the string', 'start': 51.39, 'duration': 3.259}, {'text': ""it's less kind of about this is how a"", 'start': 57.6, 'duration': 3.99}, {'text': ""thing is done it's more kind of about"", 'start': 60.0, 'duration': 4.65}, {'text': 'just like having a disregard for the', 'start': 61.59, 'duration': 4.68}, {'text': 'tradition of the instrument and this is', 'start': 64.65, 'duration': 3.66}, {'text': ""just a piece of wood it's six wires it's"", 'start': 66.27, 'duration': 4.41}, {'text': 'a few electronics you know and I was', 'start': 68.31, 'duration': 4.05}, {'text': 'writing down notes to a song one day and', 'start': 70.68, 'duration': 3.439}, {'text': 'penciled my hand I had the you know the', 'start': 72.36, 'duration': 4.71}, {'text': 'delay pedal set to short delay and then', 'start': 74.119, 'duration': 13.091}, {'text': ""I mean that's not particularly rocket"", 'start': 77.07, 'duration': 14.12}, {'text': ""science it's a pencil delay pedal but"", 'start': 87.21, 'duration': 3.98}, {'text': 'this was the 2003 helicopter version', 'start': 95.03, 'duration': 4.89}, {'text': 'which is a again the delay pedal sets a', 'start': 97.82, 'duration': 4.73}, {'text': 'short delay sort of a slap back delay', 'start': 99.92, 'duration': 6.86}, {'text': 'the whammy pedal set to an octave below', 'start': 102.55, 'duration': 10.09}, {'text': 'and then I just use picking mouth and', 'start': 106.78, 'duration': 8.35}, {'text': 'right hand to just sort of baby slap the', 'start': 112.64, 'duration': 5.87}, {'text': 'strings while manipulating though', 'start': 115.13, 'duration': 3.38}, {'text': 'and that just made to sound more', 'start': 176.57, 'duration': 6.61}, {'text': 'voluptuous by the short delay the slap', 'start': 179.94, 'duration': 3.9}, {'text': 'excellent', 'start': 183.18, 'duration': 2.7}, {'text': 'Cochise may have a bridge part where', 'start': 183.84, 'duration': 5.24}, {'text': 'they actually the phase ninety gets', 'start': 185.88, 'duration': 3.2}, {'text': 'at my home that I practice on the guitar', 'start': 224.11, 'duration': 4.44}, {'text': 'that I write songs with is a nylon', 'start': 226.06, 'duration': 4.17}, {'text': 'string acoustic guitar you know the', 'start': 228.55, 'duration': 4.29}, {'text': 'biggest riffs are written on that guitar', 'start': 230.23, 'duration': 4.44}, {'text': ""there and it's like I've got I now know"", 'start': 232.84, 'duration': 4.23}, {'text': 'like it could be 3 a.m. and sitting with', 'start': 234.67, 'duration': 3.72}, {'text': 'the you know dogs laying by the', 'start': 237.07, 'duration': 3.33}, {'text': 'fireplace there and play some riff and', 'start': 238.39, 'duration': 3.81}, {'text': ""just know what it's gonna feel like at a"", 'start': 240.4, 'duration': 4.62}, {'text': 'festival show with us rocking that riff', 'start': 242.2, 'duration': 4.35}, {'text': 'and 60,000 people jumping up and down', 'start': 245.02, 'duration': 3.12}, {'text': 'like that was absolutely the case with', 'start': 246.55, 'duration': 2.76}, {'text': 'this with a song sleep now in the fire', 'start': 248.14, 'duration': 3.9}, {'text': 'where I came up with that riff and', 'start': 249.31, 'duration': 3.899}, {'text': 'actually was jamming with some other', 'start': 252.04, 'duration': 3.36}, {'text': 'other friends of mine and stopped', 'start': 253.209, 'duration': 4.261}, {'text': 'everything got the little tape recorder', 'start': 255.4, 'duration': 4.41}, {'text': ""you know we said let's just that's gonna"", 'start': 257.47, 'duration': 4.38}, {'text': ""be that's gonna be good later on you"", 'start': 259.81, 'duration': 4.68}, {'text': 'know and then it just knew from you know', 'start': 261.85, 'duration': 4.08}, {'text': 'from the beginning when that those first', 'start': 264.49, 'duration': 2.73}, {'text': 'note when those notes came out that that', 'start': 265.93, 'duration': 2.37}, {'text': 'was gonna be one of those gonna be a', 'start': 267.22, 'duration': 3.75}, {'text': 'crowd-pleaser down the line the riff', 'start': 268.3, 'duration': 4.86}, {'text': 'that just sort of occur came out of the', 'start': 270.97, 'duration': 4.4}, {'text': 'ether', 'start': 273.16, 'duration': 2.21}, {'text': ""it's a a and octave"", 'start': 289.03, 'duration': 4.17}, {'text': 'pulling up it on that', 'start': 293.87, 'duration': 2.81}, {'text': 'you', 'start': 296.889, 'duration': 2.06}, {'text': 'basically it sort of holding that note', 'start': 304.18, 'duration': 6.16}, {'text': 'the whole verse we let the Jimmy castor', 'start': 307.96, 'duration': 5.65}, {'text': 'Bunch riff roll on you know this act', 'start': 310.34, 'duration': 4.35}, {'text': 'does the lyrics on top of it and then it', 'start': 313.61, 'duration': 5.24}, {'text': 'drops back in as hugely as possible', 'start': 314.69, 'duration': 4.16}, {'text': 'etc again you want to bump up to 11 for', 'start': 320.23, 'duration': 5.41}, {'text': ""this one it's because you're gonna need"", 'start': 323.78, 'duration': 3.99}, {'text': ""some sustain normally this isn't one"", 'start': 325.64, 'duration': 3.63}, {'text': ""that's played on the arm the homeless"", 'start': 327.77, 'duration': 3.84}, {'text': ""guitar but I'm gonna do my best with the"", 'start': 329.27, 'duration': 5.7}, {'text': ""old soul power and I'll be accessing"", 'start': 331.61, 'duration': 4.89}, {'text': 'some feedback by getting right up', 'start': 334.97, 'duration': 4.83}, {'text': 'against it and then using employing the', 'start': 336.5, 'duration': 8.06}, {'text': 'old toggle little something like this', 'start': 339.8, 'duration': 4.76}, {'text': ""what's happening when my back has turned"", 'start': 365.08, 'duration': 7.179}, {'text': 'to you is that I am with my right hand', 'start': 367.94, 'duration': 6.3}, {'text': 'using the toggle switch and with my left', 'start': 372.259, 'duration': 3.331}, {'text': 'hand manipulating a whammy bar to', 'start': 374.24, 'duration': 4.23}, {'text': 'manipulate the pitch of the feedback', 'start': 375.59, 'duration': 4.829}, {'text': 'that is what is happening strings are', 'start': 378.47, 'duration': 3.66}, {'text': 'open threes are basically hoping you', 'start': 380.419, 'duration': 3.211}, {'text': 'cross your fingers and hope for a nice', 'start': 382.13, 'duration': 4.909}, {'text': 'sweet note to do it on', 'start': 383.63, 'duration': 3.409}, {'text': 'the first riff of the song is just the', 'start': 408.65, 'duration': 6.32}, {'text': 'descending tension building', 'start': 410.98, 'duration': 3.99}, {'text': 'and then the verse continues quite', 'start': 427.759, 'duration': 6.34}, {'text': 'simply chocolate thunder occurs in this', 'start': 430.349, 'duration': 11.28}, {'text': 'part more chocolate more thunder the', 'start': 434.099, 'duration': 8.97}, {'text': 'second half of the verse is just employ', 'start': 441.629, 'duration': 7.79}, {'text': 'a muted string chukka technique thusly', 'start': 443.069, 'duration': 6.35}, {'text': ""etc for chukka flavor it's down Chuck"", 'start': 455.87, 'duration': 9.75}, {'text': 'yeah you chose not to up shock there', 'start': 461.06, 'duration': 4.56}, {'text': 'sounds almost identical you', 'start': 466.28, 'duration': 3.81}]"
0CMo,Rq4mjdD76Eo,[2453],
PmMo,RrP5zxIglZs,"[0, 62, 193, 479, 963]",
M6Mo,TjEZyIbErDU,[3],
x4Mo,,[1127],
IlMo,TtUrG7fLDXk,"[3, 4, 9, 10, 13]",
